cell,scale,m,K,cluster_sizes,n_cross_pairs,identifiable,ident_reason,auroc_upcr_all,rank_agreement_all,top5_overlap_all,auroc_upcr_cross,rank_agreement_cross,top5_overlap_cross,auroc_upcr_hier,rank_agreement_hier,top5_overlap_hier,n_clusters_averaged,auroc_lsml_all30,auroc_good6,pairs_degraded
se_squad_v2_llama8b,eigen,27,5,"[2, 3, 3, 8, 11]",261,True,ok,0.764658386527074,0.27244953680730205,1,0.8222628790414739,-0.037047039207690376,1,0.5698584834878164,-0.08527299019865761,0,3,0.8081250793577506,0.8049294148880911,True
seiclr_triviaqa_opt30b,eigen,28,3,"[4, 9, 15]",231,True,ok,0.5746944931193422,0.13791432354304053,2,0.5428556269740749,-0.04498550247541209,1,0.5954835392837872,-0.04950404925738043,0,1,0.5621376595991037,0.5873864660024518,False
semenergy_triviaqa_qwen3_8b,eigen,27,5,"[2, 3, 3, 9, 10]",263,True,ok,0.7951848416005612,0.7046498069707637,4,0.6132002580209692,-0.16521497723123849,0,0.6998450959806417,-0.46742170610723055,0,3,0.7992399021448824,0.8141076954920312,True
spilled_triviaqa_llama8b,eigen,28,2,"[4, 24]",96,False,K=2 < 3 (bipartite/degenerate pair graph),0.9066666666666667,-0.17335781043325582,0,nan,nan,nan,nan,nan,nan,,0.9566666666666667,0.9426666666666667,False
trace_gsm8k_llama8b_k10,eigen,29,5,"[1, 2, 5, 6, 15]",275,True,ok,0.7920853919631092,0.21446717367088014,1,0.6420882740447958,-0.25236260368450747,0,0.7004738965744399,0.0003148916810919887,1,1,0.7995436017786561,0.8066874588274044,False
trace_math500_qwenmath15b_k10,eigen,30,2,"[2, 28]",56,False,K=2 < 3 (bipartite/degenerate pair graph),0.6559737568268283,-0.17330138606361004,1,nan,nan,nan,nan,nan,nan,,0.6891120361027235,0.6720261268904547,False
truthfulqa_llama8b,eigen,29,4,"[2, 5, 10, 12]",284,True,ok,0.6440886306890391,0.36469850421930716,3,0.6514868992880505,-0.13533299049019168,1,0.6518444680810982,0.20035098554293934,1,1,0.6624284318996285,0.6631482791050854,True
ars_gsm8k_r1distill8b,complete,30,5,"[2, 4, 5, 7, 12]",331,True,ok,0.6821064964447318,0.38737552864245484,3,0.5653482546864899,0.490822118956643,2,0.5840134130575307,-0.0267321841201965,0,2,0.6817024886877827,0.7623222365869424,False
epr_triviaqa_mistral24b,complete,28,5,"[2, 2, 5, 8, 11]",283,True,ok,0.7435473010885423,0.24455263865906807,1,0.6871142408259454,0.18952451089472588,1,0.7122096285489843,0.09302584396046172,1,2,0.7383430591403883,0.7331949276175513,True
inside_coqa_llama7b,complete,27,6,"[1, 2, 3, 5, 7, 9]",280,True,ok,0.5423613393703871,0.4013119561325057,2,0.5455743562564186,0.4013119561325057,2,0.49713140342627443,0.18916664178537296,2,2,0.5038652923405011,0.6673670403915383,False
internalstates_gsm8k_qwen25_7b,complete,29,5,"[2, 2, 4, 7, 14]",286,True,ok,0.6555472047175812,0.19981771840463436,1,0.71337996955156,-0.003478148308250419,1,0.5062727640631323,-0.46674314409702505,0,3,0.7112408702857914,0.703590217956871,True
lapeigvals_gsm8k_llama3b,complete,30,8,"[1, 2, 2, 2, 2, 3, 6, 12]",347,True,ok,0.7080505673937126,0.16003671467414443,1,0.6944382383332869,0.13328465314871,2,0.5801589074761918,-0.3089847357565931,0,5,0.6823735582428017,0.7006986529635733,False
lapeigvals_gsm8k_llama8b,complete,29,5,"[2, 2, 5, 7, 13]",295,True,ok,0.7881735927616301,-0.08364775071800833,0,0.6941108175194172,-0.0612753537431148,1,0.7936183841780767,-0.22179065921547378,0,2,0.8173993113940267,0.8186404035551285,False
lapeigvals_gsm8k_mistral24b,complete,30,8,"[1, 1, 2, 2, 3, 3, 7, 11]",351,True,ok,0.8459549624687239,-0.0388660592780065,0,0.8082720448858898,-0.007003910221267702,2,0.5619758889984077,-0.18893516219713968,1,4,0.8415270301008415,0.808749715672151,False
lapeigvals_gsm8k_nemo,complete,29,4,"[4, 4, 6, 15]",274,True,ok,0.7727361365021328,0.11675395755619625,1,0.704265691651432,-0.2985269477919769,0,0.80729230144221,-0.27262370212723014,0,2,0.7813528336380257,0.8013325208206379,False
lapeigvals_gsm8k_phi35,complete,29,5,"[3, 3, 3, 6, 14]",291,True,ok,0.7785046146726119,0.49569209403802583,1,0.4041554303616087,0.050128585218201634,1,0.6227983517119233,-0.27765094953359437,0,3,0.803037584884166,0.812493881220018,True
losnet_hotpotqa_mistral7b,complete,29,5,"[3, 3, 5, 6, 12]",309,True,ok,0.568637265592878,0.09701648047814286,1,0.5182967160657144,0.1912601331476532,1,0.5339208780993582,-0.18612052868142492,0,2,0.5681903502028995,0.5809721303562809,False
math500_dsmath7b,complete,30,4,"[5, 7, 9, 9]",332,True,ok,0.7707024763554978,0.04454869565779202,0,0.7317883185329579,-0.1954477456893881,1,0.48769041946429864,0.24886592606203736,2,0,0.7846364883401921,0.7868023969388491,False
math500_qwenmath7b,complete,28,4,"[2, 4, 5, 17]",225,True,ok,0.852814401622718,-0.03573708449459316,1,0.8856490872210954,0.04101739625808219,0,0.8865365111561868,0.0875977232674285,1,2,0.9203853955375254,0.890910243407708,True
math500_r1distill8b,complete,28,3,"[2, 11, 15]",217,True,ok,0.8387307107150619,0.16952370266495032,1,0.8406868072158226,0.0869495951636662,0,0.7344055640078243,0.07840194992968658,1,1,0.8306889806563791,0.8357422299500108,True
math500_r1distill8b_mn4096,complete,29,3,"[2, 6, 21]",180,True,ok,0.8471346504133389,-0.16179868875949455,0,0.6950165802624818,0.13301819044959673,0,0.42454812946616227,-0.18455130635011163,1,1,0.7829153238989304,0.8328896361683247,False
noise_gsm8k_mistral7b,complete,29,6,"[1, 1, 2, 6, 6, 13]",297,True,ok,0.7506288252578528,-0.2265375295866494,0,0.7497827276531368,0.13147514702678326,1,0.723082370360833,-0.2962631170086352,0,1,0.7847440324827906,0.7902344702003504,False
noise_gsm8k_phi3mini,complete,29,5,"[2, 3, 5, 6, 13]",299,True,ok,0.672033652451407,0.014114239579670439,1,0.5852971368637165,0.351231527093596,0,0.6456143580817211,-0.316236528364326,0,2,0.6641003325076431,0.6800590256856576,False
sciq_llama8b,complete,30,5,"[3, 4, 5, 5, 13]",328,True,ok,0.7429645664805742,0.3381492669018244,3,0.7225703543351941,-0.14497639107131158,1,0.7483194713455623,0.11596204608347746,1,2,0.7393186738065398,0.7454711176939729,False
se_nq_open_llama8b,complete,27,5,"[2, 2, 5, 6, 12]",258,True,ok,0.7488733042368034,0.43759251372387764,3,0.7164551085106651,-0.0878289663757306,1,0.6761261993228835,-0.022167059799599678,1,2,0.7252553311396731,0.7303111911630826,False
se_squad_v2_llama8b,complete,27,5,"[2, 3, 3, 8, 11]",261,True,ok,0.764658386527074,0.27244953680730205,1,0.8222628790414739,-0.037047039207690376,1,0.5698584834878164,-0.08527299019865761,0,3,0.8081250793577506,0.8110489074602057,True
seiclr_triviaqa_opt30b,complete,28,3,"[4, 9, 15]",231,True,ok,0.5746944931193422,0.13791432354304053,2,0.5428556269740749,-0.04498550247541209,1,0.5954835392837872,-0.04950404925738043,0,1,0.5621376595991037,0.5883956570917686,False
semenergy_triviaqa_qwen3_8b,complete,27,5,"[2, 3, 3, 9, 10]",263,True,ok,0.7951848416005612,0.7046498069707637,4,0.6132002580209692,-0.16521497723123849,0,0.6998450959806417,-0.46742170610723055,0,3,0.7992399021448824,0.7899213468295591,True
spilled_triviaqa_llama8b,complete,28,5,"[2, 2, 5, 5, 14]",265,True,ok,0.9066666666666667,-0.17335781043325582,0,0.9566666666666667,0.20932808559969945,2,0.45799999999999996,-0.20146061585942698,1,2,0.9406666666666667,0.942,False
trace_gsm8k_llama8b_k10,complete,29,7,"[1, 1, 2, 3, 3, 7, 12]",312,True,ok,0.7920853919631092,0.21446717367088014,1,0.7955309206192358,0.03903561700173722,1,0.6067648633069829,-0.2256475204893916,0,3,0.8080953557312252,0.809312417654809,False
trace_math500_qwenmath15b_k10,complete,30,5,"[2, 2, 6, 7, 13]",319,True,ok,0.6559737568268283,-0.17330138606361004,1,0.6838380028749373,0.15376766531237732,2,0.6198557329291998,-0.06711933820990237,0,2,0.6887891985596244,0.6759889194811037,False
truthfulqa_llama8b,complete,29,4,"[2, 5, 10, 12]",284,True,ok,0.6440886306890391,0.36469850421930716,3,0.6514868992880505,-0.13533299049019168,1,0.6518444680810982,0.20035098554293934,1,1,0.6624284318996285,0.6571993052949163,True
