access,display_name,fidelity,headline_join_groups,headline_join_passed,method_id,minimum_join_coverage,populations
"{""input_type"":""single generated trace"",""model_passes_per_question"":1,""model_passes_scope"":""method generation passes including the reported answer trace"",""registered_source_traces_per_question"":1,""supervision"":""LEASH policy"",""traces_per_question"":1}",LEASH Mistral failed cells,paper-specified-partial,0,false,leash_mistral,,[]
"{""input_type"":""generated answer trace"",""model_passes_per_question"":1,""model_passes_scope"":""method generation passes including the reported answer trace"",""registered_source_traces_per_question"":1,""supervision"":""task model generation"",""traces_per_question"":1}",LEASH study: LEASH central arm,paper-specified-partial,6,true,leash|central,1.0,"[""s2_stopping::test::aqua::Qwen/Qwen2.5-7B-Instruct"",""s2_stopping::test::aqua::meta-llama/Llama-3.1-8B-Instruct"",""s2_stopping::test::aqua::microsoft/Phi-3-mini-128k-instruct"",""s2_stopping::test::gsm8k::Qwen/Qwen2.5-7B-Instruct"",""s2_stopping::test::gsm8k::meta-llama/Llama-3.1-8B-Instruct"",""s2_stopping::test::gsm8k::microsoft/Phi-3-mini-128k-instruct""]"
"{""input_type"":""single generated trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""none"",""traces_per_question"":1}",Causal maximum token entropy,adapted-common-protocol,28,true,max_entropy,1.0,"[""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::olympiadbench::75d371a82b0bcb6f"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::omnimath::cf17979141a4e097""]"
"{""input_type"":""single trace token entropy"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""none"",""traces_per_question"":1}",24-cell maximum token entropy,adapted-common-protocol,6,true,max_entropy_24cell,1.0,"[""frozen-24cell@693a5b634f97::epr_triviaqa_mistral24b::identity-proven"",""frozen-24cell@693a5b634f97::lapeigvals_gsm8k_mistral24b::identity-proven"",""frozen-24cell@693a5b634f97::losnet_hotpotqa_mistral7b::identity-proven"",""frozen-24cell@693a5b634f97::math500_dsmath7b::identity-proven"",""frozen-24cell@693a5b634f97::math500_r1distill8b_mn4096::identity-proven"",""frozen-24cell@693a5b634f97::sciq_llama8b::identity-proven""]"
"{""input_type"":""single trace token entropy"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""none"",""traces_per_question"":1}",Maximum token entropy,adapted-common-protocol,1,true,max_entropy_global,1.0,"[""processbench@e8024636bcab::llama31_8b::global""]"
"{""input_type"":""single trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""none for score fit; threshold labels cross-fit"",""traces_per_question"":1}",Maximum entropy + top-five step mean,adapted-common-protocol,1,true,max_entropy_step_top5mean,1.0,"[""processbench@e8024636bcab::llama31_8b::localization""]"
"{""input_type"":""single generated trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""none"",""traces_per_question"":1}",Causal mean token entropy,adapted-common-protocol,28,true,mean_entropy,1.0,"[""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::olympiadbench::75d371a82b0bcb6f"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::omnimath::cf17979141a4e097""]"
"{""input_type"":""single trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""none for score fit; threshold labels cross-fit"",""traces_per_question"":1}",Mind-the-Gap common replay,adapted-common-protocol,1,true,mind_the_gap_common_replay,1.0,"[""processbench@e8024636bcab::llama31_8b::localization""]"
"{""input_type"":""complete target-cell telemetry matrix plus each generated trace"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""none; unsupervised transductive per-cell full-pool fit"",""traces_per_question"":1}","24-cell mixed-v2 DUFS-LIU (full pool, lambda=0.1)",adapted-common-protocol,6,true,mixed_v2_dufs_liu_l0p1_24cell,1.0,"[""frozen-24cell@693a5b634f97::epr_triviaqa_mistral24b::identity-proven"",""frozen-24cell@693a5b634f97::lapeigvals_gsm8k_mistral24b::identity-proven"",""frozen-24cell@693a5b634f97::losnet_hotpotqa_mistral7b::identity-proven"",""frozen-24cell@693a5b634f97::math500_dsmath7b::identity-proven"",""frozen-24cell@693a5b634f97::math500_r1distill8b_mn4096::identity-proven"",""frozen-24cell@693a5b634f97::sciq_llama8b::identity-proven""]"
"{""input_type"":""single generated trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""frozen project development"",""traces_per_question"":1}","Registered mixed-v2 DUFS-LIU (lambda=0.1, no length)",adapted-common-protocol,1,true,mixed_v2_dufs_liu_l0p1_no_length,1.0,"[""processbench@e8024636bcab::llama31_8b::global""]"
"{""input_type"":""complete target-cell telemetry matrix plus each generated trace"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""none; unsupervised transductive per-cell full-pool fit"",""traces_per_question"":1}",Dedicated 24-cell incumbent: mixed-v2 ordinary IU-PCR (full pool),adapted-common-protocol,6,true,mixed_v2_iu_pcr_24cell,1.0,"[""frozen-24cell@693a5b634f97::epr_triviaqa_mistral24b::identity-proven"",""frozen-24cell@693a5b634f97::lapeigvals_gsm8k_mistral24b::identity-proven"",""frozen-24cell@693a5b634f97::losnet_hotpotqa_mistral7b::identity-proven"",""frozen-24cell@693a5b634f97::math500_dsmath7b::identity-proven"",""frozen-24cell@693a5b634f97::math500_r1distill8b_mn4096::identity-proven"",""frozen-24cell@693a5b634f97::sciq_llama8b::identity-proven""]"
"{""input_type"":""generated answer trace"",""model_passes_per_question"":1,""model_passes_scope"":""method generation passes including the reported answer trace"",""registered_source_traces_per_question"":1,""supervision"":""task model generation"",""traces_per_question"":1}",LEASH study: No-CoT central arm,paper-specified-partial,6,true,nocot|central,1.0,"[""s2_stopping::test::aqua::Qwen/Qwen2.5-7B-Instruct"",""s2_stopping::test::aqua::meta-llama/Llama-3.1-8B-Instruct"",""s2_stopping::test::aqua::microsoft/Phi-3-mini-128k-instruct"",""s2_stopping::test::gsm8k::Qwen/Qwen2.5-7B-Instruct"",""s2_stopping::test::gsm8k::meta-llama/Llama-3.1-8B-Instruct"",""s2_stopping::test::gsm8k::microsoft/Phi-3-mini-128k-instruct""]"
"{""input_type"":""historical aggregate metrics; per-row inputs unavailable"",""model_passes_per_question"":null,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":null,""supervision"":""pre-contract provenance unavailable"",""traces_per_question"":null}",Ordinary-36 historical 24-cell control (records unavailable),blocked-assets,0,false,ordinary36_24cell_context_unavailable,,[]
"{""input_type"":""single generated trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""frozen project development"",""traces_per_question"":1}",ordinary36 historical control,adapted-common-protocol,1,true,ordinary36_historical_control,1.0,"[""processbench@e8024636bcab::llama31_8b::global""]"
"{""input_type"":""full reasoning trace text"",""model_passes_per_question"":1,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""released process-reward checkpoint"",""traces_per_question"":1}",Qwen2.5-Math-PRM-7B,adapted-common-protocol,1,true,prm_qwen25_math_7b,1.0,"[""processbench@e8024636bcab::llama31_8b::localization""]"
"{""input_type"":""single generated trace"",""model_passes_per_question"":1,""model_passes_scope"":""method generation passes including the reported answer trace"",""registered_source_traces_per_question"":1,""supervision"":""adaptive REFRAIN policy"",""traces_per_question"":1}",REFRAIN S1 (incomplete acquisition),paper-specified-partial,0,false,refrain_s1,,[]
"{""input_type"":""single generated trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""none"",""traces_per_question"":1}",Dedicated Prefix incumbent: Step-272 Global/Local 0.50/0.50 peak,adapted-common-protocol,28,true,step272_two_head_global_local_w0p50_peak,1.0,"[""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::olympiadbench::75d371a82b0bcb6f"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::omnimath::cf17979141a4e097""]"
"{""input_type"":""unavailable official assets"",""model_passes_per_question"":null,""model_passes_scope"":""unavailable"",""registered_source_traces_per_question"":null,""supervision"":""unavailable"",""traces_per_question"":null}",Streaming hallucination probe,blocked-assets,0,false,streaming_probe,,[]
"{""input_type"":""single generated trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""frozen project development"",""traces_per_question"":1}",Unified-28 (ordinary method of record),adapted-common-protocol,36,true,unified28,1.0,"[""frozen-24cell@693a5b634f97::epr_triviaqa_mistral24b::identity-proven"",""frozen-24cell@693a5b634f97::lapeigvals_gsm8k_mistral24b::identity-proven"",""frozen-24cell@693a5b634f97::losnet_hotpotqa_mistral7b::identity-proven"",""frozen-24cell@693a5b634f97::math500_dsmath7b::identity-proven"",""frozen-24cell@693a5b634f97::math500_r1distill8b_mn4096::identity-proven"",""frozen-24cell@693a5b634f97::sciq_llama8b::identity-proven"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::math::d8c9868f6437ab66"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::olympiadbench::75d371a82b0bcb6f"",""prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::omnimath::cf17979141a4e097"",""processbench@e8024636bcab::llama31_8b::global"",""processbench@e8024636bcab::llama31_8b::localization""]"
"{""input_type"":""single generated trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""frozen project development"",""traces_per_question"":1}",unified28 dufs l0p1,adapted-common-protocol,1,true,unified28_dufs_l0p1,1.0,"[""processbench@e8024636bcab::llama31_8b::global""]"
"{""input_type"":""single generated trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""frozen project development"",""traces_per_question"":1}",unified28 dufs l0p3,adapted-common-protocol,1,true,unified28_dufs_l0p3,1.0,"[""processbench@e8024636bcab::llama31_8b::global""]"
"{""input_type"":""single generated trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""frozen project development"",""traces_per_question"":1}",unified28 dufs l1,adapted-common-protocol,1,true,unified28_dufs_l1,1.0,"[""processbench@e8024636bcab::llama31_8b::global""]"
"{""input_type"":""single generated trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""frozen project development"",""traces_per_question"":1}",unified28 dufs l3,adapted-common-protocol,1,true,unified28_dufs_l3,1.0,"[""processbench@e8024636bcab::llama31_8b::global""]"
"{""input_type"":""potential single-trace policy"",""model_passes_per_question"":null,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":null,""supervision"":""not frozen"",""traces_per_question"":null}",Unified-28 stopping policy (ineligible),published-context-only,0,false,unified28_stopping,,[]
"{""input_type"":""single generated trace token telemetry"",""model_passes_per_question"":0,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""frozen project development"",""traces_per_question"":1}",unified28 task reweighted a0p5 historical,adapted-common-protocol,1,true,unified28_task_reweighted_a0p5_historical,1.0,"[""processbench@e8024636bcab::llama31_8b::global""]"
"{""input_type"":""full reasoning trace text"",""model_passes_per_question"":1,""model_passes_scope"":""additional scorer passes beyond the registered source trace"",""registered_source_traces_per_question"":1,""supervision"":""Qwen2.5-14B judge"",""traces_per_question"":1}",uPRM Eq.6 Qwen2.5-14B control,paper-specified-partial,1,true,uprm_eq6_qwen25_14b_control,1.0,"[""processbench@e8024636bcab::llama31_8b::localization""]"
"{""input_type"":""unavailable official assets"",""model_passes_per_question"":null,""model_passes_scope"":""unavailable"",""registered_source_traces_per_question"":null,""supervision"":""unavailable"",""traces_per_question"":null}",Full trained uPRM,blocked-assets,0,false,uprm_full_trained,,[]
