artifact,classification,classification_reason,dataset_family,generation_protocol,independent_questions,k_traces_per_question,label_exposure,materialized_local,mean_tokens,model_or_generator,record_id,selection_confirmation_role,size_bytes,source,temperature,token_telemetry
cache/localization/processbench/pb_qwen3_4b/processbench_gsm8k.pkl,causal-prefix-valid,prefix can be rebuilt from aligned telemetry; step spans are evaluation-only,ProcessBench-gsm8k,teacher-forced single forward pass over the provided reasoning chain,400,1,opened ProcessBench development,True,286.255,Qwen/Qwen3-4B,processbench/qwen3_4b/gsm8k,two qwen3_4b development cells; remaining cells retrospective non-selection/model transfer,,local_materialized_localization_cache,0.0,entropy+spilled+logsumexp+top-k; aligned step spans; final-answer correctness
cache/localization/processbench/pb_qwen3_4b/processbench_math.pkl,causal-prefix-valid,prefix can be rebuilt from aligned telemetry; step spans are evaluation-only,ProcessBench-math,teacher-forced single forward pass over the provided reasoning chain,1000,1,opened ProcessBench development,True,523.899,Qwen/Qwen3-4B,processbench/qwen3_4b/math,two qwen3_4b development cells; remaining cells retrospective non-selection/model transfer,,local_materialized_localization_cache,0.0,entropy+spilled+logsumexp+top-k; aligned step spans; final-answer correctness
cache/localization/processbench/pb_qwen3_4b/processbench_olympiadbench.pkl,causal-prefix-valid,prefix can be rebuilt from aligned telemetry; step spans are evaluation-only,ProcessBench-olympiadbench,teacher-forced single forward pass over the provided reasoning chain,1000,1,opened ProcessBench development,True,781.284,Qwen/Qwen3-4B,processbench/qwen3_4b/olympiadbench,two qwen3_4b development cells; remaining cells retrospective non-selection/model transfer,,local_materialized_localization_cache,0.0,entropy+spilled+logsumexp+top-k; aligned step spans; final-answer correctness
cache/localization/processbench/pb_qwen3_4b/processbench_omnimath.pkl,causal-prefix-valid,prefix can be rebuilt from aligned telemetry; step spans are evaluation-only,ProcessBench-omnimath,teacher-forced single forward pass over the provided reasoning chain,1000,1,opened ProcessBench development,True,773.607,Qwen/Qwen3-4B,processbench/qwen3_4b/omnimath,two qwen3_4b development cells; remaining cells retrospective non-selection/model transfer,,local_materialized_localization_cache,0.0,entropy+spilled+logsumexp+top-k; aligned step spans; final-answer correctness
cache/localization/processbench/pb_qwen3_8b/processbench_gsm8k.pkl,causal-prefix-valid,prefix can be rebuilt from aligned telemetry; step spans are evaluation-only,ProcessBench-gsm8k,teacher-forced single forward pass over the provided reasoning chain,400,1,opened ProcessBench development,True,286.255,Qwen/Qwen3-8B,processbench/qwen3_8b/gsm8k,two qwen3_4b development cells; remaining cells retrospective non-selection/model transfer,,local_materialized_localization_cache,0.0,entropy+spilled+logsumexp+top-k; aligned step spans; final-answer correctness
cache/localization/processbench/pb_qwen3_8b/processbench_math.pkl,causal-prefix-valid,prefix can be rebuilt from aligned telemetry; step spans are evaluation-only,ProcessBench-math,teacher-forced single forward pass over the provided reasoning chain,1000,1,opened ProcessBench development,True,523.899,Qwen/Qwen3-8B,processbench/qwen3_8b/math,two qwen3_4b development cells; remaining cells retrospective non-selection/model transfer,,local_materialized_localization_cache,0.0,entropy+spilled+logsumexp+top-k; aligned step spans; final-answer correctness
cache/localization/processbench/pb_qwen3_8b/processbench_olympiadbench.pkl,causal-prefix-valid,prefix can be rebuilt from aligned telemetry; step spans are evaluation-only,ProcessBench-olympiadbench,teacher-forced single forward pass over the provided reasoning chain,1000,1,opened ProcessBench development,True,781.284,Qwen/Qwen3-8B,processbench/qwen3_8b/olympiadbench,two qwen3_4b development cells; remaining cells retrospective non-selection/model transfer,,local_materialized_localization_cache,0.0,entropy+spilled+logsumexp+top-k; aligned step spans; final-answer correctness
cache/localization/processbench/pb_qwen3_8b/processbench_omnimath.pkl,causal-prefix-valid,prefix can be rebuilt from aligned telemetry; step spans are evaluation-only,ProcessBench-omnimath,teacher-forced single forward pass over the provided reasoning chain,1000,1,opened ProcessBench development,True,773.607,Qwen/Qwen3-8B,processbench/qwen3_8b/omnimath,two qwen3_4b development cells; remaining cells retrospective non-selection/model transfer,,local_materialized_localization_cache,0.0,entropy+spilled+logsumexp+top-k; aligned step spans; final-answer correctness
dataset_cache/repgrid/ars_gsm8k_qwen3_8b_mn4096_partial/raw_gsm8k_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,ARS (arXiv 2601.17467),500,1,opened development archive,False,,Qwen/Qwen3-8B,repgrid/ars_gsm8k_qwen3_8b_mn4096_partial/gsm8k@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k
dataset_cache/repgrid/ars_gsm8k_qwen3_8b_pilot/raw_gsm8k_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,ARS (arXiv 2601.17467),30,1,opened development archive,False,2092.3,Qwen/Qwen3-8B,repgrid/ars_gsm8k_qwen3_8b_pilot/gsm8k@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k
dataset_cache/repgrid/ars_gsm8k_qwen3_8b_reject/raw_gsm8k_T0.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,ARS (arXiv 2601.17467),500,1,opened development archive,False,2263.712,Qwen/Qwen3-8B,repgrid/ars_gsm8k_qwen3_8b_reject/gsm8k@T0.0,remote_archive_only,,local_repgrid_manifest,0.0,entropy+spilled+top-k
dataset_cache/repgrid/ars_gsm8k_r1distill8b/raw_gsm8k_T0.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,ARS (arXiv 2601.17467),500,1,opened development archive,False,449.266,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,repgrid/ars_gsm8k_r1distill8b/gsm8k@T0.0,remote_archive_only,,local_repgrid_manifest,0.0,entropy+spilled+top-k
dataset_cache/repgrid/ars_math500_qwen3_8b_mn4096_partial/raw_math500_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,math500,ARS (arXiv 2601.17467),500,1,opened development archive,False,,Qwen/Qwen3-8B,repgrid/ars_math500_qwen3_8b_mn4096_partial/math500@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k
dataset_cache/repgrid/ars_math500_qwen3_8b_mn8192_pilot/raw_math500_T0.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,math500,ARS (arXiv 2601.17467),30,1,opened development archive,False,4584.433333333333,Qwen/Qwen3-8B,repgrid/ars_math500_qwen3_8b_mn8192_pilot/math500@T0.0,remote_archive_only,,local_repgrid_manifest,0.0,entropy+spilled+top-k
dataset_cache/repgrid/ars_math500_qwen3_8b_pilot/raw_math500_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,math500,ARS (arXiv 2601.17467),30,1,opened development archive,False,3314.1666666666665,Qwen/Qwen3-8B,repgrid/ars_math500_qwen3_8b_pilot/math500@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k
dataset_cache/repgrid/ars_math500_qwen3_8b_reject/raw_math500_T0.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,math500,ARS (arXiv 2601.17467),500,1,opened development archive,False,5400.19,Qwen/Qwen3-8B,repgrid/ars_math500_qwen3_8b_reject/math500@T0.0,remote_archive_only,,local_repgrid_manifest,0.0,entropy+spilled+top-k
dataset_cache/repgrid/edis_amc23_qwenmath15b_pilot3/raw_amc23_T0.2.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,amc23,EDIS (arXiv 2602.01288),30,8,opened development archive,False,1596.3416666666667,Qwen/Qwen2.5-Math-1.5B,repgrid/edis_amc23_qwenmath15b_pilot3/amc23@T0.2,remote_archive_only,,local_repgrid_manifest,0.2,entropy+spilled+top-k
dataset_cache/repgrid/edis_amc23_qwenmath15b_pilot3/raw_amc23_T0.6.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,amc23,EDIS (arXiv 2602.01288),30,8,opened development archive,False,1308.375,Qwen/Qwen2.5-Math-1.5B,repgrid/edis_amc23_qwenmath15b_pilot3/amc23@T0.6,remote_archive_only,,local_repgrid_manifest,0.6,entropy+spilled+top-k
dataset_cache/repgrid/edis_amc23_qwenmath15b_pilot3/raw_amc23_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,amc23,EDIS (arXiv 2602.01288),30,8,opened development archive,False,1049.9875,Qwen/Qwen2.5-Math-1.5B,repgrid/edis_amc23_qwenmath15b_pilot3/amc23@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k
dataset_cache/repgrid/edis_gsm8k_qwenmath15b_pilot3/raw_gsm8k_T0.2.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,EDIS (arXiv 2602.01288),30,8,opened development archive,False,1035.8416666666667,Qwen/Qwen2.5-Math-1.5B,repgrid/edis_gsm8k_qwenmath15b_pilot3/gsm8k@T0.2,remote_archive_only,,local_repgrid_manifest,0.2,entropy+spilled+top-k
dataset_cache/repgrid/edis_gsm8k_qwenmath15b_pilot3/raw_gsm8k_T0.6.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,EDIS (arXiv 2602.01288),30,8,opened development archive,False,1112.1958333333334,Qwen/Qwen2.5-Math-1.5B,repgrid/edis_gsm8k_qwenmath15b_pilot3/gsm8k@T0.6,remote_archive_only,,local_repgrid_manifest,0.6,entropy+spilled+top-k
dataset_cache/repgrid/edis_gsm8k_qwenmath15b_pilot3/raw_gsm8k_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,EDIS (arXiv 2602.01288),30,8,opened development archive,False,764.6458333333334,Qwen/Qwen2.5-Math-1.5B,repgrid/edis_gsm8k_qwenmath15b_pilot3/gsm8k@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k
dataset_cache/repgrid/edis_math500_qwenmath15b_pilot3/raw_math500_T0.2.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,math500,EDIS (arXiv 2602.01288),30,8,opened development archive,False,1410.3083333333334,Qwen/Qwen2.5-Math-1.5B,repgrid/edis_math500_qwenmath15b_pilot3/math500@T0.2,remote_archive_only,,local_repgrid_manifest,0.2,entropy+spilled+top-k
dataset_cache/repgrid/edis_math500_qwenmath15b_pilot3/raw_math500_T0.6.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,math500,EDIS (arXiv 2602.01288),30,8,opened development archive,False,1256.6666666666667,Qwen/Qwen2.5-Math-1.5B,repgrid/edis_math500_qwenmath15b_pilot3/math500@T0.6,remote_archive_only,,local_repgrid_manifest,0.6,entropy+spilled+top-k
dataset_cache/repgrid/edis_math500_qwenmath15b_pilot3/raw_math500_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,math500,EDIS (arXiv 2602.01288),30,8,opened development archive,False,835.4041666666667,Qwen/Qwen2.5-Math-1.5B,repgrid/edis_math500_qwenmath15b_pilot3/math500@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k
dataset_cache/repgrid/epr_triviaqa_mistral24b/raw_trivia_qa_wiki_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,trivia_qa_wiki,EPR — Entropy Production Rate,1000,1,opened development archive,False,18.768,mistralai/Mistral-Small-3.1-24B-Instruct-2503,repgrid/epr_triviaqa_mistral24b/trivia_qa_wiki@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k+logsumexp
dataset_cache/repgrid/evdrop_gsm8k_qwen3_4b/raw_gsm8k_T0.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,"Mind the Gap / Evidence Drop (ICML 2026, PMLR 306)",1319,1,opened development archive,False,309.5921152388173,Qwen/Qwen3-4B,repgrid/evdrop_gsm8k_qwen3_4b/gsm8k@T0.0,remote_archive_only,,local_repgrid_manifest,0.0,entropy+spilled+top-k+logsumexp
dataset_cache/repgrid/evdrop_gsm8k_qwen3_8b/raw_gsm8k_T0.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,"Mind the Gap / Evidence Drop (ICML 2026, PMLR 306)",1319,1,opened development archive,False,321.1546626231994,Qwen/Qwen3-8B,repgrid/evdrop_gsm8k_qwen3_8b/gsm8k@T0.0,remote_archive_only,,local_repgrid_manifest,0.0,entropy+spilled+top-k+logsumexp
dataset_cache/repgrid/evdrop_gsm8k_qwen3_8b_pilot/raw_gsm8k_T0.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,"Mind the Gap / Evidence Drop (ICML 2026, PMLR 306)",30,1,opened development archive,False,319.0,Qwen/Qwen3-8B,repgrid/evdrop_gsm8k_qwen3_8b_pilot/gsm8k@T0.0,remote_archive_only,,local_repgrid_manifest,0.0,entropy+spilled+top-k+logsumexp
dataset_cache/repgrid/evdrop_math_qwen3_4b/raw_math_T0.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,math,"Mind the Gap / Evidence Drop (ICML 2026, PMLR 306)",1500,1,opened development archive,False,774.4953333333333,Qwen/Qwen3-4B,repgrid/evdrop_math_qwen3_4b/math@T0.0,remote_archive_only,,local_repgrid_manifest,0.0,entropy+spilled+top-k+logsumexp
dataset_cache/repgrid/evdrop_math_qwen3_8b/raw_math_T0.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,math,"Mind the Gap / Evidence Drop (ICML 2026, PMLR 306)",1500,1,opened development archive,False,787.1353333333333,Qwen/Qwen3-8B,repgrid/evdrop_math_qwen3_8b/math@T0.0,remote_archive_only,,local_repgrid_manifest,0.0,entropy+spilled+top-k+logsumexp
dataset_cache/repgrid/evdrop_math_qwen3_8b_pilot/raw_math_T0.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,math,"Mind the Gap / Evidence Drop (ICML 2026, PMLR 306)",30,1,opened development archive,False,783.7,Qwen/Qwen3-8B,repgrid/evdrop_math_qwen3_8b_pilot/math@T0.0,remote_archive_only,,local_repgrid_manifest,0.0,entropy+spilled+top-k+logsumexp
dataset_cache/repgrid/gpqa_llama70b/raw_gpqa_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gpqa,internal — GPQA 70B-class regeneration (full 46-view coverage),198,10,opened development archive,False,769.9939393939394,meta-llama/Llama-3.3-70B-Instruct,repgrid/gpqa_llama70b/gpqa@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k+logsumexp
dataset_cache/repgrid/gpqa_llama8b/raw_gpqa_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gpqa,internal — phase4 gpqa regeneration at true T=1.0 (mislabel retired),198,10,opened development archive,False,642.1040404040403,meta-llama/Llama-3.1-8B-Instruct,repgrid/gpqa_llama8b/gpqa@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k+logsumexp
dataset_cache/repgrid/gpqa_mistral7b/raw_gpqa_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gpqa,internal — phase4 gpqa regeneration at true T=1.0 (mislabel retired),198,10,opened development archive,False,503.9707070707071,mistralai/Mistral-7B-Instruct-v0.2,repgrid/gpqa_mistral7b/gpqa@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k+logsumexp
dataset_cache/repgrid/gpqa_qwen72b/raw_gpqa_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gpqa,internal — GPQA 70B-class regeneration (full 46-view coverage),198,10,opened development archive,False,737.3843434343435,Qwen/Qwen2.5-72B-Instruct,repgrid/gpqa_qwen72b/gpqa@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k+logsumexp
dataset_cache/repgrid/gpqa_r1distill8b/raw_gpqa_T1.0.pkl.part-00,unusable,local artifact is a Git-LFS pointer; no download authorized,gpqa,internal — phase4 gpqa regeneration at true T=1.0 (mislabel retired),198,10,opened development archive,False,,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,repgrid/gpqa_r1distill8b/gpqa@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k+logsumexp
dataset_cache/repgrid/internalstates_gsm8k_qwen25_7b/raw_gsm8k_T0.8.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,Internal-States + Reasoning-Consistency (arXiv 2510.11529),500,1,opened development archive,False,346.918,Qwen/Qwen2.5-7B-Instruct,repgrid/internalstates_gsm8k_qwen25_7b/gsm8k@T0.8,remote_archive_only,,local_repgrid_manifest,0.8,entropy+spilled+top-k+logsumexp
dataset_cache/repgrid/internalstates_gsm8k_qwen25_7b_pilot/raw_gsm8k_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,Internal-States + Reasoning-Consistency (arXiv 2510.11529),30,1,opened development archive,False,410.26666666666665,Qwen/Qwen2.5-7B-Instruct,repgrid/internalstates_gsm8k_qwen25_7b_pilot/gsm8k@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k
dataset_cache/repgrid/lapeigvals_gsm8k_llama3b/raw_gsm8k_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,LapEigvals (arXiv 2502.17598),1319,1,opened development archive,False,234.42683851402577,unsloth/Llama-3.2-3B-Instruct,repgrid/lapeigvals_gsm8k_llama3b/gsm8k@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k
dataset_cache/repgrid/lapeigvals_gsm8k_llama8b/raw_gsm8k_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,LapEigvals (arXiv 2502.17598),500,1,opened development archive,False,264.38,meta-llama/Llama-3.1-8B-Instruct,repgrid/lapeigvals_gsm8k_llama8b/gsm8k@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k
dataset_cache/repgrid/lapeigvals_gsm8k_mistral24b/raw_gsm8k_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,LapEigvals (arXiv 2502.17598),1319,1,opened development archive,False,256.08946171341927,mistralai/Mistral-Small-24B-Instruct-2501,repgrid/lapeigvals_gsm8k_mistral24b/gsm8k@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k
dataset_cache/repgrid/lapeigvals_gsm8k_nemo/raw_gsm8k_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,LapEigvals (arXiv 2502.17598),1319,1,opened development archive,False,271.33131159969673,mistralai/Mistral-Nemo-Instruct-2407,repgrid/lapeigvals_gsm8k_nemo/gsm8k@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k
dataset_cache/repgrid/lapeigvals_gsm8k_phi35/raw_gsm8k_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,LapEigvals (arXiv 2502.17598),1319,1,opened development archive,False,309.47384382107657,microsoft/Phi-3.5-mini-instruct,repgrid/lapeigvals_gsm8k_phi35/gsm8k@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k
dataset_cache/repgrid/lapeigvals_gsm8k_phi35_pilot/raw_gsm8k_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,LapEigvals (arXiv 2502.17598),30,1,opened development archive,False,342.56666666666666,microsoft/Phi-3.5-mini-instruct,repgrid/lapeigvals_gsm8k_phi35_pilot/gsm8k@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k
dataset_cache/repgrid/losnet_hotpotqa_mistral7b/raw_hotpotqa_T0.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,hotpotqa,LOS-Net (arXiv 2503.14043),500,1,opened development archive,False,223.076,mistralai/Mistral-7B-Instruct-v0.2,repgrid/losnet_hotpotqa_mistral7b/hotpotqa@T0.0,remote_archive_only,,local_repgrid_manifest,0.0,entropy+spilled+top-k
dataset_cache/repgrid/math500_dsmath7b/raw_math500_T1.5.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,math500,internal — phase4 math500 regeneration (backfill-unrescuable cell),300,1,opened development archive,False,531.0233333333333,deepseek-ai/deepseek-math-7b-instruct,repgrid/math500_dsmath7b/math500@T1.5,remote_archive_only,,local_repgrid_manifest,1.5,entropy+spilled+top-k+logsumexp
dataset_cache/repgrid/math500_qwenmath7b/raw_math500_T1.5.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,math500,internal — phase4 math500 regeneration (backfill-unrescuable cell),300,1,opened development archive,False,1576.4366666666667,Qwen/Qwen2.5-Math-7B-Instruct,repgrid/math500_qwenmath7b/math500@T1.5,remote_archive_only,,local_repgrid_manifest,1.5,entropy+spilled+top-k+logsumexp
dataset_cache/repgrid/math500_r1distill8b/raw_math500_T1.5.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,math500,internal — phase4 math500 regeneration (backfill-unrescuable cell),300,1,opened development archive,False,1564.3433333333332,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,repgrid/math500_r1distill8b/math500@T1.5,remote_archive_only,,local_repgrid_manifest,1.5,entropy+spilled+top-k+logsumexp
dataset_cache/repgrid/math500_r1distill8b_mn4096/raw_math500_T1.5.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,math500,internal — phase4 math500 regeneration (backfill-unrescuable cell),300,1,opened development archive,False,2712.5266666666666,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,repgrid/math500_r1distill8b_mn4096/math500@T1.5,remote_archive_only,,local_repgrid_manifest,1.5,entropy+spilled+top-k+logsumexp
dataset_cache/repgrid/noise_gsm8k_gemma2b/raw_gsm8k_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,Noise Injection (arXiv 2502.03799),30,1,opened development archive,False,136.86666666666667,unsloth/gemma-2b-it,repgrid/noise_gsm8k_gemma2b/gsm8k@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k
dataset_cache/repgrid/noise_gsm8k_mistral7b/raw_gsm8k_T1.0.pkl,unusable,local artifact is a Git-LFS pointer; no download authorized,gsm8k,Noise Injection (arXiv 2502.03799),1319,1,opened development archive,False,335.8377558756634,mistralai/Mistral-7B-Instruct-v0.3,repgrid/noise_gsm8k_mistral7b/gsm8k@T1.0,remote_archive_only,,local_repgrid_manifest,1.0,entropy+spilled+top-k
