budget,cell_id,family,group,is_final,label_error,length_band,method,score,trace_id,trace_length,unit_index
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,iu28_no_length,0.19288908948158462,15:0,2048,15
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,cusum_swvar_equal,-0.3095012230397107,15:0,2048,15
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,deepconf_entropy_w64,0.17186050197815916,15:0,2048,15
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,iu28_no_length,0.19296023877389698,15:0,2048,15
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,cusum_swvar_equal,-0.3094182153114433,15:0,2048,15
512,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,deepconf_entropy_w64,0.4541177650389727,15:0,2048,15
512,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,iu28_no_length,0.6384807076329512,15:0,2048,15
512,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,False,1,ge512,cusum_swvar_equal,-0.10923128985347155,15:0,2048,15
2048,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,True,1,ge512,deepconf_entropy_w64,2.6988145411014557,15:0,2048,15
2048,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,True,1,ge512,iu28_no_length,1.3690177166875825,15:0,2048,15
2048,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,15,True,1,ge512,cusum_swvar_equal,1.5534525948469275,15:0,2048,15
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,False,0,128_511,deepconf_entropy_w64,0.09597982255218085,16:0,300,16
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,False,0,128_511,iu28_no_length,0.08144564823660122,16:0,300,16
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,False,0,128_511,cusum_swvar_equal,-0.6938450130384055,16:0,300,16
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,False,0,128_511,deepconf_entropy_w64,0.05448793556570308,16:0,300,16
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,False,0,128_511,iu28_no_length,-0.034155758917493194,16:0,300,16
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,False,0,128_511,cusum_swvar_equal,-0.693639752003341,16:0,300,16
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,False,0,128_511,deepconf_entropy_w64,0.16544168276379878,16:0,300,16
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,False,0,128_511,iu28_no_length,0.18691140524208755,16:0,300,16
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,False,0,128_511,cusum_swvar_equal,-0.5200200251373128,16:0,300,16
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,False,0,128_511,deepconf_entropy_w64,0.21769254679304595,16:0,300,16
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,False,0,128_511,iu28_no_length,0.1869211036904106,16:0,300,16
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,False,0,128_511,cusum_swvar_equal,-0.4430700687318878,16:0,300,16
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,False,0,128_511,deepconf_entropy_w64,0.21769254679304595,16:0,300,16
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,False,0,128_511,iu28_no_length,0.1880450107772134,16:0,300,16
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,False,0,128_511,cusum_swvar_equal,-0.43949301665367896,16:0,300,16
300,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,True,0,128_511,deepconf_entropy_w64,0.21769254679304595,16:0,300,16
300,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,True,0,128_511,iu28_no_length,0.18871910342613418,16:0,300,16
300,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,16,True,0,128_511,cusum_swvar_equal,-0.4386401475721998,16:0,300,16
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,deepconf_entropy_w64,0.06563434099098231,17:0,2048,17
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,iu28_no_length,-0.020709072222424053,17:0,2048,17
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,cusum_swvar_equal,-0.7820299514212763,17:0,2048,17
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,deepconf_entropy_w64,0.06776882897474934,17:0,2048,17
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,iu28_no_length,-0.08479481021201513,17:0,2048,17
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,cusum_swvar_equal,-0.7553618683777062,17:0,2048,17
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,deepconf_entropy_w64,0.12720949101054657,17:0,2048,17
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,iu28_no_length,0.25729109829223773,17:0,2048,17
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,cusum_swvar_equal,-0.6367525052082093,17:0,2048,17
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,deepconf_entropy_w64,0.1443373257114331,17:0,2048,17
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,iu28_no_length,0.2611926234501179,17:0,2048,17
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,cusum_swvar_equal,-0.6360076260919814,17:0,2048,17
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,deepconf_entropy_w64,0.1443373257114331,17:0,2048,17
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,iu28_no_length,0.2616089808042933,17:0,2048,17
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,cusum_swvar_equal,-0.5900311728373093,17:0,2048,17
512,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,deepconf_entropy_w64,0.26776167245816396,17:0,2048,17
512,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,iu28_no_length,0.25596682734797976,17:0,2048,17
512,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,False,1,ge512,cusum_swvar_equal,-0.3952220058325625,17:0,2048,17
2048,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,True,1,ge512,deepconf_entropy_w64,2.6991367377340794,17:0,2048,17
2048,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,True,1,ge512,iu28_no_length,1.525632890841932,17:0,2048,17
2048,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,17,True,1,ge512,cusum_swvar_equal,2.3790526147288666,17:0,2048,17
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,False,0,128_511,deepconf_entropy_w64,0.24813679567159852,18:0,460,18
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,False,0,128_511,iu28_no_length,0.07270510314600716,18:0,460,18
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,False,0,128_511,cusum_swvar_equal,-0.5659063839794758,18:0,460,18
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,False,0,128_511,deepconf_entropy_w64,0.24198037937389927,18:0,460,18
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,False,0,128_511,iu28_no_length,0.16489871065138276,18:0,460,18
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,False,0,128_511,cusum_swvar_equal,-0.4299084430891129,18:0,460,18
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,False,0,128_511,deepconf_entropy_w64,0.16865709677915675,18:0,460,18
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,False,0,128_511,iu28_no_length,0.16695509141848497,18:0,460,18
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,False,0,128_511,cusum_swvar_equal,-0.42776288265232065,18:0,460,18
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,False,0,128_511,deepconf_entropy_w64,0.16865709677915675,18:0,460,18
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,False,0,128_511,iu28_no_length,0.32979259225626173,18:0,460,18
128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,False,0,128_511,cusum_swvar_equal,-0.4265505268504842,18:0,460,18
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,False,0,128_511,deepconf_entropy_w64,0.16865709677915675,18:0,460,18
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,False,0,128_511,iu28_no_length,0.3467512686995195,18:0,460,18
256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,False,0,128_511,cusum_swvar_equal,-0.42270105587172013,18:0,460,18
460,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,True,0,128_511,deepconf_entropy_w64,0.2676486745513103,18:0,460,18
460,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,True,0,128_511,iu28_no_length,0.3707906360472456,18:0,460,18
460,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,18,True,0,128_511,cusum_swvar_equal,-0.4219970183225614,18:0,460,18
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,22,False,1,ge512,deepconf_entropy_w64,0.2612658716388978,22:0,2048,22
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,22,False,1,ge512,iu28_no_length,-0.030268757756968055,22:0,2048,22
16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,22,False,1,ge512,cusum_swvar_equal,-0.6109621299650334,22:0,2048,22
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,22,False,1,ge512,deepconf_entropy_w64,0.23995712185205775,22:0,2048,22
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,22,False,1,ge512,iu28_no_length,-0.1252019607506619,22:0,2048,22
32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,22,False,1,ge512,cusum_swvar_equal,-0.5610292838511962,22:0,2048,22
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,22,False,1,ge512,deepconf_entropy_w64,0.2690291936950189,22:0,2048,22
64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,22,False,1,ge512,iu28_no_length,0.2521927082894766,22:0,2048,22
