domain,cell,loco_auroc,loco_subset,good5,all16,consensus_auroc,oracle_best_LABEL_PEEKING_CEILING
rag,Qwen-72B/natural-questions,0.6522,epr|spectral_entropy|hl_ratio|sw_var_peak|cusum_max,0.6495,0.6553,,0.6922
rag,Qwen-7B/2wikimultihopqa,0.5433,epr|spectral_entropy|hl_ratio|sw_var_peak|cusum_max,0.5108,0.5554,0.5819,0.7364
rag,Qwen-7B/hotpotqa,0.6335,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.6253,0.6944,0.6335,0.7067
rag,Qwen-7B/narrativeqa,0.6663,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.6496,0.6285,0.6663,0.7239
rag,Qwen-7B/natural-questions,0.6176,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.6136,0.6423,0.6176,0.7095
repgrid,ars_gsm8k_r1distill8b,0.7536,epr|spectral_entropy|hl_ratio|sw_var_peak|cusum_max,0.75,0.3643,0.7743,0.7768
repgrid,epr_triviaqa_mistral24b,0.6939,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.7073,0.6733,0.6939,0.7384
repgrid,inside_coqa_llama7b,0.5792,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.6841,0.4608,0.5792,0.6862
repgrid,internalstates_gsm8k_qwen25_7b,0.6872,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.6282,0.6797,0.6872,0.7199
repgrid,lapeigvals_gsm8k_llama3b,0.6797,epr|spectral_entropy|hl_ratio|sw_var_peak|cusum_max,0.6845,0.6483,0.6964,0.7095
repgrid,lapeigvals_gsm8k_llama8b,0.7634,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.8152,0.7945,0.7634,0.8242
repgrid,lapeigvals_gsm8k_mistral24b,0.8151,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.8006,0.8079,0.8151,0.8558
repgrid,lapeigvals_gsm8k_nemo,0.7709,epr|spectral_entropy|hl_ratio|sw_var_peak|cusum_max,0.782,0.7389,0.8047,0.8053
repgrid,lapeigvals_gsm8k_phi35,0.7233,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.8032,0.7357,0.7233,0.8093
repgrid,losnet_hotpotqa_mistral7b,0.5828,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.5754,0.5434,0.5828,0.5962
repgrid,noise_gsm8k_mistral7b,0.7909,epr|spectral_entropy|hl_ratio|sw_var_peak|cusum_max,0.7851,0.7201,0.805,0.8096
repgrid,noise_gsm8k_phi3mini,0.6536,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.6643,0.5988,0.6536,0.6899
repgrid,sciq_llama8b,0.7139,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.7381,0.7215,0.7139,0.7609
repgrid,se_nq_open_llama8b,0.7221,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.718,0.6638,0.7221,0.7428
repgrid,se_squad_v2_llama8b,0.7988,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.7982,0.7674,0.7988,0.8121
repgrid,seiclr_triviaqa_opt30b,0.5729,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.5948,0.5295,0.5729,0.6325
repgrid,semenergy_triviaqa_qwen3_8b,0.7983,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.8006,0.7091,0.7983,0.8094
repgrid,spilled_triviaqa_llama8b,0.9453,epr|spectral_entropy|hl_ratio|sw_var_peak|cusum_max,0.934,0.9067,0.956,0.9793
repgrid,truthfulqa_llama8b,0.6714,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.6596,0.6555,0.6714,0.6779
