cell,model,dataset,n_problems,acc,subset,method,n_feats,anchor,auroc_X,lo,hi,n_rows,valid_rate,published_Y,Y_method,delta_X_minus_Y,head_to_head,flipped
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,consensus_4,upcr,4,epr,0.7097,0.6639,0.753,621,0.621,0.746,EPR,-0.0363,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,GOOD_5,lsml,5,epr,0.7073,0.6609,0.7523,621,0.621,0.746,EPR,-0.0387,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,GOOD_5,upcr,5,epr,0.7282,0.6843,0.7717,621,0.621,0.746,EPR,-0.0178,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,GOOD_6,lsml,6,epr,0.7332,0.6887,0.7772,621,0.621,0.746,EPR,-0.0128,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,GOOD_6,upcr,6,epr,0.7226,0.6785,0.7649,621,0.621,0.746,EPR,-0.0234,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,top_macro_5,lsml,5,epr,0.7032,0.6557,0.7478,621,0.621,0.746,EPR,-0.0428,SAME-MODEL,True
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,top_macro_5,upcr,5,epr,0.7282,0.6843,0.7717,621,0.621,0.746,EPR,-0.0178,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,STABLE_H9,lsml,9,epr,0.6789,0.629,0.7262,621,0.621,0.746,EPR,-0.0671,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,STABLE_H9,upcr,9,epr,0.7275,0.683,0.7713,621,0.621,0.746,EPR,-0.0185,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,ALL_H16,lsml,16,epr,0.6678,0.6218,0.715,621,0.621,0.746,EPR,-0.0782,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,ALL_H16,upcr,16,epr,0.6766,0.6293,0.723,621,0.621,0.746,EPR,-0.0694,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,GOOD_5+spilled,lsml,9,epr,0.7207,0.6758,0.763,621,0.621,0.746,EPR,-0.0253,SAME-MODEL,True
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,GOOD_5+spilled,upcr,9,epr,0.686,0.6377,0.7322,621,0.621,0.746,EPR,-0.06,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,GOOD_5+energy,lsml,9,epr,0.7315,0.6897,0.7723,621,0.621,0.746,EPR,-0.0145,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,GOOD_5+energy,upcr,9,epr,0.7174,0.6743,0.7603,621,0.621,0.746,EPR,-0.0286,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,GOOD_5+logprob,lsml,8,epr,0.7312,0.6859,0.7757,621,0.621,0.746,EPR,-0.0148,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,GOOD_5+logprob,upcr,8,epr,0.7358,0.6891,0.7795,621,0.621,0.746,EPR,-0.0102,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,GOOD_5,lsml,5,cusum_max,0.7073,0.6609,0.7523,621,0.621,0.746,EPR,-0.0387,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,GOOD_5,upcr,5,cusum_max,0.7282,0.6843,0.7717,621,0.621,0.746,EPR,-0.0178,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,GOOD_6,lsml,6,cusum_max,0.7332,0.6887,0.7772,621,0.621,0.746,EPR,-0.0128,SAME-MODEL,False
epr_triviaqa_mistral24b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,trivia_qa_wiki,1000,0.786,GOOD_6,upcr,6,cusum_max,0.7226,0.6785,0.7649,621,0.621,0.746,EPR,-0.0234,SAME-MODEL,False
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,consensus_4,lsml,4,epr,0.4794,0.4593,0.5001,4504,0.901,0.804,INSIDE,-0.3246,,True
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,consensus_4,upcr,4,epr,0.3604,0.343,0.3803,4504,0.901,0.804,INSIDE,-0.4436,,True
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,GOOD_5,lsml,5,epr,0.6841,0.6658,0.7006,4504,0.901,0.804,INSIDE,-0.1199,,False
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,GOOD_5,upcr,5,epr,0.6078,0.5857,0.6268,4504,0.901,0.804,INSIDE,-0.1962,,False
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,GOOD_6,lsml,6,epr,0.6674,0.6488,0.6837,4504,0.901,0.804,INSIDE,-0.1366,,False
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,GOOD_6,upcr,6,epr,0.6078,0.5857,0.6268,4504,0.901,0.804,INSIDE,-0.1962,,False
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,top_macro_5,lsml,5,epr,0.6609,0.6426,0.677,4504,0.901,0.804,INSIDE,-0.1431,,False
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,top_macro_5,upcr,5,epr,0.6326,0.6142,0.6498,4504,0.901,0.804,INSIDE,-0.1714,,False
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,STABLE_H9,lsml,9,epr,0.4754,0.455,0.495,4504,0.901,0.804,INSIDE,-0.3286,,False
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,STABLE_H9,upcr,9,epr,0.5537,0.5342,0.5732,4504,0.901,0.804,INSIDE,-0.2503,,False
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,ALL_H16,lsml,16,epr,0.4961,0.4769,0.5154,4504,0.901,0.804,INSIDE,-0.3079,,False
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,ALL_H16,upcr,16,epr,0.5044,0.4847,0.5232,4504,0.901,0.804,INSIDE,-0.2996,,False
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,GOOD_5+spilled,lsml,9,epr,0.6363,0.6185,0.6546,4504,0.901,0.804,INSIDE,-0.1677,,True
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,GOOD_5+spilled,upcr,9,epr,0.5354,0.5154,0.5542,4504,0.901,0.804,INSIDE,-0.2686,,True
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,GOOD_5+energy,lsml,5,epr,0.6841,0.6658,0.7006,4504,0.901,0.804,INSIDE,-0.1199,,False
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,GOOD_5+energy,upcr,5,epr,0.6078,0.5857,0.6268,4504,0.901,0.804,INSIDE,-0.1962,,False
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,GOOD_5+logprob,lsml,8,epr,,,,0,0.0,0.804,INSIDE,,,
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,GOOD_5+logprob,upcr,8,epr,,,,0,0.0,0.804,INSIDE,,,
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,GOOD_5,lsml,5,cusum_max,0.6841,0.6658,0.7006,4504,0.901,0.804,INSIDE,-0.1199,,False
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,GOOD_5,upcr,5,cusum_max,0.6078,0.5857,0.6268,4504,0.901,0.804,INSIDE,-0.1962,,False
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,GOOD_6,lsml,6,cusum_max,0.6674,0.6488,0.6837,4504,0.901,0.804,INSIDE,-0.1366,,False
inside_coqa_llama7b,huggyllama/llama-7b,coqa,500,0.1324,GOOD_6,upcr,6,cusum_max,0.6078,0.5857,0.6268,4504,0.901,0.804,INSIDE,-0.1962,,False
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,consensus_4,lsml,4,epr,0.4729,0.3927,0.5528,249,0.83,0.804,INSIDE,-0.3311,,True
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,consensus_4,upcr,4,epr,0.4499,0.3745,0.5272,249,0.83,0.804,INSIDE,-0.3541,,False
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,GOOD_5,lsml,5,epr,0.5333,0.4476,0.6062,249,0.83,0.804,INSIDE,-0.2707,,True
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,GOOD_5,upcr,5,epr,0.4705,0.3896,0.5473,249,0.83,0.804,INSIDE,-0.3335,,True
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,GOOD_6,lsml,6,epr,0.5632,0.4816,0.6406,249,0.83,0.804,INSIDE,-0.2408,,True
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,GOOD_6,upcr,6,epr,0.4917,0.4073,0.5658,249,0.83,0.804,INSIDE,-0.3123,,True
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,top_macro_5,lsml,5,epr,0.5786,0.5038,0.657,249,0.83,0.804,INSIDE,-0.2254,,True
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,top_macro_5,upcr,5,epr,0.6519,0.5753,0.7268,249,0.83,0.804,INSIDE,-0.1521,,False
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,STABLE_H9,lsml,9,epr,0.524,0.4444,0.6099,249,0.83,0.804,INSIDE,-0.28,,False
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,STABLE_H9,upcr,9,epr,0.563,0.4824,0.6472,249,0.83,0.804,INSIDE,-0.241,,False
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,ALL_H16,lsml,16,epr,0.5477,0.468,0.627,249,0.83,0.804,INSIDE,-0.2563,,False
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,ALL_H16,upcr,16,epr,0.5697,0.4907,0.6532,249,0.83,0.804,INSIDE,-0.2343,,False
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,GOOD_5+spilled,lsml,9,epr,0.5594,0.4793,0.6387,249,0.83,0.804,INSIDE,-0.2446,,False
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,GOOD_5+spilled,upcr,9,epr,0.5351,0.4505,0.6123,249,0.83,0.804,INSIDE,-0.2689,,True
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,GOOD_5+energy,lsml,5,epr,0.5333,0.4476,0.6062,249,0.83,0.804,INSIDE,-0.2707,,True
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,GOOD_5+energy,upcr,5,epr,0.4705,0.3896,0.5473,249,0.83,0.804,INSIDE,-0.3335,,True
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,GOOD_5+logprob,lsml,8,epr,,,,0,0.0,0.804,INSIDE,,,
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,GOOD_5+logprob,upcr,8,epr,,,,0,0.0,0.804,INSIDE,,,
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,GOOD_5,lsml,5,cusum_max,0.4667,0.3938,0.5524,249,0.83,0.804,INSIDE,-0.3373,,False
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,GOOD_5,upcr,5,cusum_max,0.5295,0.4527,0.6104,249,0.83,0.804,INSIDE,-0.2745,,False
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,GOOD_6,lsml,6,cusum_max,0.4368,0.3594,0.5184,249,0.83,0.804,INSIDE,-0.3672,,False
inside_coqa_llama7b_n30_pilot,huggyllama/llama-7b,coqa,30,0.1833,GOOD_6,upcr,6,cusum_max,0.5083,0.4342,0.5927,249,0.83,0.804,INSIDE,-0.2957,,False
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,consensus_4,lsml,4,epr,0.3596,0.329,0.3901,1319,1.0,0.7170000000000001,LapEigvals,-0.3574,SAME-MODEL,True
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,consensus_4,upcr,4,epr,0.3409,0.3111,0.37,1319,1.0,0.7170000000000001,LapEigvals,-0.3761,SAME-MODEL,True
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,GOOD_5,lsml,5,epr,0.6845,0.6576,0.7124,1319,1.0,0.7170000000000001,LapEigvals,-0.0325,SAME-MODEL,False
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,GOOD_5,upcr,5,epr,0.7019,0.6753,0.7302,1319,1.0,0.7170000000000001,LapEigvals,-0.0151,SAME-MODEL,False
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,GOOD_6,lsml,6,epr,0.7025,0.6759,0.7308,1319,1.0,0.7170000000000001,LapEigvals,-0.0145,SAME-MODEL,False
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,GOOD_6,upcr,6,epr,0.7019,0.6753,0.7302,1319,1.0,0.7170000000000001,LapEigvals,-0.0151,SAME-MODEL,False
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,top_macro_5,lsml,5,epr,0.6797,0.6528,0.7076,1319,1.0,0.7170000000000001,LapEigvals,-0.0373,SAME-MODEL,True
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,top_macro_5,upcr,5,epr,0.7022,0.675,0.73,1319,1.0,0.7170000000000001,LapEigvals,-0.0148,SAME-MODEL,False
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,STABLE_H9,lsml,9,epr,0.6613,0.6324,0.691,1319,1.0,0.7170000000000001,LapEigvals,-0.0557,SAME-MODEL,True
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,STABLE_H9,upcr,9,epr,0.6719,0.6418,0.7016,1319,1.0,0.7170000000000001,LapEigvals,-0.0451,SAME-MODEL,False
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,ALL_H16,lsml,16,epr,0.6483,0.6182,0.6772,1319,1.0,0.7170000000000001,LapEigvals,-0.0687,SAME-MODEL,True
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,ALL_H16,upcr,16,epr,0.5986,0.5681,0.6305,1319,1.0,0.7170000000000001,LapEigvals,-0.1184,SAME-MODEL,True
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,GOOD_5+spilled,lsml,9,epr,0.6916,0.6636,0.7196,1319,1.0,0.7170000000000001,LapEigvals,-0.0254,SAME-MODEL,True
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,GOOD_5+spilled,upcr,9,epr,0.6734,0.6449,0.7029,1319,1.0,0.7170000000000001,LapEigvals,-0.0436,SAME-MODEL,False
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,GOOD_5+energy,lsml,5,epr,0.6845,0.6576,0.7124,1319,1.0,0.7170000000000001,LapEigvals,-0.0325,SAME-MODEL,False
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,GOOD_5+energy,upcr,5,epr,0.7019,0.6753,0.7302,1319,1.0,0.7170000000000001,LapEigvals,-0.0151,SAME-MODEL,False
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,GOOD_5+logprob,lsml,8,epr,0.7106,0.6844,0.7395,1319,1.0,0.7170000000000001,LapEigvals,-0.0064,SAME-MODEL,False
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,GOOD_5+logprob,upcr,8,epr,0.7104,0.6831,0.7384,1319,1.0,0.7170000000000001,LapEigvals,-0.0066,SAME-MODEL,False
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,GOOD_5,lsml,5,cusum_max,0.6845,0.6576,0.7124,1319,1.0,0.7170000000000001,LapEigvals,-0.0325,SAME-MODEL,False
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,GOOD_5,upcr,5,cusum_max,0.7019,0.6753,0.7302,1319,1.0,0.7170000000000001,LapEigvals,-0.0151,SAME-MODEL,False
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,GOOD_6,lsml,6,cusum_max,0.7025,0.6759,0.7308,1319,1.0,0.7170000000000001,LapEigvals,-0.0145,SAME-MODEL,False
lapeigvals_gsm8k_llama3b,unsloth/Llama-3.2-3B-Instruct,gsm8k,1319,0.445,GOOD_6,upcr,6,cusum_max,0.7019,0.6753,0.7302,1319,1.0,0.7170000000000001,LapEigvals,-0.0151,SAME-MODEL,False
lapeigvals_gsm8k_llama8b,meta-llama/Llama-3.1-8B-Instruct,gsm8k,500,0.724,consensus_4,lsml,4,epr,0.7634,0.71,0.8087,500,1.0,0.925,LapEigvals,-0.1616,,False
lapeigvals_gsm8k_llama8b,meta-llama/Llama-3.1-8B-Instruct,gsm8k,500,0.724,consensus_4,upcr,4,epr,0.7916,0.7384,0.8325,500,1.0,0.925,LapEigvals,-0.1334,,False
lapeigvals_gsm8k_llama8b,meta-llama/Llama-3.1-8B-Instruct,gsm8k,500,0.724,GOOD_5,lsml,5,epr,0.8152,0.7678,0.8541,500,1.0,0.925,LapEigvals,-0.1098,,False
lapeigvals_gsm8k_llama8b,meta-llama/Llama-3.1-8B-Instruct,gsm8k,500,0.724,GOOD_5,upcr,5,epr,0.8119,0.7625,0.8524,500,1.0,0.925,LapEigvals,-0.1131,,False
lapeigvals_gsm8k_llama8b,meta-llama/Llama-3.1-8B-Instruct,gsm8k,500,0.724,GOOD_6,lsml,6,epr,0.8186,0.7712,0.8581,500,1.0,0.925,LapEigvals,-0.1064,,False
lapeigvals_gsm8k_llama8b,meta-llama/Llama-3.1-8B-Instruct,gsm8k,500,0.724,GOOD_6,upcr,6,epr,0.7865,0.7351,0.8304,500,1.0,0.925,LapEigvals,-0.1385,,False
lapeigvals_gsm8k_llama8b,meta-llama/Llama-3.1-8B-Instruct,gsm8k,500,0.724,top_macro_5,lsml,5,epr,0.8088,0.7606,0.8508,500,1.0,0.925,LapEigvals,-0.1162,,True
lapeigvals_gsm8k_llama8b,meta-llama/Llama-3.1-8B-Instruct,gsm8k,500,0.724,top_macro_5,upcr,5,epr,0.8029,0.7509,0.8443,500,1.0,0.925,LapEigvals,-0.1221,,False
lapeigvals_gsm8k_llama8b,meta-llama/Llama-3.1-8B-Instruct,gsm8k,500,0.724,STABLE_H9,lsml,9,epr,0.8048,0.7556,0.8478,500,1.0,0.925,LapEigvals,-0.1202,,True
lapeigvals_gsm8k_llama8b,meta-llama/Llama-3.1-8B-Instruct,gsm8k,500,0.724,STABLE_H9,upcr,9,epr,0.7826,0.7322,0.8298,500,1.0,0.925,LapEigvals,-0.1424,,False
lapeigvals_gsm8k_llama8b,meta-llama/Llama-3.1-8B-Instruct,gsm8k,500,0.724,ALL_H16,lsml,16,epr,0.7945,0.7441,0.8372,500,1.0,0.925,LapEigvals,-0.1305,,True
lapeigvals_gsm8k_llama8b,meta-llama/Llama-3.1-8B-Instruct,gsm8k,500,0.724,ALL_H16,upcr,16,epr,0.738,0.6892,0.7852,500,1.0,0.925,LapEigvals,-0.187,,True
lapeigvals_gsm8k_llama8b,meta-llama/Llama-3.1-8B-Instruct,gsm8k,500,0.724,GOOD_5+spilled,lsml,9,epr,0.8061,0.7586,0.8458,500,1.0,0.925,LapEigvals,-0.1189,,True
