channel,scale,population,bin,centre,mean,n,slope_bin_means
chosen_surprisal,raw,gate_closed,1,0.15,0.610685884068523,114814,-0.7762433230664929
chosen_surprisal,raw,gate_closed,2,0.25,0.48234997826247633,115024,-0.7762433230664929
chosen_surprisal,raw,gate_closed,3,0.35,0.42040621694954156,114878,-0.7762433230664929
chosen_surprisal,raw,gate_closed,4,0.45,0.37338592652676655,114570,-0.7762433230664929
chosen_surprisal,raw,gate_closed,5,0.55,0.35380717811840323,115263,-0.7762433230664929
chosen_surprisal,raw,gate_closed,6,0.65,0.33448118553250883,115089,-0.7762433230664929
chosen_surprisal,raw,gate_closed,7,0.75,0.31394677946596505,114813,-0.7762433230664929
chosen_surprisal,raw,gate_closed,8,0.85,0.3217611145049395,115025,-0.7762433230664929
chosen_surprisal,raw,gate_closed,9,0.95,0.44136113173638614,116185,-0.7762433230664929
chosen_surprisal,answer_z,gate_closed,0,0.05,0.4793061486981906,115953,-0.3757353750028136
chosen_surprisal,answer_z,gate_closed,1,0.15,0.04664690871878412,114814,-0.3757353750028136
chosen_surprisal,answer_z,gate_closed,2,0.25,-0.01742913270540983,115024,-0.3757353750028136
chosen_surprisal,answer_z,gate_closed,3,0.35,-0.04700129785490793,114878,-0.3757353750028136
chosen_surprisal,answer_z,gate_closed,4,0.45,-0.06806956198440903,114570,-0.3757353750028136
chosen_surprisal,answer_z,gate_closed,5,0.55,-0.07756632136805572,115263,-0.3757353750028136
chosen_surprisal,answer_z,gate_closed,6,0.65,-0.08752935006997792,115089,-0.3757353750028136
chosen_surprisal,answer_z,gate_closed,7,0.75,-0.09602044760050163,114813,-0.3757353750028136
chosen_surprisal,answer_z,gate_closed,8,0.85,-0.09432272410298659,115025,-0.3757353750028136
chosen_surprisal,answer_z,gate_closed,9,0.95,-0.04167260322288833,116185,-0.3757353750028136
logprob_margin,raw,gate_closed,0,0.05,-9.182835393088629,115953,-1.4415030871504222
logprob_margin,raw,gate_closed,1,0.15,-9.613161829916915,114814,-1.4415030871504222
logprob_margin,raw,gate_closed,2,0.25,-10.251208442274576,115024,-1.4415030871504222
logprob_margin,raw,gate_closed,3,0.35,-10.432592074724207,114878,-1.4415030871504222
logprob_margin,raw,gate_closed,4,0.45,-10.675944290581908,114570,-1.4415030871504222
logprob_margin,raw,gate_closed,5,0.55,-10.849784296462936,115263,-1.4415030871504222
logprob_margin,raw,gate_closed,6,0.65,-10.83357716522441,115089,-1.4415030871504222
logprob_margin,raw,gate_closed,7,0.75,-10.92567370306085,114813,-1.4415030871504222
logprob_margin,raw,gate_closed,8,0.85,-10.992409801094771,115025,-1.4415030871504222
logprob_margin,raw,gate_closed,9,0.95,-10.225162455135735,116185,-1.4415030871504222
logprob_margin,answer_z,gate_closed,0,0.05,0.18990995007707837,115953,-0.2300368744905822
logprob_margin,answer_z,gate_closed,1,0.15,0.12013627492644154,114814,-0.2300368744905822
logprob_margin,answer_z,gate_closed,2,0.25,0.024930000571023774,115024,-0.2300368744905822
logprob_margin,answer_z,gate_closed,3,0.35,-0.0026339828216896976,114878,-0.2300368744905822
logprob_margin,answer_z,gate_closed,4,0.45,-0.0404823396737348,114570,-0.2300368744905822
logprob_margin,answer_z,gate_closed,5,0.55,-0.06883280196942264,115263,-0.2300368744905822
logprob_margin,answer_z,gate_closed,6,0.65,-0.06789251903479072,115089,-0.2300368744905822
logprob_margin,answer_z,gate_closed,7,0.75,-0.08137416572744484,114813,-0.2300368744905822
logprob_margin,answer_z,gate_closed,8,0.85,-0.09437596243736325,115025,-0.2300368744905822
logprob_margin,answer_z,gate_closed,9,0.95,0.018979298397007516,116185,-0.2300368744905822
true_tail50,raw,gate_closed,0,0.05,3.9268670450777304e-05,115953,-2.183849196316455e-06
true_tail50,raw,gate_closed,1,0.15,4.221268963245365e-05,114814,-2.183849196316455e-06
true_tail50,raw,gate_closed,2,0.25,3.6581210883508424e-05,115024,-2.183849196316455e-06
true_tail50,raw,gate_closed,3,0.35,3.5980284129303294e-05,114878,-2.183849196316455e-06
true_tail50,raw,gate_closed,4,0.45,3.06342201050921e-05,114570,-2.183849196316455e-06
true_tail50,raw,gate_closed,5,0.55,3.185072766701785e-05,115263,-2.183849196316455e-06
true_tail50,raw,gate_closed,6,0.65,3.445737834524681e-05,115089,-2.183849196316455e-06
true_tail50,raw,gate_closed,7,0.75,3.02646314808512e-05,114813,-2.183849196316455e-06
true_tail50,raw,gate_closed,8,0.85,3.091851005429479e-05,115025,-2.183849196316455e-06
true_tail50,raw,gate_closed,9,0.95,4.79309873520462e-05,116185,-2.183849196316455e-06
true_tail50,answer_z,gate_closed,0,0.05,0.0349648029777187,115953,-0.041008364009114145
true_tail50,answer_z,gate_closed,1,0.15,0.043976377377630355,114814,-0.041008364009114145
true_tail50,answer_z,gate_closed,2,0.25,0.008948859079850224,115024,-0.041008364009114145
true_tail50,answer_z,gate_closed,3,0.35,-0.005194260126873574,114878,-0.041008364009114145
true_tail50,answer_z,gate_closed,4,0.45,-0.023693950137995846,114570,-0.041008364009114145
true_tail50,answer_z,gate_closed,5,0.55,-0.02118434491970543,115263,-0.041008364009114145
true_tail50,answer_z,gate_closed,6,0.65,-0.023073202852113676,115089,-0.041008364009114145
true_tail50,answer_z,gate_closed,7,0.75,-0.031417562161894313,114813,-0.041008364009114145
true_tail50,answer_z,gate_closed,8,0.85,-0.027734624180377667,115025,-0.041008364009114145
true_tail50,answer_z,gate_closed,9,0.95,0.043664617857921605,116185,-0.041008364009114145
energy_level,raw,gate_closed,0,0.05,-35.40040298980989,115953,1.9965883145196337
energy_level,raw,gate_closed,1,0.15,-34.288855782042255,114814,1.9965883145196337
energy_level,raw,gate_closed,2,0.25,-34.16206321578345,115024,1.9965883145196337
energy_level,raw,gate_closed,3,0.35,-33.97961460412318,114878,1.9965883145196337
energy_level,raw,gate_closed,4,0.45,-33.840300179043915,114570,1.9965883145196337
energy_level,raw,gate_closed,5,0.55,-33.746115881419776,115263,1.9965883145196337
energy_level,raw,gate_closed,6,0.65,-33.54711653804681,115089,1.9965883145196337
energy_level,raw,gate_closed,7,0.75,-33.474316165811736,114813,1.9965883145196337
energy_level,raw,gate_closed,8,0.85,-33.41522222380046,115025,1.9965883145196337
energy_level,raw,gate_closed,9,0.95,-32.95619648579102,116185,1.9965883145196337
energy_level,answer_z,gate_closed,0,0.05,-0.3202247021538232,115953,0.4120707856013022
energy_level,answer_z,gate_closed,1,0.15,-0.08701409564408832,114814,0.4120707856013022
energy_level,answer_z,gate_closed,2,0.25,-0.05530430194567005,115024,0.4120707856013022
energy_level,answer_z,gate_closed,3,0.35,-0.014621530099053348,114878,0.4120707856013022
energy_level,answer_z,gate_closed,4,0.45,0.013889560954239917,114570,0.4120707856013022
energy_level,answer_z,gate_closed,5,0.55,0.029969173296865447,115263,0.4120707856013022
energy_level,answer_z,gate_closed,6,0.65,0.06886745746464035,115089,0.4120707856013022
energy_level,answer_z,gate_closed,7,0.75,0.08306168844658203,114813,0.4120707856013022
energy_level,answer_z,gate_closed,8,0.85,0.09414102468337004,115025,0.4120707856013022
energy_level,answer_z,gate_closed,9,0.95,0.1878536970833224,116185,0.4120707856013022
energy_innovation,raw,gate_closed,0,0.05,0.010475193075559027,115953,-0.496072108655479
energy_innovation,raw,gate_closed,1,0.15,-0.7904226188567478,114814,-0.496072108655479
energy_innovation,raw,gate_closed,2,0.25,-0.5633844669131083,115024,-0.496072108655479
energy_innovation,raw,gate_closed,3,0.35,-0.5611538768473397,114878,-0.496072108655479
energy_innovation,raw,gate_closed,4,0.45,-0.555972265033891,114570,-0.496072108655479
energy_innovation,raw,gate_closed,5,0.55,-0.5401677731833399,115263,-0.496072108655479
energy_innovation,raw,gate_closed,6,0.65,-0.6406376871692351,115089,-0.496072108655479
energy_innovation,raw,gate_closed,7,0.75,-0.6235491670163702,114813,-0.496072108655479
energy_innovation,raw,gate_closed,8,0.85,-0.6066139228481432,115025,-0.496072108655479
energy_innovation,raw,gate_closed,9,0.95,-0.9837892763960171,116185,-0.496072108655479
energy_innovation,answer_z,gate_closed,0,0.05,0.11960169561913805,115953,-0.09045711896120567
energy_innovation,answer_z,gate_closed,1,0.15,-0.04379921949578823,114814,-0.09045711896120567
energy_innovation,answer_z,gate_closed,2,0.25,0.0005503209640089249,115024,-0.09045711896120567
energy_innovation,answer_z,gate_closed,3,0.35,-0.0006498428705915018,114878,-0.09045711896120567
energy_innovation,answer_z,gate_closed,4,0.45,0.0027746609941344024,114570,-0.09045711896120567
energy_innovation,answer_z,gate_closed,5,0.55,0.009623102761685277,115263,-0.09045711896120567
energy_innovation,answer_z,gate_closed,6,0.65,-0.008444623683221252,115089,-0.09045711896120567
energy_innovation,answer_z,gate_closed,7,0.75,-0.004323416060878894,114813,-0.09045711896120567
energy_innovation,answer_z,gate_closed,8,0.85,0.0006086414867587492,115025,-0.09045711896120567
energy_innovation,answer_z,gate_closed,9,0.95,-0.07623084926341132,116185,-0.09045711896120567
top15_turnover,raw,gate_closed,0,0.05,0.8363193204456502,115953,-0.03515512349414804
top15_turnover,raw,gate_closed,1,0.15,0.8533750310285042,114814,-0.03515512349414804
top15_turnover,raw,gate_closed,2,0.25,0.8469536864275955,115024,-0.03515512349414804
top15_turnover,raw,gate_closed,3,0.35,0.8414288854438259,114878,-0.03515512349414804
top15_turnover,raw,gate_closed,4,0.45,0.8407401661564565,114570,-0.03515512349414804
top15_turnover,raw,gate_closed,5,0.55,0.8355424913562376,115263,-0.03515512349414804
top15_turnover,raw,gate_closed,6,0.65,0.833544481664383,115089,-0.03515512349414804
top15_turnover,raw,gate_closed,7,0.75,0.8261526789471337,114813,-0.03515512349414804
top15_turnover,raw,gate_closed,8,0.85,0.8167227490699387,115025,-0.03515512349414804
top15_turnover,raw,gate_closed,9,0.95,0.8151373604009139,116185,-0.03515512349414804
top15_turnover,answer_z,gate_closed,0,0.05,-0.013942390885826711,115953,-0.16189030487015316
top15_turnover,answer_z,gate_closed,1,0.15,0.09221090695054154,114814,-0.16189030487015316
top15_turnover,answer_z,gate_closed,2,0.25,0.0633930517524417,115024,-0.16189030487015316
top15_turnover,answer_z,gate_closed,3,0.35,0.03899520261557842,114878,-0.16189030487015316
top15_turnover,answer_z,gate_closed,4,0.45,0.03417059309677321,114570,-0.16189030487015316
top15_turnover,answer_z,gate_closed,5,0.55,0.009256798999284143,115263,-0.16189030487015316
top15_turnover,answer_z,gate_closed,6,0.65,-0.0010996983131157914,115089,-0.16189030487015316
top15_turnover,answer_z,gate_closed,7,0.75,-0.03444782410694019,114813,-0.16189030487015316
top15_turnover,answer_z,gate_closed,8,0.85,-0.0835876317153783,115025,-0.16189030487015316
top15_turnover,answer_z,gate_closed,9,0.95,-0.1035198779431166,116185,-0.16189030487015316
top50_js,raw,gate_closed,0,0.05,0.6649803569302658,115953,0.004230809351803642
top50_js,raw,gate_closed,1,0.15,0.6791179382449859,114814,0.004230809351803642
top50_js,raw,gate_closed,2,0.25,0.6790364616828377,115024,0.004230809351803642
top50_js,raw,gate_closed,3,0.35,0.678669070134845,114878,0.004230809351803642
top50_js,raw,gate_closed,4,0.45,0.6804472561979314,114570,0.004230809351803642
top50_js,raw,gate_closed,5,0.55,0.6805960127498417,115263,0.004230809351803642
top50_js,raw,gate_closed,6,0.65,0.6806667838923509,115089,0.004230809351803642
top50_js,raw,gate_closed,7,0.75,0.6795615366902493,114813,0.004230809351803642
top50_js,raw,gate_closed,8,0.85,0.6785302443426677,115025,0.004230809351803642
top50_js,raw,gate_closed,9,0.95,0.6722197945702105,116185,0.004230809351803642
top50_js,answer_z,gate_closed,0,0.05,-0.17423823184106774,115953,0.07433636106980954
top50_js,answer_z,gate_closed,1,0.15,0.015841332024829975,114814,0.07433636106980954
top50_js,answer_z,gate_closed,2,0.25,0.02124338199617283,115024,0.07433636106980954
top50_js,answer_z,gate_closed,3,0.35,0.019898062958226964,114878,0.07433636106980954
top50_js,answer_z,gate_closed,4,0.45,0.036590943360699416,114570,0.07433636106980954
top50_js,answer_z,gate_closed,5,0.55,0.04114068217866068,115263,0.07433636106980954
top50_js,answer_z,gate_closed,6,0.65,0.04424151095348943,115089,0.07433636106980954
top50_js,answer_z,gate_closed,7,0.75,0.03299566156621895,114813,0.07433636106980954
top50_js,answer_z,gate_closed,8,0.85,0.023496160370298776,115025,0.07433636106980954
top50_js,answer_z,gate_closed,9,0.95,-0.059057711998890594,116185,0.07433636106980954
dominant_freq16,raw,gate_closed,0,0.05,-0.23258399955154244,115953,-0.008294986459857129
dominant_freq16,raw,gate_closed,1,0.15,-0.2097457627118644,114814,-0.008294986459857129
dominant_freq16,raw,gate_closed,2,0.25,-0.20959484542356377,115024,-0.008294986459857129
dominant_freq16,raw,gate_closed,3,0.35,-0.2103884120545274,114878,-0.008294986459857129
dominant_freq16,raw,gate_closed,4,0.45,-0.21588821244653925,114570,-0.008294986459857129
dominant_freq16,raw,gate_closed,5,0.55,-0.21374866609406315,115263,-0.008294986459857129
dominant_freq16,raw,gate_closed,6,0.65,-0.21948502897757388,115089,-0.008294986459857129
dominant_freq16,raw,gate_closed,7,0.75,-0.22418900734237412,114813,-0.008294986459857129
dominant_freq16,raw,gate_closed,8,0.85,-0.22148717670071724,115025,-0.008294986459857129
dominant_freq16,raw,gate_closed,9,0.95,-0.22775691784653784,116185,-0.008294986459857129
dominant_freq16,answer_z,gate_closed,0,0.05,-0.08657506287670891,115953,-0.05476115366872252
dominant_freq16,answer_z,gate_closed,1,0.15,0.0536775956323814,114814,-0.05476115366872252
dominant_freq16,answer_z,gate_closed,2,0.25,0.05780432418532361,115024,-0.05476115366872252
dominant_freq16,answer_z,gate_closed,3,0.35,0.04981334875953829,114878,-0.05476115366872252
dominant_freq16,answer_z,gate_closed,4,0.45,0.017328696409095255,114570,-0.05476115366872252
dominant_freq16,answer_z,gate_closed,5,0.55,0.031986574073112936,115263,-0.05476115366872252
dominant_freq16,answer_z,gate_closed,6,0.65,-0.0063030527397906115,115089,-0.05476115366872252
dominant_freq16,answer_z,gate_closed,7,0.75,-0.03548845976565677,114813,-0.05476115366872252
dominant_freq16,answer_z,gate_closed,8,0.85,-0.020326899338764946,115025,-0.05476115366872252
dominant_freq16,answer_z,gate_closed,9,0.95,-0.06050532111526759,116185,-0.05476115366872252
bocpd_p0,raw,gate_closed,0,0.05,0.020290364370355276,115953,0.0024520521068953356
bocpd_p0,raw,gate_closed,1,0.15,0.020123152285977653,114814,0.0024520521068953356
bocpd_p0,raw,gate_closed,2,0.25,0.020095151986134915,115024,0.0024520521068953356
bocpd_p0,raw,gate_closed,3,0.35,0.019659213876053797,114878,0.0024520521068953356
bocpd_p0,raw,gate_closed,4,0.45,0.01933742786687923,114570,0.0024520521068953356
bocpd_p0,raw,gate_closed,5,0.55,0.02000047140979524,115263,0.0024520521068953356
bocpd_p0,raw,gate_closed,6,0.65,0.019909839239693496,115089,0.0024520521068953356
bocpd_p0,raw,gate_closed,7,0.75,0.019583893118977316,114813,0.0024520521068953356
bocpd_p0,raw,gate_closed,8,0.85,0.01981012893266615,115025,0.0024520521068953356
bocpd_p0,raw,gate_closed,9,0.95,0.02515607525245602,116185,0.0024520521068953356
bocpd_p0,answer_z,gate_closed,0,0.05,0.0009180115528725282,115953,0.0302064037792307
bocpd_p0,answer_z,gate_closed,1,0.15,-0.0014310248458601859,114814,0.0302064037792307
bocpd_p0,answer_z,gate_closed,2,0.25,-0.004702253227746199,115024,0.0302064037792307
bocpd_p0,answer_z,gate_closed,3,0.35,-0.008887699641625196,114878,0.0302064037792307
bocpd_p0,answer_z,gate_closed,4,0.45,-0.014846159210432025,114570,0.0302064037792307
bocpd_p0,answer_z,gate_closed,5,0.55,-0.0066536248371477265,115263,0.0302064037792307
bocpd_p0,answer_z,gate_closed,6,0.65,-0.007801953991542424,115089,0.0302064037792307
bocpd_p0,answer_z,gate_closed,7,0.75,-0.013796223004305623,114813,0.0302064037792307
bocpd_p0,answer_z,gate_closed,8,0.85,-0.011403143536933133,115025,0.0302064037792307
bocpd_p0,answer_z,gate_closed,9,0.95,0.0678325194144372,116185,0.0302064037792307
q15_H1,raw,label_clean,0,0.05,0.26324744667232686,122768,-0.10273393030948254
q15_H1,raw,label_clean,1,0.15,0.25716490600700015,121530,-0.10273393030948254
q15_H1,raw,label_clean,2,0.25,0.22542172036924576,121752,-0.10273393030948254
q15_H1,raw,label_clean,3,0.35,0.21065807205391382,121572,-0.10273393030948254
q15_H1,raw,label_clean,4,0.45,0.19219171253309336,121312,-0.10273393030948254
q15_H1,raw,label_clean,5,0.55,0.1944847992991106,122040,-0.10273393030948254
q15_H1,raw,label_clean,6,0.65,0.18421443680033395,121788,-0.10273393030948254
q15_H1,raw,label_clean,7,0.75,0.16664895047095357,121536,-0.10273393030948254
q15_H1,raw,label_clean,8,0.85,0.1640319240024326,121746,-0.10273393030948254
q15_H1,raw,label_clean,9,0.95,0.18854996805140412,123000,-0.10273393030948254
q15_H1,answer_z,label_clean,0,0.05,0.17816169485696615,122768,-0.2898673279157082
q15_H1,answer_z,label_clean,1,0.15,0.14510237238410362,121530,-0.2898673279157082
q15_H1,answer_z,label_clean,2,0.25,0.05515773488151088,121752,-0.2898673279157082
q15_H1,answer_z,label_clean,3,0.35,0.013072507368561793,121572,-0.2898673279157082
q15_H1,answer_z,label_clean,4,0.45,-0.03644354848300423,121312,-0.2898673279157082
q15_H1,answer_z,label_clean,5,0.55,-0.035678585147049864,122040,-0.2898673279157082
q15_H1,answer_z,label_clean,6,0.65,-0.06432725734947062,121788,-0.2898673279157082
q15_H1,answer_z,label_clean,7,0.75,-0.10630668666728835,121536,-0.2898673279157082
q15_H1,answer_z,label_clean,8,0.85,-0.11153023620997897,121746,-0.2898673279157082
q15_H1,answer_z,label_clean,9,0.95,-0.038241217575085924,123000,-0.2898673279157082
q15_VE1,raw,label_clean,0,0.05,0.28039773234728316,122768,-0.11357134748428181
q15_VE1,raw,label_clean,1,0.15,0.27232691087110644,121530,-0.11357134748428181
q15_VE1,raw,label_clean,2,0.25,0.23928142286804444,121752,-0.11357134748428181
q15_VE1,raw,label_clean,3,0.35,0.22620797314678645,121572,-0.11357134748428181
q15_VE1,raw,label_clean,4,0.45,0.20905220277950717,121312,-0.11357134748428181
q15_VE1,raw,label_clean,5,0.55,0.2080909188634978,122040,-0.11357134748428181
q15_VE1,raw,label_clean,6,0.65,0.1982917836393764,121788,-0.11357134748428181
q15_VE1,raw,label_clean,7,0.75,0.17732930170186842,121536,-0.11357134748428181
q15_VE1,raw,label_clean,8,0.85,0.175646785695402,121746,-0.11357134748428181
q15_VE1,raw,label_clean,9,0.95,0.19120929912599463,123000,-0.11357134748428181
q15_VE1,answer_z,label_clean,0,0.05,0.20025263050136208,122768,-0.34101443501807127
q15_VE1,answer_z,label_clean,1,0.15,0.1629552803118035,121530,-0.34101443501807127
q15_VE1,answer_z,label_clean,2,0.25,0.06157482915086306,121752,-0.34101443501807127
q15_VE1,answer_z,label_clean,3,0.35,0.021126945549522394,121572,-0.34101443501807127
q15_VE1,answer_z,label_clean,4,0.45,-0.029177238739650717,121312,-0.34101443501807127
q15_VE1,answer_z,label_clean,5,0.55,-0.035981931324136046,122040,-0.34101443501807127
q15_VE1,answer_z,label_clean,6,0.65,-0.06569660261009405,121788,-0.34101443501807127
q15_VE1,answer_z,label_clean,7,0.75,-0.12123011998146298,121536,-0.34101443501807127
q15_VE1,answer_z,label_clean,8,0.85,-0.12478652563109882,121746,-0.34101443501807127
q15_VE1,answer_z,label_clean,9,0.95,-0.06988575321784841,123000,-0.34101443501807127
chosen_surprisal,raw,label_clean,0,0.05,1.5760207564989568,122768,-0.8200613218637381
chosen_surprisal,raw,label_clean,1,0.15,0.6725067906592137,121530,-0.8200613218637381
chosen_surprisal,raw,label_clean,2,0.25,0.5316606847035046,121752,-0.8200613218637381
chosen_surprisal,raw,label_clean,3,0.35,0.46136049769155174,121572,-0.8200613218637381
chosen_surprisal,raw,label_clean,4,0.45,0.40991656084446226,121312,-0.8200613218637381
chosen_surprisal,raw,label_clean,5,0.55,0.40473955752236523,122040,-0.8200613218637381
chosen_surprisal,raw,label_clean,6,0.65,0.37254305896705314,121788,-0.8200613218637381
chosen_surprisal,raw,label_clean,7,0.75,0.33734133463264887,121536,-0.8200613218637381
chosen_surprisal,raw,label_clean,8,0.85,0.3356978019273286,121746,-0.8200613218637381
chosen_surprisal,raw,label_clean,9,0.95,0.47267377652355647,123000,-0.8200613218637381
chosen_surprisal,answer_z,label_clean,0,0.05,0.4817721098369209,122768,-0.3932654555467466
chosen_surprisal,answer_z,label_clean,1,0.15,0.05576298902140859,121530,-0.3932654555467466
chosen_surprisal,answer_z,label_clean,2,0.25,-0.01209698399383972,121752,-0.3932654555467466
chosen_surprisal,answer_z,label_clean,3,0.35,-0.044283740411977024,121572,-0.3932654555467466
chosen_surprisal,answer_z,label_clean,4,0.45,-0.06925924332990821,121312,-0.3932654555467466
chosen_surprisal,answer_z,label_clean,5,0.55,-0.07033226805976868,122040,-0.3932654555467466
chosen_surprisal,answer_z,label_clean,6,0.65,-0.08719581203997337,121788,-0.3932654555467466
chosen_surprisal,answer_z,label_clean,7,0.75,-0.10427377820698801,121536,-0.3932654555467466
chosen_surprisal,answer_z,label_clean,8,0.85,-0.10632582168742971,121746,-0.3932654555467466
chosen_surprisal,answer_z,label_clean,9,0.95,-0.04751290470528541,123000,-0.3932654555467466
logprob_margin,raw,label_clean,0,0.05,-9.017476050919205,122768,-1.624708639399646
logprob_margin,raw,label_clean,1,0.15,-9.21755173487947,121530,-1.624708639399646
logprob_margin,raw,label_clean,2,0.25,-9.763169186920068,121752,-1.624708639399646
logprob_margin,raw,label_clean,3,0.35,-9.958888044545578,121572,-1.624708639399646
logprob_margin,raw,label_clean,4,0.45,-10.330164162385584,121312,-1.624708639399646
logprob_margin,raw,label_clean,5,0.55,-10.327890956698774,122040,-1.624708639399646
logprob_margin,raw,label_clean,6,0.65,-10.475531763160985,121788,-1.624708639399646
logprob_margin,raw,label_clean,7,0.75,-10.792995489887813,121536,-1.624708639399646
logprob_margin,raw,label_clean,8,0.85,-10.81061903362107,121746,-1.624708639399646
logprob_margin,raw,label_clean,9,0.95,-10.012968494686412,123000,-1.624708639399646
logprob_margin,answer_z,label_clean,0,0.05,0.16326236218755194,122768,-0.25788998016229986
logprob_margin,answer_z,label_clean,1,0.15,0.13052642408615897,121530,-0.25788998016229986
logprob_margin,answer_z,label_clean,2,0.25,0.04942661732699262,121752,-0.25788998016229986
logprob_margin,answer_z,label_clean,3,0.35,0.019498650564473804,121572,-0.25788998016229986
logprob_margin,answer_z,label_clean,4,0.45,-0.03645746744811239,121312,-0.25788998016229986
logprob_margin,answer_z,label_clean,5,0.55,-0.03562694748642041,122040,-0.25788998016229986
logprob_margin,answer_z,label_clean,6,0.65,-0.0624240556552732,121788,-0.25788998016229986
logprob_margin,answer_z,label_clean,7,0.75,-0.11254329129896042,121536,-0.25788998016229986
logprob_margin,answer_z,label_clean,8,0.85,-0.11782810222814623,121746,-0.25788998016229986
logprob_margin,answer_z,label_clean,9,0.95,0.0008272681152747324,123000,-0.25788998016229986
true_tail50,raw,label_clean,0,0.05,7.156278296625526e-05,122768,9.953008295949834e-05
true_tail50,raw,label_clean,1,0.15,9.973515126875188e-05,121530,9.953008295949834e-05
true_tail50,raw,label_clean,2,0.25,0.0001073729111549591,121752,9.953008295949834e-05
true_tail50,raw,label_clean,3,0.35,0.00010779605874712172,121572,9.953008295949834e-05
true_tail50,raw,label_clean,4,0.45,0.000101554615754445,121312,9.953008295949834e-05
true_tail50,raw,label_clean,5,0.55,0.0001304742659454712,122040,9.953008295949834e-05
true_tail50,raw,label_clean,6,0.65,0.00016510392784870176,121788,9.953008295949834e-05
true_tail50,raw,label_clean,7,0.75,0.0001437050106703187,121536,9.953008295949834e-05
true_tail50,raw,label_clean,8,0.85,0.00012659332069614373,121746,9.953008295949834e-05
true_tail50,raw,label_clean,9,0.95,0.00019064449716263475,123000,9.953008295949834e-05
