contrast_id,left,right,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell,worst_cell_delta,bootstrap_draws,bootstrap_seed,interval
H0_CURRENT_FAMILY_TOP10__vs__HISTORICAL_FINALIST__within_one,H0_CURRENT_FAMILY_TOP10,HISTORICAL_FINALIST,within_one,-0.018171744036105775,-0.05317295802819164,0.017972552968814337,4,0,4,processbench_gsm8k_qwen3_8b,-0.15000000000000002,2000,20260816,paired historical source-question grouped bootstrap
H3_EQUAL_C8__vs__H0_CURRENT_FAMILY_TOP10__f1,H3_EQUAL_C8,H0_CURRENT_FAMILY_TOP10,f1,-0.0014358136037820879,-0.02322884367094393,0.017964326960576472,3,0,5,processbench_gsm8k_qwen3_8b,-0.0242516104585071,2000,20260816,paired historical source-question grouped bootstrap
H3_EQUAL_C8__vs__H0_CURRENT_FAMILY_TOP10__exact_error,H3_EQUAL_C8,H0_CURRENT_FAMILY_TOP10,exact_error,-0.0019543842682140378,-0.024063260229295315,0.01753495569807288,3,0,5,processbench_gsm8k_llama31_8b,-0.025000000000000022,2000,20260816,paired historical source-question grouped bootstrap
H3_EQUAL_C8__vs__H0_CURRENT_FAMILY_TOP10__clean_abstention,H3_EQUAL_C8,H0_CURRENT_FAMILY_TOP10,clean_abstention,0.0,0.0,0.0,0,8,0,processbench_gsm8k_llama31_8b,0.0,2000,20260816,paired historical source-question grouped bootstrap
H3_EQUAL_C8__vs__H0_CURRENT_FAMILY_TOP10__within_one,H3_EQUAL_C8,H0_CURRENT_FAMILY_TOP10,within_one,0.012213670391861942,-0.006123453578651653,0.030101411608620312,5,2,1,processbench_gsm8k_qwen3_8b,-0.025000000000000022,2000,20260816,paired historical source-question grouped bootstrap
H3_EQUAL_C8__vs__H2_CLEAN_C7__f1,H3_EQUAL_C8,H2_CLEAN_C7,f1,-0.0021297739274253047,-0.012350890030474638,0.009036014680902262,2,3,3,processbench_olympiadbench_llama31_8b,-0.02521778166675498,2000,20260816,paired historical source-question grouped bootstrap
H3_EQUAL_C8__vs__H2_CLEAN_C7__exact_error,H3_EQUAL_C8,H2_CLEAN_C7,exact_error,-0.002328023139193336,-0.013511167047532054,0.009312238922666383,2,3,3,processbench_olympiadbench_llama31_8b,-0.027272727272727254,2000,20260816,paired historical source-question grouped bootstrap
H3_EQUAL_C8__vs__H2_CLEAN_C7__clean_abstention,H3_EQUAL_C8,H2_CLEAN_C7,clean_abstention,0.0,0.0,0.0,0,8,0,processbench_gsm8k_llama31_8b,0.0,2000,20260816,paired historical source-question grouped bootstrap
H3_EQUAL_C8__vs__H2_CLEAN_C7__within_one,H3_EQUAL_C8,H2_CLEAN_C7,within_one,-0.0011574074074073848,-0.01057616674499218,0.007962182957524067,1,5,2,processbench_olympiadbench_llama31_8b,-0.018181818181818188,2000,20260816,paired historical source-question grouped bootstrap
H3_EQUAL_C8__vs__HISTORICAL_ENTROPY_TOP5__f1,H3_EQUAL_C8,HISTORICAL_ENTROPY_TOP5,f1,0.011241997511322321,-0.02405829388970649,0.04422147372657751,5,0,3,processbench_gsm8k_llama31_8b,-0.060295324036095055,2000,20260816,paired historical source-question grouped bootstrap
H3_EQUAL_C8__vs__HISTORICAL_ENTROPY_TOP5__exact_error,H3_EQUAL_C8,HISTORICAL_ENTROPY_TOP5,exact_error,-0.0202235117128734,-0.05441423910596546,0.013767745078861448,3,0,5,processbench_gsm8k_llama31_8b,-0.07500000000000001,2000,20260816,paired historical source-question grouped bootstrap
H3_EQUAL_C8__vs__HISTORICAL_ENTROPY_TOP5__clean_abstention,H3_EQUAL_C8,HISTORICAL_ENTROPY_TOP5,clean_abstention,0.1080059225892559,0.06138170796419337,0.15386744152061835,6,1,1,processbench_olympiadbench_qwen3_8b,-0.03703703703703698,2000,20260816,paired historical source-question grouped bootstrap
H3_EQUAL_C8__vs__HISTORICAL_ENTROPY_TOP5__within_one,H3_EQUAL_C8,HISTORICAL_ENTROPY_TOP5,within_one,-0.022733093344795452,-0.05974483200319333,0.01195739505695175,1,2,5,processbench_gsm8k_qwen3_8b,-0.09999999999999998,2000,20260816,paired historical source-question grouped bootstrap
HISTORICAL_FINALIST__vs__HISTORICAL_ENTROPY_TOP5__f1,HISTORICAL_FINALIST,HISTORICAL_ENTROPY_TOP5,f1,0.004811475804772536,-0.02705659343452541,0.037526978849702616,5,0,3,processbench_omnimath_qwen3_8b,-0.04240966327665391,2000,20260816,paired historical source-question grouped bootstrap
HISTORICAL_FINALIST__vs__HISTORICAL_ENTROPY_TOP5__exact_error,HISTORICAL_FINALIST,HISTORICAL_ENTROPY_TOP5,exact_error,-0.010777768822981593,-0.04351718116116553,0.021949426409802065,2,1,5,processbench_omnimath_qwen3_8b,-0.06382978723404253,2000,20260816,paired historical source-question grouped bootstrap
HISTORICAL_FINALIST__vs__HISTORICAL_ENTROPY_TOP5__clean_abstention,HISTORICAL_FINALIST,HISTORICAL_ENTROPY_TOP5,clean_abstention,0.07420962629295957,0.02930658210450856,0.12702766404867274,6,0,2,processbench_olympiadbench_qwen3_8b,-0.061728395061728336,2000,20260816,paired historical source-question grouped bootstrap
HISTORICAL_FINALIST__vs__HISTORICAL_ENTROPY_TOP5__within_one,HISTORICAL_FINALIST,HISTORICAL_ENTROPY_TOP5,within_one,-0.01677501970055162,-0.051900575419256474,0.01888845554266297,2,0,6,processbench_math_llama31_8b,-0.08333333333333337,2000,20260816,paired historical source-question grouped bootstrap
HISTORICAL_ENTROPY_TOP5__vs__HISTORICAL_FINALIST__f1,HISTORICAL_ENTROPY_TOP5,HISTORICAL_FINALIST,f1,-0.004811475804772536,-0.03752697884970262,0.027056593434525364,3,0,5,processbench_math_llama31_8b,-0.0453399320679716,2000,20260816,paired historical source-question grouped bootstrap
HISTORICAL_ENTROPY_TOP5__vs__HISTORICAL_FINALIST__exact_error,HISTORICAL_ENTROPY_TOP5,HISTORICAL_FINALIST,exact_error,0.010777768822981593,-0.021949426409802148,0.0435171811611655,5,1,2,processbench_gsm8k_qwen3_8b,-0.07500000000000001,2000,20260816,paired historical source-question grouped bootstrap
HISTORICAL_ENTROPY_TOP5__vs__HISTORICAL_FINALIST__clean_abstention,HISTORICAL_ENTROPY_TOP5,HISTORICAL_FINALIST,clean_abstention,-0.07420962629295957,-0.12702766404867283,-0.029306582104508563,2,0,6,processbench_math_llama31_8b,-0.2567567567567568,2000,20260816,paired historical source-question grouped bootstrap
HISTORICAL_ENTROPY_TOP5__vs__HISTORICAL_FINALIST__within_one,HISTORICAL_ENTROPY_TOP5,HISTORICAL_FINALIST,within_one,0.01677501970055162,-0.018888455542663014,0.051900575419256446,6,0,2,processbench_gsm8k_qwen3_8b,-0.07500000000000007,2000,20260816,paired historical source-question grouped bootstrap
