method,benchmark,metric,stratum,N,estimate,from_counts
B11_group_equal,pb,sla,macro8_context,4442,0.3436885214042683,
B15_lsml,prm,within_auc,all,6030,0.7602255137301525,
B15_lsml,prm,prmscore_answer_z_q80,all,6211,0.6387830926802096,0.6387830926802096
B15_lsml,prm,within_auc,class=circular,758,0.7761779267747254,
B15_lsml,prm,within_auc,class=confidence,751,0.7802770035218749,
B15_lsml,prm,within_auc,class=correct,0,,
B15_lsml,prm,within_auc,class=counterfactual,756,0.6991344804353777,
B15_lsml,prm,within_auc,class=deception,747,0.6426789973428843,
B15_lsml,prm,within_auc,class=domain_inconsistency,757,0.8303781911343107,
B15_lsml,prm,within_auc,class=missing_condition,745,0.6957101973746941,
B15_lsml,prm,within_auc,class=multi_solutions,0,,
B15_lsml,prm,within_auc,class=redundency,758,0.842001354292087,
B15_lsml,prm,within_auc,class=step_contradiction,758,0.8127502073115397,
B15_lsml,pb,sla,macro8_context,4442,0.3619910377869333,
B15_equal,prm,within_auc,all,6030,0.7528745704989895,
B15_equal,prm,prmscore_answer_z_q80,all,6211,0.6331118445736179,0.6331118445736179
B15_equal,prm,within_auc,class=circular,758,0.7665420771334914,
B15_equal,prm,within_auc,class=confidence,751,0.7633382063953446,
B15_equal,prm,within_auc,class=correct,0,,
B15_equal,prm,within_auc,class=counterfactual,756,0.6900477250594487,
B15_equal,prm,within_auc,class=deception,747,0.6366157883657434,
B15_equal,prm,within_auc,class=domain_inconsistency,757,0.8302707359463408,
B15_equal,prm,within_auc,class=missing_condition,745,0.6985438454923512,
B15_equal,prm,within_auc,class=multi_solutions,0,,
B15_equal,prm,within_auc,class=redundency,758,0.8325450000439149,
B15_equal,prm,within_auc,class=step_contradiction,758,0.8025072249976165,
B15_equal,pb,sla,macro8_context,4442,0.3573547917509635,
B15_group_equal,prm,within_auc,all,6030,0.750808952634068,
B15_group_equal,prm,prmscore_answer_z_q80,all,6211,0.6323277351450383,0.6323277351450383
B15_group_equal,prm,within_auc,class=circular,758,0.7480923347654889,
B15_group_equal,prm,within_auc,class=confidence,751,0.776969516254744,
B15_group_equal,prm,within_auc,class=correct,0,,
B15_group_equal,prm,within_auc,class=counterfactual,756,0.6929791722625672,
B15_group_equal,prm,within_auc,class=deception,747,0.6408372153495409,
B15_group_equal,prm,within_auc,class=domain_inconsistency,757,0.821483353900446,
B15_group_equal,prm,within_auc,class=missing_condition,745,0.6876546873091915,
B15_group_equal,prm,within_auc,class=multi_solutions,0,,
B15_group_equal,prm,within_auc,class=redundency,758,0.8294147008910261,
B15_group_equal,prm,within_auc,class=step_contradiction,758,0.8065438649127784,
B15_group_equal,pb,sla,macro8_context,4442,0.34490523423628733,
B19_lsml,prm,within_auc,all,6030,0.7542962310361807,
B19_lsml,prm,prmscore_answer_z_q80,all,6211,0.6301381194003465,0.6301381194003465
B19_lsml,prm,within_auc,class=circular,758,0.775646593579204,
B19_lsml,prm,within_auc,class=confidence,751,0.7905851728615267,
B19_lsml,prm,within_auc,class=correct,0,,
B19_lsml,prm,within_auc,class=counterfactual,756,0.6980892676170601,
B19_lsml,prm,within_auc,class=deception,747,0.6345182188858305,
B19_lsml,prm,within_auc,class=domain_inconsistency,757,0.8171519913884447,
B19_lsml,prm,within_auc,class=missing_condition,745,0.6791819972569123,
B19_lsml,prm,within_auc,class=multi_solutions,0,,
B19_lsml,prm,within_auc,class=redundency,758,0.8338231734172271,
B19_lsml,prm,within_auc,class=step_contradiction,758,0.802616733089978,
B19_lsml,pb,sla,macro8_context,4442,0.3460071980964239,
B19_equal,prm,within_auc,all,6030,0.7539951585409708,
B19_equal,prm,prmscore_answer_z_q80,all,6211,0.6364765232148508,0.6364765232148508
B19_equal,prm,within_auc,class=circular,758,0.7807436422299565,
B19_equal,prm,within_auc,class=confidence,751,0.76781399249175,
B19_equal,prm,within_auc,class=correct,0,,
B19_equal,prm,within_auc,class=counterfactual,756,0.6864546818313821,
B19_equal,prm,within_auc,class=deception,747,0.6323154230802361,
B19_equal,prm,within_auc,class=domain_inconsistency,757,0.8274652021653516,
B19_equal,prm,within_auc,class=missing_condition,745,0.6962762391274303,
B19_equal,prm,within_auc,class=multi_solutions,0,,
B19_equal,prm,within_auc,class=redundency,758,0.8368102071207837,
B19_equal,prm,within_auc,class=step_contradiction,758,0.8013725107365712,
B19_equal,pb,sla,macro8_context,4442,0.3578889904327318,
B19_group_equal,prm,within_auc,all,6030,0.7499265709111648,
B19_group_equal,prm,prmscore_answer_z_q80,all,6211,0.6343757285283449,0.6343757285283449
B19_group_equal,prm,within_auc,class=circular,758,0.7695623945075442,
B19_group_equal,prm,within_auc,class=confidence,751,0.7635286945453493,
B19_group_equal,prm,within_auc,class=correct,0,,
B19_group_equal,prm,within_auc,class=counterfactual,756,0.6822132414698951,
B19_group_equal,prm,within_auc,class=deception,747,0.637522533745738,
B19_group_equal,prm,within_auc,class=domain_inconsistency,757,0.8260413401456262,
B19_group_equal,prm,within_auc,class=missing_condition,745,0.6917067577659701,
B19_group_equal,prm,within_auc,class=multi_solutions,0,,
B19_group_equal,prm,within_auc,class=redundency,758,0.8271601339583012,
B19_group_equal,prm,within_auc,class=step_contradiction,758,0.7990951505652532,
B19_group_equal,pb,sla,macro8_context,4442,0.3495321093369176,
B20_lsml,prm,within_auc,all,6030,0.7602964422561227,
B20_lsml,prm,prmscore_answer_z_q80,all,6211,0.6385576718463771,0.6385576718463771
B20_lsml,prm,within_auc,class=circular,758,0.7873212645541969,
B20_lsml,prm,within_auc,class=confidence,751,0.7792927785589171,
B20_lsml,prm,within_auc,class=correct,0,,
B20_lsml,prm,within_auc,class=counterfactual,756,0.6967995597078135,
B20_lsml,prm,within_auc,class=deception,747,0.6403550987147822,
B20_lsml,prm,within_auc,class=domain_inconsistency,757,0.8330641331142208,
B20_lsml,prm,within_auc,class=missing_condition,745,0.69527110583133,
B20_lsml,prm,within_auc,class=multi_solutions,0,,
B20_lsml,prm,within_auc,class=redundency,758,0.8418438526065871,
B20_lsml,prm,within_auc,class=step_contradiction,758,0.8056718506701095,
B20_lsml,pb,sla,macro8_context,4442,0.37209535609111355,
B20_equal,prm,within_auc,all,6030,0.7531999553065994,
B20_equal,prm,prmscore_answer_z_q80,all,6211,0.63525316234178,0.63525316234178
B20_equal,prm,within_auc,class=circular,758,0.7791771443944773,
B20_equal,prm,within_auc,class=confidence,751,0.7642009960611116,
B20_equal,prm,within_auc,class=correct,0,,
B20_equal,prm,within_auc,class=counterfactual,756,0.6860035282047999,
B20_equal,prm,within_auc,class=deception,747,0.633380176282459,
B20_equal,prm,within_auc,class=domain_inconsistency,757,0.8267630952126015,
B20_equal,prm,within_auc,class=missing_condition,745,0.696947872991117,
B20_equal,prm,within_auc,class=multi_solutions,0,,
B20_equal,prm,within_auc,class=redundency,758,0.8361122479294447,
B20_equal,prm,within_auc,class=step_contradiction,758,0.8003323688855143,
B20_equal,pb,sla,macro8_context,4442,0.36117976670828084,
B20_group_equal,prm,within_auc,all,6030,0.7494762605962708,
B20_group_equal,prm,prmscore_answer_z_q80,all,6211,0.6318567288419463,0.6318567288419463
B20_group_equal,prm,within_auc,class=circular,758,0.7673907754014769,
B20_group_equal,prm,within_auc,class=confidence,751,0.7616801184772872,
B20_group_equal,prm,within_auc,class=correct,0,,
B20_group_equal,prm,within_auc,class=counterfactual,756,0.6786075232595293,
B20_group_equal,prm,within_auc,class=deception,747,0.6325768183264766,
B20_group_equal,prm,within_auc,class=domain_inconsistency,757,0.8300666285793924,
B20_group_equal,prm,within_auc,class=missing_condition,745,0.6945472335097468,
B20_group_equal,prm,within_auc,class=multi_solutions,0,,
B20_group_equal,prm,within_auc,class=redundency,758,0.8302417383041131,
B20_group_equal,prm,within_auc,class=step_contradiction,758,0.7980927959852107,
B20_group_equal,pb,sla,macro8_context,4442,0.34873599508868863,
B11_lsml_replay4,prm,within_auc,all,6030,0.7645311208612026,
B11_lsml_replay4,prm,prmscore_answer_z_q80,all,6211,0.6412810511754647,0.6412810511754647
B11_lsml_replay4,prm,within_auc,class=circular,758,0.7727521937872461,
B11_lsml_replay4,prm,within_auc,class=confidence,751,0.8021709634861528,
B11_lsml_replay4,prm,within_auc,class=correct,0,,
B11_lsml_replay4,prm,within_auc,class=counterfactual,756,0.7120875952782088,
B11_lsml_replay4,prm,within_auc,class=deception,747,0.6484041027411227,
B11_lsml_replay4,prm,within_auc,class=domain_inconsistency,757,0.8235208838872906,
B11_lsml_replay4,prm,within_auc,class=missing_condition,745,0.6899929112481752,
B11_lsml_replay4,prm,within_auc,class=multi_solutions,0,,
B11_lsml_replay4,prm,within_auc,class=redundency,758,0.8478822833655036,
B11_lsml_replay4,prm,within_auc,class=step_contradiction,758,0.8167614997000696,
B11_lsml_replay4,pb,sla,macro8_context,4442,0.3477545799373728,
ct7,prm,within_auc,all,6030,0.7723966352864217,
ct7,prm,prmscore_answer_z_q80,all,6211,0.6458306465706983,0.6458306465706983
ct7,prm,within_auc,class=circular,758,0.8068288676499517,
ct7,prm,within_auc,class=confidence,751,0.7858781542070945,
ct7,prm,within_auc,class=correct,0,,
ct7,prm,within_auc,class=counterfactual,756,0.7127644161943893,
ct7,prm,within_auc,class=deception,747,0.6431000559808547,
ct7,prm,within_auc,class=domain_inconsistency,757,0.856982697153364,
ct7,prm,within_auc,class=missing_condition,745,0.7048289954992771,
ct7,prm,within_auc,class=multi_solutions,0,,
ct7,prm,within_auc,class=redundency,758,0.8498502294927255,
ct7,prm,within_auc,class=step_contradiction,758,0.8159832684442362,
ct7,pb,sla,macro8_context,4442,0.3988620140983161,
