cell,domain,family,method,auroc,auprc,delta_pp
losnet_hotpotqa_mistral7b,QA,hotpotqa,manual_graph__beta_0.3__blend_0.5,0.5713008813171491,0.4113301134728332,0.014301292479312888
losnet_hotpotqa_mistral7b,QA,hotpotqa,manual_graph__beta_0.3__blend_1,0.5714617708575414,0.41026886301704424,0.030390246518541275
losnet_hotpotqa_mistral7b,QA,hotpotqa,manual_graph__beta_1__blend_0.25,0.5713187579327482,0.41120254474281426,0.016088954039228387
losnet_hotpotqa_mistral7b,QA,hotpotqa,manual_graph__beta_1__blend_0.5,0.5710148554675629,0.4099903717779123,-0.014301292479301786
losnet_hotpotqa_mistral7b,QA,hotpotqa,manual_graph__beta_1__blend_1,0.5717120434759291,0.408190031097402,0.05541750835731385
losnet_hotpotqa_mistral7b,QA,hotpotqa,manual_graph__beta_3__blend_0.25,0.5714796474731404,0.41058550485166734,0.03217790807844567
losnet_hotpotqa_mistral7b,QA,hotpotqa,manual_graph__beta_3__blend_0.5,0.5711936216235542,0.40895021594835,0.0035753231198309976
sciq_llama8b,QA,sciq,deployed_upcr,0.7401162128289849,0.8441127188113602,-0.14811438988264758
sciq_llama8b,QA,sciq,iu_pcr,0.7415973567278114,0.8443328162218233,0.0
sciq_llama8b,QA,sciq,dufs_liu,0.7406858835593028,0.8438336951620652,-0.0911473168508592
sciq_llama8b,QA,sciq,manual_graph__beta_0__blend_1,0.7516235615814059,0.8503976559608838,1.0026204853594511
sciq_llama8b,QA,sciq,permuted_graph__beta_3__blend_1,0.7425088298963198,0.8441171523772831,0.09114731685084809
sciq_llama8b,QA,sciq,global_gate__beta_3__blend_1,0.7417112908738749,0.8437654781028467,0.011393414606353236
sciq_llama8b,QA,sciq,sample_permuted_gate__beta_3__blend_1,0.7454711176939728,0.8472669554679595,0.38737609661614325
sciq_llama8b,QA,sciq,manual_graph__beta_3__blend_1,0.7450153811097185,0.8459054843787535,0.3418024381907192
sciq_llama8b,QA,sciq,manual_graph__beta_0__blend_0.25,0.7436481713569556,0.8455993980399092,0.20508146291442486
sciq_llama8b,QA,sciq,manual_graph__beta_0__blend_0.5,0.7471801298849264,0.848209136167296,0.5582773157115084
sciq_llama8b,QA,sciq,manual_graph__beta_0.3__blend_0.25,0.7423948957502564,0.8450025301106525,0.07975390224450596
sciq_llama8b,QA,sciq,manual_graph__beta_0.3__blend_0.5,0.7446735786715278,0.8462932668546357,0.3076221943716484
sciq_llama8b,QA,sciq,manual_graph__beta_0.3__blend_1,0.7474079981770536,0.848540174149733,0.581064144924226
sciq_llama8b,QA,sciq,manual_graph__beta_1__blend_0.25,0.7422809616041929,0.8448968542670133,0.06836048763815272
sciq_llama8b,QA,sciq,manual_graph__beta_1__blend_0.5,0.7452432494018457,0.8464031003368337,0.3645892674034368
sciq_llama8b,QA,sciq,manual_graph__beta_1__blend_1,0.7452432494018457,0.846220585506787,0.3645892674034368
sciq_llama8b,QA,sciq,manual_graph__beta_3__blend_0.25,0.7422809616041928,0.8444442634782289,0.06836048763814162
sciq_llama8b,QA,sciq,manual_graph__beta_3__blend_0.5,0.7447875128175915,0.846035115887347,0.31901560897801273
se_nq_open_llama8b,QA,nq_open,deployed_upcr,0.7468965488308481,0.7320822580268198,0.3423228652017718
se_nq_open_llama8b,QA,nq_open,iu_pcr,0.7434733201788304,0.7287365752387622,0.0
se_nq_open_llama8b,QA,nq_open,dufs_liu,0.7461348555638374,0.7305906864865256,0.2661535385007019
se_nq_open_llama8b,QA,nq_open,manual_graph__beta_0__blend_1,0.7419741543383988,0.7294297773887987,-0.14991658404316377
se_nq_open_llama8b,QA,nq_open,permuted_graph__beta_3__blend_1,0.746081659537038,0.7310237866813492,0.260833935820759
se_nq_open_llama8b,QA,nq_open,global_gate__beta_3__blend_1,0.7397774548973488,0.7264645958838976,-0.36958652814815807
se_nq_open_llama8b,QA,nq_open,sample_permuted_gate__beta_3__blend_1,0.7384831301191037,0.7229185475645432,-0.49901900597266735
se_nq_open_llama8b,QA,nq_open,manual_graph__beta_3__blend_1,0.7367511547481369,0.7228352652675213,-0.6722165430693483
se_nq_open_llama8b,QA,nq_open,manual_graph__beta_0__blend_0.25,0.7434542456834166,0.7296940936061841,-0.0019074495413828885
se_nq_open_llama8b,QA,nq_open,manual_graph__beta_0__blend_0.5,0.7432216599006279,0.730589422084972,-0.025166027820244796
se_nq_open_llama8b,QA,nq_open,manual_graph__beta_0.3__blend_0.25,0.7425833075790355,0.7284232984022682,-0.08900125997949315
se_nq_open_llama8b,QA,nq_open,manual_graph__beta_0.3__blend_0.5,0.7415475792591432,0.7280568931380661,-0.19257409196872244
se_nq_open_llama8b,QA,nq_open,manual_graph__beta_0.3__blend_1,0.7390064201619095,0.7254293170873731,-0.44669000169208495
se_nq_open_llama8b,QA,nq_open,manual_graph__beta_1__blend_0.25,0.74224175664356,0.7277720164004474,-0.12315635352704302
se_nq_open_llama8b,QA,nq_open,manual_graph__beta_1__blend_0.5,0.7408841112529735,0.727148606096323,-0.25892089258569007
se_nq_open_llama8b,QA,nq_open,manual_graph__beta_1__blend_1,0.737681106320734,0.7235503323571952,-0.5792213858096362
se_nq_open_llama8b,QA,nq_open,manual_graph__beta_3__blend_0.25,0.7420392649327148,0.7275014727441073,-0.14340552461156175
se_nq_open_llama8b,QA,nq_open,manual_graph__beta_3__blend_0.5,0.7403542206516374,0.7262802139632397,-0.31190995271930255
se_squad_v2_llama8b,QA,squad_v2,deployed_upcr,0.8102507127768864,0.6869915730847795,-0.048768944859356456
se_squad_v2_llama8b,QA,squad_v2,iu_pcr,0.81073840222548,0.6883534077083218,0.0
se_squad_v2_llama8b,QA,squad_v2,dufs_liu,0.8100821857721653,0.6866339894433331,-0.06562164533147063
se_squad_v2_llama8b,QA,squad_v2,manual_graph__beta_0__blend_1,0.8126533768887144,0.6865210196536758,0.19149746632344256
se_squad_v2_llama8b,QA,squad_v2,permuted_graph__beta_3__blend_1,0.8091039211385962,0.6849821014076467,-0.1634481086883799
se_squad_v2_llama8b,QA,squad_v2,global_gate__beta_3__blend_1,0.8125696905336304,0.6919187769107762,0.18312883081503806
se_squad_v2_llama8b,QA,squad_v2,sample_permuted_gate__beta_3__blend_1,0.8112624519524891,0.688024116639303,0.0524049727009146
se_squad_v2_llama8b,QA,squad_v2,manual_graph__beta_3__blend_1,0.8089446284902981,0.6784824252534645,-0.17937737351818583
se_squad_v2_llama8b,QA,squad_v2,manual_graph__beta_0__blend_0.25,0.8119504115060081,0.6892020231254228,0.12120092805281146
se_squad_v2_llama8b,QA,squad_v2,manual_graph__beta_0__blend_0.5,0.8122309050823588,0.6882699845840913,0.14925028568788523
se_squad_v2_llama8b,QA,squad_v2,manual_graph__beta_0.3__blend_0.25,0.8111481767917537,0.6884729359551827,0.04097745662736685
se_squad_v2_llama8b,QA,squad_v2,manual_graph__beta_0.3__blend_0.5,0.8111747255664701,0.6857926739599539,0.043632334099008574
se_squad_v2_llama8b,QA,squad_v2,manual_graph__beta_0.3__blend_1,0.8095108099684878,0.6793151612820368,-0.12275922569922049
se_squad_v2_llama8b,QA,squad_v2,manual_graph__beta_1__blend_0.25,0.8110517931965879,0.6882286821326262,0.03133909711079408
se_squad_v2_llama8b,QA,squad_v2,manual_graph__beta_1__blend_0.5,0.810776493945725,0.6844616824911391,0.0038091720245048144
se_squad_v2_llama8b,QA,squad_v2,manual_graph__beta_1__blend_1,0.809375180358524,0.678504387617645,-0.13632218669560325
se_squad_v2_llama8b,QA,squad_v2,manual_graph__beta_3__blend_0.25,0.8108948091373956,0.6867820889752982,0.015640691191565192
se_squad_v2_llama8b,QA,squad_v2,manual_graph__beta_3__blend_0.5,0.810149712003509,0.6834939254177128,-0.058869022197094445
seiclr_triviaqa_opt30b,QA,triviaqa,deployed_upcr,0.8118718467720979,0.794442977916806,-0.9853475400641742
seiclr_triviaqa_opt30b,QA,triviaqa,iu_pcr,0.8217253221727396,0.803245937990686,0.0
seiclr_triviaqa_opt30b,QA,triviaqa,dufs_liu,0.8206626152270837,0.8021624954904805,-0.10627069456559113
seiclr_triviaqa_opt30b,QA,triviaqa,manual_graph__beta_0__blend_1,0.8281314720766474,0.81334287657521,0.6406149903907754
seiclr_triviaqa_opt30b,QA,triviaqa,permuted_graph__beta_3__blend_1,0.8225998967040486,0.8062231012971617,0.08745745313090136
seiclr_triviaqa_opt30b,QA,triviaqa,global_gate__beta_3__blend_1,0.824104312831081,0.8045533800626161,0.23789906583413511
seiclr_triviaqa_opt30b,QA,triviaqa,sample_permuted_gate__beta_3__blend_1,0.8228289519384393,0.8024029432774387,0.11036297656996652
seiclr_triviaqa_opt30b,QA,triviaqa,manual_graph__beta_3__blend_1,0.8274382764884007,0.8086740885164744,0.5712954315661101
seiclr_triviaqa_opt30b,QA,triviaqa,manual_graph__beta_0__blend_0.25,0.8238110192210225,0.8061991619766373,0.20856970482828752
seiclr_triviaqa_opt30b,QA,triviaqa,manual_graph__beta_0__blend_0.5,0.8261100938025002,0.8099688401831553,0.43847716297605865
seiclr_triviaqa_opt30b,QA,triviaqa,manual_graph__beta_0.3__blend_0.25,0.8238455905621205,0.8057532350881832,0.21202683893808416
seiclr_triviaqa_opt30b,QA,triviaqa,manual_graph__beta_0.3__blend_0.5,0.8259505832426438,0.8084228805352014,0.42252610699041737
seiclr_triviaqa_opt30b,QA,triviaqa,manual_graph__beta_0.3__blend_1,0.8286452182850557,0.8125063653249852,0.6919896112316026
seiclr_triviaqa_opt30b,QA,triviaqa,manual_graph__beta_1__blend_0.25,0.8235820443850996,0.8052017498575416,0.18567222123599958
seiclr_triviaqa_opt30b,QA,triviaqa,manual_graph__beta_1__blend_0.5,0.825316560926602,0.8069854446627545,0.3591238753862358
seiclr_triviaqa_opt30b,QA,triviaqa,manual_graph__beta_1__blend_1,0.827998493011122,0.8102821209936691,0.6273170838382414
seiclr_triviaqa_opt30b,QA,triviaqa,manual_graph__beta_3__blend_0.25,0.823264470437805,0.8046316059795764,0.15391482650654043
seiclr_triviaqa_opt30b,QA,triviaqa,manual_graph__beta_3__blend_0.5,0.824746535790825,0.805925601955833,0.3021213618085383
semenergy_triviaqa_qwen3_8b,QA,triviaqa,deployed_upcr,0.8130966838819187,0.7789160085372531,0.7378202714373727
semenergy_triviaqa_qwen3_8b,QA,triviaqa,iu_pcr,0.805718481167545,0.7711870634968545,0.0
semenergy_triviaqa_qwen3_8b,QA,triviaqa,dufs_liu,0.8059055131200836,0.7712052832136318,0.018703195253866323
semenergy_triviaqa_qwen3_8b,QA,triviaqa,manual_graph__beta_0__blend_1,0.8030667837071064,0.7510896559447344,-0.26516974604385846
semenergy_triviaqa_qwen3_8b,QA,triviaqa,permuted_graph__beta_3__blend_1,0.8000275144783512,0.753042532458267,-0.5690966689193777
semenergy_triviaqa_qwen3_8b,QA,triviaqa,global_gate__beta_3__blend_1,0.8011817094387961,0.7614719310710463,-0.45367717287488896
semenergy_triviaqa_qwen3_8b,QA,triviaqa,sample_permuted_gate__beta_3__blend_1,0.7985863293773997,0.7558495875298967,-0.7132151790145258
semenergy_triviaqa_qwen3_8b,QA,triviaqa,manual_graph__beta_3__blend_1,0.7998020370689017,0.749069883441179,-0.5916444098643225
semenergy_triviaqa_qwen3_8b,QA,triviaqa,manual_graph__beta_0__blend_0.25,0.8052413418752904,0.76631812294156,-0.04771392922545692
semenergy_triviaqa_qwen3_8b,QA,triviaqa,manual_graph__beta_0__blend_0.5,0.8046929226277906,0.7598441894889165,-0.10255585397543898
semenergy_triviaqa_qwen3_8b,QA,triviaqa,manual_graph__beta_0.3__blend_0.25,0.8044788749487741,0.7640213906450222,-0.1239606218770839
semenergy_triviaqa_qwen3_8b,QA,triviaqa,manual_graph__beta_0.3__blend_0.5,0.8038186521563122,0.7571110713187901,-0.18998290112327565
semenergy_triviaqa_qwen3_8b,QA,triviaqa,manual_graph__beta_0.3__blend_1,0.8019828296355038,0.7498227825519366,-0.373565153204114
semenergy_triviaqa_qwen3_8b,QA,triviaqa,manual_graph__beta_1__blend_0.25,0.8046442943201305,0.765082342613876,-0.10741868474144489
semenergy_triviaqa_qwen3_8b,QA,triviaqa,manual_graph__beta_1__blend_0.5,0.803659674996654,0.7577133585880688,-0.20588061708909366
semenergy_triviaqa_qwen3_8b,QA,triviaqa,manual_graph__beta_1__blend_1,0.8008350768867576,0.7497034337129942,-0.48834042807873734
semenergy_triviaqa_qwen3_8b,QA,triviaqa,manual_graph__beta_3__blend_0.25,0.804548284584494,0.7651060445127925,-0.11701965830509531
semenergy_triviaqa_qwen3_8b,QA,triviaqa,manual_graph__beta_3__blend_0.5,0.803174638799737,0.757865846282824,-0.25438423678079136
spilled_triviaqa_llama8b,QA,triviaqa,deployed_upcr,0.9299999999999999,0.4658628408628408,-0.20000000000001128
spilled_triviaqa_llama8b,QA,triviaqa,iu_pcr,0.932,0.512390873015873,0.0
spilled_triviaqa_llama8b,QA,triviaqa,dufs_liu,0.9326666666666666,0.5132309267793138,0.06666666666665932
spilled_triviaqa_llama8b,QA,triviaqa,manual_graph__beta_0__blend_1,0.9366666666666666,0.466597180861624,0.4666666666666597
spilled_triviaqa_llama8b,QA,triviaqa,permuted_graph__beta_3__blend_1,0.9339999999999999,0.4705653021442494,0.19999999999998908
spilled_triviaqa_llama8b,QA,triviaqa,global_gate__beta_3__blend_1,0.9313333333333333,0.46381437087772703,-0.06666666666667043
spilled_triviaqa_llama8b,QA,triviaqa,sample_permuted_gate__beta_3__blend_1,0.9359999999999999,0.45462962962962955,0.39999999999998925
spilled_triviaqa_llama8b,QA,triviaqa,manual_graph__beta_3__blend_1,0.9353333333333333,0.47092092092092086,0.33333333333332993
spilled_triviaqa_llama8b,QA,triviaqa,manual_graph__beta_0__blend_0.25,0.9339999999999999,0.4867145031528593,0.19999999999998908
spilled_triviaqa_llama8b,QA,triviaqa,manual_graph__beta_0__blend_0.5,0.9346666666666666,0.47771104437771106,0.2666666666666595
spilled_triviaqa_llama8b,QA,triviaqa,manual_graph__beta_0.3__blend_0.25,0.9333333333333333,0.48581844580518907,0.13333333333332975
spilled_triviaqa_llama8b,QA,triviaqa,manual_graph__beta_0.3__blend_0.5,0.9333333333333333,0.4673494923494923,0.13333333333332975
spilled_triviaqa_llama8b,QA,triviaqa,manual_graph__beta_0.3__blend_1,0.9346666666666666,0.46351351351351355,0.2666666666666595
spilled_triviaqa_llama8b,QA,triviaqa,manual_graph__beta_1__blend_0.25,0.9326666666666666,0.4856333291817162,0.06666666666665932
spilled_triviaqa_llama8b,QA,triviaqa,manual_graph__beta_1__blend_0.5,0.9333333333333333,0.4673494923494923,0.13333333333332975
spilled_triviaqa_llama8b,QA,triviaqa,manual_graph__beta_1__blend_1,0.9339999999999999,0.46223146223146216,0.19999999999998908
spilled_triviaqa_llama8b,QA,triviaqa,manual_graph__beta_3__blend_0.25,0.9326666666666666,0.4856333291817162,0.06666666666665932
spilled_triviaqa_llama8b,QA,triviaqa,manual_graph__beta_3__blend_0.5,0.9333333333333333,0.4673494923494923,0.13333333333332975
truthfulqa_llama8b,QA,truthfulqa,deployed_upcr,0.6607353237392349,0.1885029130163223,-0.08243645274368383
truthfulqa_llama8b,QA,truthfulqa,iu_pcr,0.6615596882666718,0.1905679328489564,0.0
truthfulqa_llama8b,QA,truthfulqa,dufs_liu,0.6601734299215886,0.18931278176648092,-0.13862583450832133
truthfulqa_llama8b,QA,truthfulqa,manual_graph__beta_0__blend_1,0.6620625307030954,0.19382138837291868,0.05028424364236228
truthfulqa_llama8b,QA,truthfulqa,permuted_graph__beta_3__blend_1,0.660375037858094,0.18880730357246814,-0.11846504085777365
truthfulqa_llama8b,QA,truthfulqa,global_gate__beta_3__blend_1,0.6644586401227689,0.1918486143574344,0.28989518560971206
truthfulqa_llama8b,QA,truthfulqa,sample_permuted_gate__beta_3__blend_1,0.6655788049739376,0.19219890863228947,0.4019116707265846
truthfulqa_llama8b,QA,truthfulqa,manual_graph__beta_3__blend_1,0.6627946953745742,0.18995827807195032,0.12350071079024749
truthfulqa_llama8b,QA,truthfulqa,manual_graph__beta_0__blend_0.25,0.6618937089629128,0.1913747427342174,0.03340206962409997
truthfulqa_llama8b,QA,truthfulqa,manual_graph__beta_0__blend_0.5,0.6620717688026119,0.19157753003440092,0.051208053594009595
truthfulqa_llama8b,QA,truthfulqa,manual_graph__beta_0.3__blend_0.25,0.6616354044548652,0.1912237651329304,0.007571618819346426
truthfulqa_llama8b,QA,truthfulqa,manual_graph__beta_0.3__blend_0.5,0.661504078530367,0.1912539236744815,-0.005560973630480692
truthfulqa_llama8b,QA,truthfulqa,manual_graph__beta_0.3__blend_1,0.6611173463251203,0.19016821188961755,-0.04423419415514607
truthfulqa_llama8b,QA,truthfulqa,manual_graph__beta_1__blend_0.25,0.6618228835332868,0.19069810122093767,0.02631952666150017
truthfulqa_llama8b,QA,truthfulqa,manual_graph__beta_1__blend_0.5,0.6618692551700753,0.19095330173147337,0.030956690340355753
truthfulqa_llama8b,QA,truthfulqa,manual_graph__beta_1__blend_1,0.6618578434000842,0.1903607595668648,0.02981551334124699
truthfulqa_llama8b,QA,truthfulqa,manual_graph__beta_3__blend_0.25,0.6620333672908966,0.19046896862212354,0.04736790242247935
truthfulqa_llama8b,QA,truthfulqa,manual_graph__beta_3__blend_0.5,0.6623800677315721,0.19059699713305317,0.08203794649003227
ars_gsm8k_r1distill8b,math,gsm8k,deployed_upcr,0.7391725921137686,0.8731907738764855,-1.8422753716871298
ars_gsm8k_r1distill8b,math,gsm8k,iu_pcr,0.7575953458306399,0.8836754709022755,0.0
ars_gsm8k_r1distill8b,math,gsm8k,dufs_liu,0.7555551066580477,0.8833680416719021,-0.20402391725922175
ars_gsm8k_r1distill8b,math,gsm8k,manual_graph__beta_0__blend_1,0.7556157078215902,0.8791291086485997,-0.19796380090497667
ars_gsm8k_r1distill8b,math,gsm8k,permuted_graph__beta_3__blend_1,0.7573125404007757,0.8829882810304244,-0.02828054298642524
ars_gsm8k_r1distill8b,math,gsm8k,global_gate__beta_3__blend_1,0.7586457659987073,0.8841784617146133,0.10504201680673342
ars_gsm8k_r1distill8b,math,gsm8k,sample_permuted_gate__beta_3__blend_1,0.7513938267614738,0.8800457719582122,-0.6201519069166106
ars_gsm8k_r1distill8b,math,gsm8k,manual_graph__beta_3__blend_1,0.7571711376858437,0.8809515638740766,-0.042420814479626756
ars_gsm8k_r1distill8b,math,gsm8k,manual_graph__beta_0__blend_0.25,0.7578377504848093,0.8833858794009662,0.02424046541693592
ars_gsm8k_r1distill8b,math,gsm8k,manual_graph__beta_0__blend_0.5,0.7569085326438267,0.881812493050256,-0.06868131868131844
ars_gsm8k_r1distill8b,math,gsm8k,manual_graph__beta_0.3__blend_0.25,0.7566661279896574,0.8825192402243817,-0.09292178409825436
ars_gsm8k_r1distill8b,math,gsm8k,manual_graph__beta_0.3__blend_0.5,0.7557975113122173,0.8808816368159686,-0.17978345184226363
ars_gsm8k_r1distill8b,math,gsm8k,manual_graph__beta_0.3__blend_1,0.7531512605042017,0.8782579660923305,-0.4444085326438252
ars_gsm8k_r1distill8b,math,gsm8k,manual_graph__beta_1__blend_0.25,0.757009534583064,0.8826747707575858,-0.05858112475759514
ars_gsm8k_r1distill8b,math,gsm8k,manual_graph__beta_1__blend_0.5,0.7565449256625727,0.8813075998934474,-0.10504201680672232
ars_gsm8k_r1distill8b,math,gsm8k,manual_graph__beta_1__blend_1,0.755292501616031,0.8798040757986267,-0.23028442146089123
ars_gsm8k_r1distill8b,math,gsm8k,manual_graph__beta_3__blend_0.25,0.757554945054945,0.8828943202616101,-0.00404007756948932
ars_gsm8k_r1distill8b,math,gsm8k,manual_graph__beta_3__blend_0.5,0.7570297349709114,0.8818594238498856,-0.05656108597285048
internalstates_gsm8k_qwen25_7b,math,gsm8k,deployed_upcr,0.708176755121312,0.47998083309827355,-0.3333911468270001
internalstates_gsm8k_qwen25_7b,math,gsm8k,iu_pcr,0.711510666589582,0.48980609165815925,0.0
internalstates_gsm8k_qwen25_7b,math,gsm8k,dufs_liu,0.7098340752731688,0.4857876761250276,-0.16765913164131785
internalstates_gsm8k_qwen25_7b,math,gsm8k,manual_graph__beta_0__blend_1,0.70971844828583,0.48350613116221214,-0.179221830375198
internalstates_gsm8k_qwen25_7b,math,gsm8k,permuted_graph__beta_3__blend_1,0.7054595209188491,0.48360830637037866,-0.6051145670732838
internalstates_gsm8k_qwen25_7b,math,gsm8k,global_gate__beta_3__blend_1,0.7140159179819235,0.49496779316085426,0.250525139234159
internalstates_gsm8k_qwen25_7b,math,gsm8k,sample_permuted_gate__beta_3__blend_1,0.7155576111464416,0.4982615852609039,0.4046944556859611
internalstates_gsm8k_qwen25_7b,math,gsm8k,manual_graph__beta_3__blend_1,0.7099882445896205,0.48686179210512337,-0.1522421999961443
internalstates_gsm8k_qwen25_7b,math,gsm8k,manual_graph__beta_0__blend_0.25,0.7115106665895821,0.4872026551087611,1.1102230246251565e-14
internalstates_gsm8k_qwen25_7b,math,gsm8k,manual_graph__beta_0__blend_0.5,0.7108939893237748,0.48683096949434945,-0.0616677265807164
internalstates_gsm8k_qwen25_7b,math,gsm8k,manual_graph__beta_0.3__blend_0.25,0.7113950396022432,0.487860604943268,-0.011562698733880161
internalstates_gsm8k_qwen25_7b,math,gsm8k,manual_graph__beta_0.3__blend_0.5,0.7109903451465572,0.4884363484406538,-0.05203214430247183
internalstates_gsm8k_qwen25_7b,math,gsm8k,manual_graph__beta_0.3__blend_1,0.7088897882099013,0.48323021557813295,-0.26208783796806134
internalstates_gsm8k_qwen25_7b,math,gsm8k,manual_graph__beta_1__blend_0.25,0.7112986837794607,0.48847957406913967,-0.02119828101212473
internalstates_gsm8k_qwen25_7b,math,gsm8k,manual_graph__beta_1__blend_0.5,0.7109710739820008,0.48851168205483236,-0.05395926075811852
internalstates_gsm8k_qwen25_7b,math,gsm8k,manual_graph__beta_1__blend_1,0.7095064654757086,0.48512882298614124,-0.20042011138733384
internalstates_gsm8k_qwen25_7b,math,gsm8k,manual_graph__beta_3__blend_0.25,0.7116648359060338,0.48874285054202016,0.01541693164518465
internalstates_gsm8k_qwen25_7b,math,gsm8k,manual_graph__beta_3__blend_0.5,0.7114335819313561,0.4898755972752192,-0.007708465822586774
lapeigvals_gsm8k_llama3b,math,gsm8k,deployed_upcr,0.6990742033680565,0.5994235619960228,0.25856210610587516
lapeigvals_gsm8k_llama3b,math,gsm8k,iu_pcr,0.6964885823069977,0.5934863245132465,0.0
lapeigvals_gsm8k_llama3b,math,gsm8k,dufs_liu,0.6964047998063694,0.5933907099882807,-0.00837825006283488
lapeigvals_gsm8k_llama3b,math,gsm8k,manual_graph__beta_0__blend_1,0.6963535993893187,0.5899210768317544,-0.013498291767899406
lapeigvals_gsm8k_llama3b,math,gsm8k,permuted_graph__beta_3__blend_1,0.6940379441636179,0.5884767017382201,-0.24506381433798685
lapeigvals_gsm8k_llama3b,math,gsm8k,global_gate__beta_3__blend_1,0.6928905893633461,0.5875960618501935,-0.35979929436515956
lapeigvals_gsm8k_llama3b,math,gsm8k,sample_permuted_gate__beta_3__blend_1,0.6944522020833915,0.591255336737878,-0.20363802236061934
lapeigvals_gsm8k_llama3b,math,gsm8k,manual_graph__beta_3__blend_1,0.6920923283156925,0.5859895747944479,-0.43962539913052767
lapeigvals_gsm8k_llama3b,math,gsm8k,manual_graph__beta_0__blend_0.25,0.6966352016830972,0.5917673777479403,0.014661937609949938
lapeigvals_gsm8k_llama3b,math,gsm8k,manual_graph__beta_0__blend_0.5,0.6966072741828879,0.5914066725176181,0.01186918758901978
lapeigvals_gsm8k_llama3b,math,gsm8k,manual_graph__beta_0.3__blend_0.25,0.6957764310516565,0.5909451623075622,-0.07121512553411868
