idx,cohort,cell,steps,tokens,step_share,rank_oracle,best_readout,contains_max,contains_top3,inside_minus_outside,rank_top10,rank_max,rank_mean,rank_median,rank_tophalf,rank_first4,rank_last4,rank_top3
45,loc_miss_open,pb_gsm8k_q4,9,452,0.13053097345132744,5,top10,False,False,-0.40933229569654994,5,9,6,6,6,6,8,8
46,caught,pb_gsm8k_q4,7,260,0.16153846153846155,1,last4,True,True,0.03751725247812887,2,3,2,3,2,4,1,2
47,caught,pb_gsm8k_q4,7,347,0.12680115273775217,2,max,True,True,0.09340153232596249,5,2,7,7,5,4,7,3
48,loc_miss_closed,pb_gsm8k_q4,7,318,0.1761006289308176,2,last4,False,False,-0.3132236762845275,3,3,6,6,6,5,2,2
49,caught,pb_gsm8k_q4,4,234,0.20512820512820512,1,top10,True,True,0.67252932369265,1,1,1,1,1,4,1,2
50,caught,pb_gsm8k_q4,7,432,0.19675925925925927,1,top10,True,True,0.16839408068986916,1,1,1,1,1,3,3,1
51,caught,pb_gsm8k_q4,5,292,0.20205479452054795,2,top10,True,True,0.20376967380084943,2,3,4,4,4,4,4,2
52,caught,pb_gsm8k_q4,4,143,0.27972027972027974,1,top10,True,True,1.3135387808811587,1,1,1,1,1,4,1,1
53,caught,pb_gsm8k_q4,3,177,0.423728813559322,1,top10,True,True,0.07265384114591122,1,2,2,2,2,1,1,1
54,gate_blocked,pb_gsm8k_q4,4,108,0.2962962962962963,1,last4,False,True,-0.031781562858732126,2,4,3,3,3,4,1,3
55,caught,pb_gsm8k_q4,5,237,0.21940928270042195,1,median,False,True,-0.10683301430440428,2,2,3,1,2,1,5,2
56,caught,pb_gsm8k_q4,5,194,0.17525773195876287,1,top10,True,True,1.1866720523780998,1,1,1,1,1,1,1,1
57,loc_miss_open,pb_gsm8k_q4,6,161,0.14285714285714285,4,top10,False,False,-1.0095253217797162,4,4,5,4,4,4,6,4
58,caught,pb_gsm8k_q4,9,503,0.1709741550695825,1,top10,True,True,0.012222401654301107,1,3,1,1,2,1,1,2
59,caught,pb_gsm8k_q4,7,252,0.34523809523809523,1,top10,True,True,0.04292700853839593,1,1,6,6,6,1,2,1
60,gate_blocked,pb_gsm8k_q4,4,289,0.4740484429065744,1,top10,False,True,-0.005480583716409804,1,3,2,3,2,3,2,1
61,loc_miss_open,pb_gsm8k_q4,9,520,0.1576923076923077,2,last4,False,False,-0.4734728546103417,5,6,7,6,6,9,2,5
62,caught,pb_gsm8k_q4,3,244,0.4098360655737705,2,top10,False,True,-0.11126610016735983,2,2,2,2,2,3,3,2
63,loc_miss_open,pb_gsm8k_q4,6,473,0.28752642706131076,2,top10,True,True,0.1525408898916376,2,2,2,3,2,2,2,2
64,caught,pb_gsm8k_q4,8,336,0.08333333333333333,1,top10,False,True,-0.1001985864985162,1,5,1,1,1,2,1,4
65,caught,pb_gsm8k_q4,3,304,0.45723684210526316,1,top10,True,True,0.6808173276580445,1,1,1,1,1,2,2,1
66,caught,pb_gsm8k_q4,4,237,0.28270042194092826,1,top10,True,True,0.2727036953371773,1,1,2,2,1,2,3,1
67,gate_blocked,pb_gsm8k_q4,4,242,0.3181818181818182,1,top10,True,True,0.1730202382658368,1,2,1,2,1,4,1,1
68,caught,pb_gsm8k_q4,7,296,0.07432432432432433,1,top10,True,True,0.2809668256193363,1,1,1,1,1,1,3,1
69,caught,pb_gsm8k_q4,5,346,0.4190751445086705,1,top10,True,True,0.20811124911147827,1,1,4,4,4,5,2,1
70,caught,pb_gsm8k_q4,4,241,0.2863070539419087,1,max,True,True,0.5518060581172715,2,1,2,3,1,1,4,2
71,loc_miss_closed,pb_gsm8k_q4,3,209,0.20095693779904306,1,tophalf,True,True,0.20752851492297708,3,3,2,3,1,3,3,2
72,loc_miss_open,pb_gsm8k_q4,6,400,0.1875,1,mean,False,False,-0.1414881305149147,3,4,1,2,3,5,3,5
73,gate_blocked,pb_gsm8k_q4,5,191,0.42408376963350786,1,top10,True,True,0.08037725957770903,1,2,5,3,4,5,3,2
74,caught,pb_gsm8k_q4,6,240,0.22916666666666666,3,top10,False,True,-0.06445534826816024,3,4,6,6,5,4,6,3
75,caught,pb_gsm8k_q4,6,391,0.12020460358056266,2,top10,True,True,0.06535149916986316,2,2,3,3,2,2,2,2
76,caught,pb_gsm8k_q4,5,235,0.14468085106382977,1,max,True,True,0.19910920368727503,3,1,1,1,2,4,1,2
77,caught,pb_gsm8k_q4,5,162,0.16049382716049382,1,top10,False,False,-0.301470360186171,1,5,1,1,1,5,1,5
78,caught,pb_gsm8k_q4,4,233,0.27467811158798283,1,top10,True,True,0.24193959580673585,1,3,3,3,1,1,2,2
79,caught,pb_gsm8k_q4,4,173,0.4797687861271676,1,top10,True,True,0.1179352670781828,1,1,1,1,1,4,1,1
80,loc_miss_open,pb_gsm8k_q4,8,393,0.14249363867684478,3,mean,False,True,-0.07043554003958241,4,4,3,3,3,3,5,4
81,caught,pb_gsm8k_q4,7,389,0.36246786632390743,1,top10,True,True,1.1485315211199403,1,1,1,1,1,5,1,1
82,loc_miss_open,pb_gsm8k_q4,5,245,0.15510204081632653,1,first4,False,True,-0.004403310181260611,3,3,3,4,2,1,4,3
83,caught,pb_gsm8k_q4,5,255,0.3764705882352941,1,top10,True,True,0.16563738825285235,1,3,3,4,2,5,2,2
84,caught,pb_gsm8k_q4,4,288,0.2465277777777778,1,top10,True,True,0.22607932552264365,1,1,2,2,1,1,1,1
85,caught,pb_gsm8k_q4,5,241,0.2863070539419087,1,top10,True,True,1.0247465102187372,1,1,1,1,1,5,2,1
86,loc_miss_open,pb_gsm8k_q4,7,358,0.17039106145251395,3,mean,False,False,-0.26005471375783085,4,5,3,4,5,5,3,4
87,caught,pb_gsm8k_q4,4,210,0.3761904761904762,1,top10,True,True,1.5366860614416669,1,1,1,1,1,4,1,1
88,caught,pb_gsm8k_q4,4,235,0.2553191489361702,1,top10,True,True,0.3896904609265617,1,2,2,2,1,2,3,2
89,gate_blocked,pb_gsm8k_q4,5,249,0.30120481927710846,1,top10,True,True,0.12934244255084293,1,1,3,3,3,2,1,1
90,caught,pb_gsm8k_q4,4,187,0.26737967914438504,1,max,True,True,0.28028276184792733,2,1,1,1,1,1,1,2
91,caught,pb_gsm8k_q4,5,267,0.2397003745318352,2,top10,True,True,0.00567477817651274,2,2,2,3,3,2,2,2
92,caught,pb_gsm8k_q4,8,369,0.2086720867208672,1,top10,True,True,0.34870486238754905,1,3,1,2,1,7,1,1
93,caught,pb_gsm8k_q4,5,300,0.22666666666666666,1,max,True,True,0.13306331481181166,3,1,4,4,4,4,2,3
94,caught,pb_gsm8k_q4,5,189,0.2857142857142857,1,top10,True,True,2.3098283051908948,1,1,2,2,2,3,1,1
95,caught,pb_gsm8k_q4,3,274,0.21897810218978103,1,mean,True,True,0.12387271160084024,3,2,1,1,1,2,2,3
96,loc_miss_open,pb_gsm8k_q4,5,308,0.22727272727272727,1,first4,False,True,-0.14084378285307642,3,3,4,4,5,1,3,2
97,caught,pb_gsm8k_q4,5,163,0.20245398773006135,1,last4,True,True,0.642990497592955,2,2,3,3,3,4,1,1
98,caught,pb_gsm8k_q4,6,241,0.14937759336099585,1,top10,True,True,0.22115597359917816,1,1,1,1,1,5,1,1
99,caught,pb_gsm8k_q4,5,319,0.2601880877742947,1,top10,True,True,0.1429750346394969,1,3,2,2,3,5,1,2
100,caught,pb_gsm8k_q4,6,432,0.19212962962962962,2,top10,False,True,-0.07261706828225512,2,2,6,5,4,4,4,2
101,caught,pb_gsm8k_q4,4,342,0.42105263157894735,1,top10,True,True,0.7316481703846314,1,1,3,2,2,4,1,1
102,caught,pb_gsm8k_q4,10,567,0.14109347442680775,3,top10,False,False,-0.17135961057817228,3,7,5,3,5,4,3,6
103,caught,pb_gsm8k_q4,6,524,0.16221374045801526,2,max,False,True,-0.018452488560820157,3,2,2,2,2,3,3,4
104,caught,pb_gsm8k_q4,8,243,0.25925925925925924,2,top10,False,True,-0.024570609625391038,2,4,7,7,7,5,8,2
105,caught,pb_gsm8k_q4,8,581,0.1549053356282272,3,top10,True,True,0.2154006551338643,3,4,6,4,7,4,7,4
106,caught,pb_gsm8k_q4,4,185,0.23243243243243245,1,max,True,True,0.08384999216172417,3,1,1,1,1,2,2,3
107,caught,pb_gsm8k_q4,5,218,0.19724770642201836,1,mean,True,True,0.0049159071049835745,2,2,1,2,2,2,4,2
108,loc_miss_closed,pb_gsm8k_q4,4,201,0.2885572139303483,1,first4,False,False,-0.2454802631774835,2,4,4,3,4,1,2,2
109,caught,pb_gsm8k_q4,7,350,0.2714285714285714,1,top10,True,True,0.05535885548107711,1,1,7,7,3,1,3,1
110,gate_blocked,pb_gsm8k_q4,6,283,0.26855123674911663,1,top10,True,True,0.9177548587536188,1,2,4,4,2,1,3,1
111,gate_blocked,pb_gsm8k_q4,3,120,0.45,1,top10,True,True,1.1378566858456944,1,1,1,1,1,1,1,1
112,gate_blocked,pb_gsm8k_q4,4,210,0.2714285714285714,1,first4,True,True,0.8673184753788132,2,2,3,2,3,1,1,1
113,caught,pb_gsm8k_q4,3,287,0.2787456445993031,2,max,True,True,0.07059479860965734,3,2,3,3,3,3,3,3
122,caught,pb_gsm8k_q4,5,400,0.43,1,top10,True,True,1.8355334302531783,1,1,1,1,1,1,1,1
124,gate_blocked,pb_gsm8k_q4,7,345,0.19130434782608696,1,last4,True,True,0.12758699302468246,2,2,4,4,3,3,1,2
135,caught,pb_gsm8k_q4,7,403,0.3176178660049628,1,top10,True,True,0.32599916535814044,1,1,2,2,2,2,1,1
146,caught,pb_gsm8k_q4,6,239,0.12552301255230125,1,mean,True,True,0.03377611268367087,2,2,1,2,2,3,1,2
157,gate_blocked,pb_gsm8k_q4,4,158,0.3037974683544304,1,top10,True,True,2.50376525431915,1,1,1,1,1,1,2,1
168,caught,pb_gsm8k_q4,4,292,0.4041095890410959,1,top10,True,True,0.5926721459454742,1,1,2,2,1,3,1,1
179,caught,pb_gsm8k_q4,4,126,0.42857142857142855,1,top10,True,True,0.2460956115494506,1,3,2,2,1,4,1,1
184,caught,pb_gsm8k_q4,4,176,0.36363636363636365,1,top10,True,True,0.9412442710687601,1,2,2,2,2,1,2,2
190,caught,pb_gsm8k_q4,4,148,0.2972972972972973,1,top10,True,True,1.9694664447481964,1,1,1,1,1,1,2,1
201,caught,pb_gsm8k_q4,4,334,0.27245508982035926,1,last4,False,True,-0.041077178281162086,2,3,4,2,2,2,1,2
212,caught,pb_gsm8k_q4,4,229,0.3537117903930131,1,top10,True,True,0.5691939217042288,1,1,2,2,1,2,2,1
213,gate_blocked,pb_gsm8k_q4,2,189,0.6190476190476191,1,top10,True,True,0.5070065799715009,1,1,1,1,1,1,1,1
216,caught,pb_gsm8k_q4,4,281,0.3914590747330961,1,top10,True,True,0.8042031962802567,1,1,2,2,2,4,1,1
223,caught,pb_gsm8k_q4,4,269,0.550185873605948,2,first4,False,True,-0.05832268425623477,3,3,4,4,4,2,4,3
224,caught,pb_gsm8k_q4,3,366,0.273224043715847,1,mean,False,True,-0.05736478440135251,2,3,1,1,2,2,1,2
232,caught,pb_gsm8k_q4,4,238,0.5,1,top10,True,True,1.2470215882294577,1,1,2,2,2,2,3,1
235,caught,pb_gsm8k_q4,7,353,0.22946175637393768,1,top10,True,True,0.10927258948295693,1,1,1,1,1,3,2,1
238,caught,pb_gsm8k_q4,3,142,0.5563380281690141,1,top10,True,True,0.656275724937851,1,1,1,1,1,2,2,1
246,caught,pb_gsm8k_q4,5,474,0.1940928270042194,1,last4,True,True,0.041742147731821166,2,4,2,2,2,3,1,4
257,gate_blocked,pb_gsm8k_q4,5,157,0.1592356687898089,1,top10,True,True,0.18370074237344092,1,1,2,1,1,3,2,1
268,gate_blocked,pb_gsm8k_q4,4,270,0.2777777777777778,1,max,True,True,0.9476117600221894,2,1,1,1,1,2,1,1
279,caught,pb_gsm8k_q4,5,384,0.265625,1,last4,False,True,-0.11752804872198253,3,4,4,4,4,3,1,2
290,caught,pb_gsm8k_q4,5,267,0.1947565543071161,2,tophalf,False,True,-0.12930877377596017,3,4,3,3,2,3,2,4
301,gate_blocked,pb_gsm8k_q4,4,201,0.22885572139303484,1,top10,False,True,-0.061169849997744,1,2,1,1,1,1,2,1
312,caught,pb_gsm8k_q4,8,403,0.10669975186104218,1,median,False,True,-0.25186446181906064,3,4,5,1,2,1,1,3
323,caught,pb_gsm8k_q4,5,258,0.22093023255813954,1,mean,False,False,-0.12286964972010694,3,5,1,1,1,1,3,3
333,caught,pb_gsm8k_q4,6,496,0.17137096774193547,1,mean,True,True,0.31641672364288675,2,2,1,1,1,6,2,2
334,caught,pb_gsm8k_q4,5,247,0.3967611336032389,1,top10,True,True,0.6090834725174639,1,2,2,2,1,3,2,1
335,gate_blocked,pb_gsm8k_q4,4,234,0.2222222222222222,1,max,True,True,0.2982054851731224,2,1,3,4,3,3,1,1
336,gate_blocked,pb_gsm8k_q4,6,250,0.176,1,top10,True,True,0.09904650399844206,1,3,2,1,1,5,4,2
337,caught,pb_gsm8k_q4,7,479,0.12317327766179541,1,top10,True,True,1.2564037303727575,1,1,1,1,1,3,1,1
338,caught,pb_gsm8k_q4,5,231,0.2987012987012987,1,max,True,True,0.5304307333827012,2,1,3,4,2,3,5,2
339,gate_blocked,pb_gsm8k_q4,3,111,0.6396396396396397,1,top10,True,True,0.1979114281442791,1,1,2,2,2,3,2,1
340,caught,pb_gsm8k_q4,5,324,0.3487654320987654,2,tophalf,False,False,-0.26022033343574935,4,4,5,3,2,3,2,4
341,caught,pb_gsm8k_q4,5,325,0.3169230769230769,1,last4,False,True,-0.21017828678920614,2,3,4,3,4,3,1,2
342,caught,pb_gsm8k_q4,6,313,0.23322683706070288,1,top10,True,True,1.5204115163858614,1,1,3,1,1,4,3,1
343,gate_blocked,pb_gsm8k_q4,5,216,0.2916666666666667,2,top10,False,True,-0.12184298028901974,2,5,2,2,2,4,5,3
344,loc_miss_open,pb_gsm8k_q4,16,1167,0.05998286203941731,3,max,True,True,0.32060964173969175,6,3,8,8,7,10,16,7
345,gate_blocked,pb_gsm8k_q4,4,217,0.2488479262672811,1,last4,False,True,-0.27316436831486124,3,3,3,4,2,2,1,3
346,caught,pb_gsm8k_q4,4,178,0.33707865168539325,1,top10,False,True,-0.00045538655521992766,1,4,3,3,3,3,3,2
347,loc_miss_closed,pb_gsm8k_q4,7,258,0.17054263565891473,1,last4,False,False,-0.285586089917111,3,5,4,2,4,5,1,5
348,caught,pb_gsm8k_q4,5,186,0.24193548387096775,1,top10,True,True,0.6015214837208012,1,1,1,1,1,1,2,1
349,caught,pb_gsm8k_q4,5,293,0.2593856655290102,1,top10,True,True,0.1176721575809847,1,1,1,1,1,3,1,1
350,caught,pb_gsm8k_q4,7,293,0.22184300341296928,2,top10,False,True,-0.04561530727806362,2,3,5,4,5,7,6,3
351,gate_blocked,pb_gsm8k_q4,4,190,0.37894736842105264,1,top10,False,True,-0.09298576435481887,1,3,2,1,2,2,1,2
352,caught,pb_gsm8k_q4,12,1053,0.09116809116809117,2,top10,False,True,-0.07526468398847075,2,2,3,4,2,2,4,2
353,caught,pb_gsm8k_q4,8,351,0.2905982905982906,1,top10,True,True,0.48693329837073174,1,1,1,1,1,6,1,1
354,caught,pb_gsm8k_q4,6,286,0.583916083916084,1,top10,True,True,1.184464639776932,1,2,1,1,2,5,1,1
355,gate_blocked,pb_gsm8k_q4,3,127,0.2677165354330709,1,top10,True,True,0.2254129602626629,1,1,1,1,1,1,1,1
356,caught,pb_gsm8k_q4,3,330,0.5060606060606061,1,top10,True,True,1.6758098384332283,1,1,1,1,1,1,1,1
357,caught,pb_gsm8k_q4,6,513,0.17738791423001948,3,first4,False,False,-0.18387860787888188,5,5,5,4,5,3,6,5
358,caught,pb_gsm8k_q4,6,266,0.12406015037593984,1,mean,False,True,-0.12816841984706118,4,5,1,1,1,2,2,3
359,caught,pb_gsm8k_q4,5,471,0.28874734607218683,1,top10,True,True,0.0986337391500669,1,1,2,2,2,3,3,1
360,loc_miss_open,pb_gsm8k_q4,7,252,0.1111111111111111,5,mean,False,False,-0.5304051804792338,6,6,5,5,6,5,5,6
361,caught,pb_gsm8k_q4,6,251,0.24302788844621515,1,top10,True,True,0.7945250122132768,1,2,1,1,1,1,1,1
362,caught,pb_gsm8k_q4,10,389,0.1928020565552699,1,top10,False,True,-0.07492983740820325,1,2,4,3,4,9,1,1
363,loc_miss_open,pb_gsm8k_q4,10,484,0.05578512396694215,2,mean,True,True,0.06467500137824045,5,4,2,2,2,2,3,4
364,caught,pb_gsm8k_q4,5,382,0.2696335078534031,1,top10,True,True,0.12724758556806304,1,2,1,1,2,1,1,2
365,loc_miss_open,pb_gsm8k_q4,7,387,0.056847545219638244,3,last4,False,False,-0.22406944091217684,6,7,6,6,6,5,3,7
366,caught,pb_gsm8k_q4,5,282,0.3475177304964539,1,top10,True,True,0.6919729147538667,1,1,1,1,1,1,2,1
367,gate_blocked,pb_gsm8k_q4,4,176,0.4034090909090909,1,top10,True,True,1.093439803497715,1,1,1,1,1,1,1,1
368,caught,pb_gsm8k_q4,4,238,0.31092436974789917,2,mean,False,True,-0.09484412123956854,3,3,2,2,3,2,2,3
369,caught,pb_gsm8k_q4,6,425,0.31529411764705884,1,top10,True,True,0.1553138596100223,1,1,2,1,2,4,2,1
370,caught,pb_gsm8k_q4,4,300,0.2,1,first4,True,True,0.06491543624189111,2,3,2,2,2,1,2,2
371,caught,pb_gsm8k_q4,6,352,0.16761363636363635,2,max,False,True,-0.022620200409412927,3,2,5,5,5,6,5,2
372,gate_blocked,pb_gsm8k_q4,7,248,0.1532258064516129,1,last4,False,True,-0.04637069719720177,4,3,3,3,3,2,1,3
373,caught,pb_gsm8k_q4,5,283,0.2332155477031802,1,top10,True,True,0.0380040786155611,1,3,1,1,1,1,4,2
374,loc_miss_open,pb_gsm8k_q4,5,327,0.1620795107033639,3,first4,False,True,-0.06399103315980459,5,4,5,5,5,3,3,5
375,caught,pb_gsm8k_q4,4,450,0.17777777777777778,2,mean,True,True,0.46161644925959777,3,3,2,2,2,3,2,3
376,caught,pb_gsm8k_q4,9,438,0.08447488584474885,1,max,True,True,0.474009147367648,3,1,1,1,2,5,2,3
377,caught,pb_gsm8k_q4,3,236,0.2627118644067797,1,max,True,True,0.6902738727287696,2,1,3,3,2,1,3,1
378,caught,pb_gsm8k_q4,6,275,0.34545454545454546,1,top10,True,True,0.19776768988116356,1,3,5,6,5,3,6,1
379,caught,pb_gsm8k_q4,4,260,0.3076923076923077,1,first4,False,True,-0.07102080846585723,3,3,4,4,4,1,3,2
380,caught,pb_gsm8k_q4,7,531,0.18455743879472694,2,tophalf,False,True,-0.17761167826213242,3,3,3,4,2,4,4,3
381,loc_miss_open,pb_gsm8k_q4,8,292,0.13013698630136986,1,mean,False,True,-0.2724772359277834,2,5,1,1,2,3,2,3
382,caught,pb_gsm8k_q4,5,427,0.22014051522248243,1,top10,True,True,0.2680417784749194,1,1,2,1,1,2,1,1
383,gate_blocked,pb_gsm8k_q4,5,306,0.3660130718954248,1,top10,True,True,1.9804888963535703,1,1,2,1,1,1,5,1
384,caught,pb_gsm8k_q4,4,347,0.5734870317002881,1,top10,True,True,0.13837059636284876,1,1,2,2,1,4,1,1
385,caught,pb_gsm8k_q4,3,325,0.5661538461538461,1,top10,True,True,0.6657119457720824,1,1,1,1,1,2,1,1
386,caught,pb_gsm8k_q4,5,314,0.18152866242038215,1,top10,True,True,0.46091178937827504,1,1,1,1,1,2,1,1
387,caught,pb_gsm8k_q4,7,413,0.12832929782082325,1,max,True,True,0.16909324578347817,4,1,1,1,1,1,3,1
388,caught,pb_gsm8k_q4,5,716,0.3128491620111732,2,top10,True,True,0.08933384089834195,2,2,2,2,2,2,5,2
389,caught,pb_gsm8k_q4,4,405,0.3432098765432099,1,top10,True,True,0.6208445205919126,1,2,2,1,1,3,3,2
390,caught,pb_gsm8k_q4,5,299,0.26755852842809363,2,mean,True,True,0.2095983447262051,3,4,2,2,2,5,2,3
391,caught,pb_gsm8k_q4,3,255,0.2980392156862745,1,max,True,True,0.29996114394602635,3,1,1,1,2,3,1,3
392,caught,pb_gsm8k_q4,8,516,0.16085271317829458,1,mean,True,True,0.14806032304440087,2,2,1,1,1,1,5,2
393,caught,pb_gsm8k_q4,12,430,0.11162790697674418,1,top10,True,True,0.14669117156012135,1,6,6,6,2,9,2,2
394,caught,pb_gsm8k_q4,3,333,0.4084084084084084,1,top10,False,True,-0.05125025322472898,1,2,3,3,2,2,3,2
395,caught,pb_gsm8k_q4,3,294,0.6190476190476191,1,top10,True,True,0.9474734558255515,1,1,2,2,1,3,2,1
396,caught,pb_gsm8k_q4,4,281,0.15302491103202848,2,top10,True,True,0.12374741204631068,2,2,2,2,2,3,3,2
397,loc_miss_open,pb_gsm8k_q4,5,297,0.1447811447811448,3,max,False,True,-0.012864538134543357,5,3,5,5,5,4,5,5
398,caught,pb_gsm8k_q4,4,210,0.2857142857142857,1,max,True,True,0.1899456084543858,2,1,1,2,2,4,2,1
399,caught,pb_gsm8k_q4,6,328,0.24085365853658536,1,top10,True,True,0.24209292185566733,1,4,3,3,3,4,4,1
400,caught,pb_gsm8k_q8,4,302,0.4470198675496689,1,top10,True,True,1.0818046192653274,1,2,1,1,1,2,3,1
401,caught,pb_gsm8k_q8,7,354,0.3926553672316384,1,top10,False,True,-0.08853348702591424,1,2,6,7,5,1,5,1
402,caught,pb_gsm8k_q8,5,362,0.23756906077348067,3,top10,True,True,0.38128750452116567,3,3,3,3,3,5,3,3
403,caught,pb_gsm8k_q8,3,261,0.5325670498084292,1,top10,True,True,0.3086174474679524,1,2,1,1,1,1,1,1
