cell,group,auroc,good6,gap_vs_good6,verdict,size,p_pool,good6_kept,good6_missed,n_extra,n_extra_anti,n_extra_nearrandom,n_extra_strong_inverted,mean_auc_selected,mean_auc_unselected,sel_minus_unsel,rho_gate_vs_featauroc,chosen
math500_dsmath7b,math,0.7834091401342863,0.7868023969388491,-0.0033932568045628164,LOSS,17,30,4,sw_var_peak|spectral_entropy,13,7,0,6,0.5765058823529411,0.5066076923076923,0.06989819004524878,0.1417761101958109,epr|trace_length|low_band_power|high_band_power|hl_ratio|spectral_centroid|stft_spectral_entropy|cusum_max|epr_spilled|cusum_max_spilled|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
truthfulqa_llama8b,QA,0.6541440303038646,0.6571993052949163,-0.0030552749910517374,LOSS,18,29,5,low_band_power,13,5,2,2,0.5560611111111112,0.4761909090909091,0.07987020202020212,0.07635467980295566,epr|trace_length|spectral_entropy|hl_ratio|stft_max_high_power|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
internalstates_gsm8k_qwen25_7b,math,0.7009886107417471,0.703590217956871,-0.0026016072151239245,LOSS,18,29,5,spectral_entropy,13,8,1,5,0.5289777777777778,0.48554545454545467,0.0434323232323231,0.26875231143623923,epr|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
noise_gsm8k_phi3mini,math,0.6786196469616835,0.6800590256856576,-0.0014393787239740385,LOSS,16,29,5,spectral_entropy,11,5,2,2,0.56745,0.49176153846153847,0.07568846153846154,0.10394088669950736,epr|low_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
spilled_triviaqa_llama8b,QA,0.9413333333333334,0.942,-0.0006666666666665932,LOSS,19,28,5,low_band_power,14,8,0,8,0.5504578947368421,0.45398888888888883,0.09646900584795332,0.15435139573070608,epr|trace_length|spectral_entropy|hl_ratio|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
lapeigvals_gsm8k_llama8b,math,0.8181799983985908,0.8186404035551285,-0.0004604051565376688,LOSS,22,29,5,spectral_entropy,17,11,0,11,0.5200409090909092,0.49247142857142856,0.027569480519480605,0.3099285632367446,epr|trace_length|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
se_squad_v2_llama8b,QA,0.8118921196310874,0.8110489074602057,0.0008432121708816798,WIN,20,27,6,,14,7,0,7,0.567695,0.3936571428571428,0.17403785714285713,0.16638681311240186,epr|trace_length|spectral_entropy|low_band_power|hl_ratio|spectral_centroid|rpdi|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
trace_gsm8k_llama8b_k10,math,0.8109025032938076,0.8092908020421608,0.001611701251646891,WIN,22,29,5,spectral_entropy,17,11,0,11,0.5258045454545455,0.48118571428571427,0.0446188311688312,0.17814464688456,epr|trace_length|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
math500_r1distill8b,math,0.8401434470767225,0.8357422299500108,0.0044012171267117095,WIN,21,28,6,,15,8,0,7,0.6057523809523809,0.5387857142857143,0.06696666666666662,0.09359605911330049,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|spectral_centroid|stft_spectral_entropy|rpdi|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
lapeigvals_gsm8k_llama3b,math,0.7087347911488442,0.7025209223522402,0.006213868796604016,WIN,17,30,5,spectral_entropy,12,6,0,5,0.5688411764705882,0.45349230769230764,0.11534886877828054,-0.003338155298930909,epr|low_band_power|hl_ratio|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
epr_triviaqa_mistral24b,QA,0.7453288070923577,0.7331949276175513,0.012133879474806375,WIN,20,28,5,low_band_power,15,8,0,6,0.5581400000000001,0.46055,0.09759000000000007,0.21105940323022176,epr|trace_length|spectral_entropy|hl_ratio|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|min_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
trace_math500_qwenmath15b_k10,math,0.6887356473083994,0.6759889194811037,0.01274672782729569,WIN,24,30,6,,18,11,0,11,0.5049916666666666,0.43596666666666667,0.06902499999999995,0.1768631813125695,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|rpdi|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
math500_qwenmath7b,math,0.904728701825558,0.8900862068965518,0.014642494929006156,WIN,24,28,6,,18,10,0,10,0.5030458333333333,0.372075,0.13097083333333331,0.07117437989102333,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|hurst_exponent|cusum_max|cusum_shift_idx|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
se_nq_open_llama8b,QA,0.7527359734635173,0.7303111911630826,0.022424782300434654,WIN,18,27,5,low_band_power,13,7,0,6,0.5620944444444445,0.4865,0.07559444444444446,0.23870573870573872,epr|trace_length|spectral_entropy|hl_ratio|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
lapeigvals_gsm8k_mistral24b,math,0.844408218970354,0.808749715672151,0.03565850329820297,WIN,21,30,5,spectral_entropy,16,10,0,10,0.542395238095238,0.4866111111111111,0.055784126984126936,0.1408231368186874,epr|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|min_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
