cell,group,C,lambda1,tau,readout,n_selected,auroc,good6,seconds
ars_gsm8k_r1distill8b,math,3,1.0,flat_1.0,group_median,7,0.6996808338720104,0.7623222365869424,1.57
ars_gsm8k_r1distill8b,math,3,1.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,1.57
ars_gsm8k_r1distill8b,math,3,10.0,anneal_10_1e-2,group_median,7,0.6996808338720104,0.7623222365869424,0.85
ars_gsm8k_r1distill8b,math,3,10.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.85
ars_gsm8k_r1distill8b,math,3,10.0,flat_1.0,group_median,7,0.6996808338720104,0.7623222365869424,0.88
ars_gsm8k_r1distill8b,math,3,10.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.88
ars_gsm8k_r1distill8b,math,3,100.0,anneal_10_1e-2,group_median,7,0.6996808338720104,0.7623222365869424,0.82
ars_gsm8k_r1distill8b,math,3,100.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.82
ars_gsm8k_r1distill8b,math,3,100.0,flat_1.0,group_median,7,0.6996808338720104,0.7623222365869424,0.92
ars_gsm8k_r1distill8b,math,3,100.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.92
ars_gsm8k_r1distill8b,math,4,0.1,anneal_10_1e-2,group_median,13,0.7297188106011636,0.7623222365869424,0.83
ars_gsm8k_r1distill8b,math,4,0.1,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.83
ars_gsm8k_r1distill8b,math,4,0.1,flat_1.0,group_median,13,0.7297188106011636,0.7623222365869424,0.86
ars_gsm8k_r1distill8b,math,4,0.1,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.86
ars_gsm8k_r1distill8b,math,4,1.0,anneal_10_1e-2,group_median,13,0.7297188106011636,0.7623222365869424,0.85
ars_gsm8k_r1distill8b,math,4,1.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.85
ars_gsm8k_r1distill8b,math,4,1.0,flat_1.0,group_median,13,0.7297188106011636,0.7623222365869424,0.96
ars_gsm8k_r1distill8b,math,4,1.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.96
ars_gsm8k_r1distill8b,math,4,10.0,anneal_10_1e-2,group_median,13,0.7297188106011636,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,4,10.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,4,10.0,flat_1.0,group_median,13,0.7297188106011636,0.7623222365869424,0.83
ars_gsm8k_r1distill8b,math,4,10.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.83
ars_gsm8k_r1distill8b,math,4,100.0,anneal_10_1e-2,group_median,13,0.7297188106011636,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,4,100.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,4,100.0,flat_1.0,group_median,13,0.7297188106011636,0.7623222365869424,0.93
ars_gsm8k_r1distill8b,math,4,100.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.93
ars_gsm8k_r1distill8b,math,5,0.1,anneal_10_1e-2,group_median,11,0.7137605042016807,0.7623222365869424,0.86
ars_gsm8k_r1distill8b,math,5,0.1,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.86
ars_gsm8k_r1distill8b,math,5,0.1,flat_1.0,group_median,11,0.7137605042016807,0.7623222365869424,0.88
ars_gsm8k_r1distill8b,math,5,0.1,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.88
ars_gsm8k_r1distill8b,math,5,1.0,anneal_10_1e-2,group_median,11,0.7137605042016807,0.7623222365869424,0.86
ars_gsm8k_r1distill8b,math,5,1.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.86
ars_gsm8k_r1distill8b,math,5,1.0,flat_1.0,group_median,11,0.7137605042016807,0.7623222365869424,0.94
ars_gsm8k_r1distill8b,math,5,1.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.94
ars_gsm8k_r1distill8b,math,5,10.0,anneal_10_1e-2,group_median,11,0.7137605042016807,0.7623222365869424,0.84
ars_gsm8k_r1distill8b,math,5,10.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.84
ars_gsm8k_r1distill8b,math,5,10.0,flat_1.0,group_median,11,0.7137605042016807,0.7623222365869424,0.86
ars_gsm8k_r1distill8b,math,5,10.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.86
ars_gsm8k_r1distill8b,math,5,100.0,anneal_10_1e-2,group_median,11,0.7137605042016807,0.7623222365869424,0.84
ars_gsm8k_r1distill8b,math,5,100.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.84
ars_gsm8k_r1distill8b,math,5,100.0,flat_1.0,group_median,11,0.7137605042016807,0.7623222365869424,0.85
ars_gsm8k_r1distill8b,math,5,100.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.85
ars_gsm8k_r1distill8b,math,6,0.1,anneal_10_1e-2,group_median,14,0.725577731092437,0.7623222365869424,0.97
ars_gsm8k_r1distill8b,math,6,0.1,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.97
ars_gsm8k_r1distill8b,math,6,0.1,flat_1.0,group_median,14,0.725577731092437,0.7623222365869424,0.9
ars_gsm8k_r1distill8b,math,6,0.1,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.9
ars_gsm8k_r1distill8b,math,6,1.0,anneal_10_1e-2,group_median,16,0.7345669036845508,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,6,1.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,6,1.0,flat_1.0,group_median,16,0.7345669036845508,0.7623222365869424,0.91
ars_gsm8k_r1distill8b,math,6,1.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.91
ars_gsm8k_r1distill8b,math,6,10.0,anneal_10_1e-2,group_median,14,0.725577731092437,0.7623222365869424,1.02
ars_gsm8k_r1distill8b,math,6,10.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,1.02
ars_gsm8k_r1distill8b,math,6,10.0,flat_1.0,group_median,13,0.7178207821590176,0.7623222365869424,0.94
ars_gsm8k_r1distill8b,math,6,10.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.94
ars_gsm8k_r1distill8b,math,6,100.0,anneal_10_1e-2,group_median,13,0.7178207821590176,0.7623222365869424,0.93
ars_gsm8k_r1distill8b,math,6,100.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.93
ars_gsm8k_r1distill8b,math,6,100.0,flat_1.0,group_median,16,0.7345669036845508,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,6,100.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,7,0.1,anneal_10_1e-2,group_median,17,0.7194570135746606,0.7623222365869424,0.92
ars_gsm8k_r1distill8b,math,7,0.1,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.92
ars_gsm8k_r1distill8b,math,7,0.1,flat_1.0,group_median,15,0.7197600193923724,0.7623222365869424,0.91
ars_gsm8k_r1distill8b,math,7,0.1,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.91
ars_gsm8k_r1distill8b,math,7,1.0,anneal_10_1e-2,group_median,16,0.7218204589528119,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,7,1.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,7,1.0,flat_1.0,group_median,17,0.7278805753070461,0.7623222365869424,0.88
ars_gsm8k_r1distill8b,math,7,1.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.88
ars_gsm8k_r1distill8b,math,7,10.0,anneal_10_1e-2,group_median,16,0.7218204589528119,0.7623222365869424,0.93
ars_gsm8k_r1distill8b,math,7,10.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.93
ars_gsm8k_r1distill8b,math,7,10.0,flat_1.0,group_median,17,0.7194570135746606,0.7623222365869424,0.92
ars_gsm8k_r1distill8b,math,7,10.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.92
ars_gsm8k_r1distill8b,math,7,100.0,anneal_10_1e-2,group_median,16,0.7161037491919845,0.7623222365869424,0.85
ars_gsm8k_r1distill8b,math,7,100.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.85
ars_gsm8k_r1distill8b,math,7,100.0,flat_1.0,group_median,16,0.7218204589528119,0.7623222365869424,0.89
ars_gsm8k_r1distill8b,math,7,100.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.89
ars_gsm8k_r1distill8b,math,8,0.1,anneal_10_1e-2,group_median,21,0.7191742081447964,0.7623222365869424,0.97
ars_gsm8k_r1distill8b,math,8,0.1,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.97
ars_gsm8k_r1distill8b,math,8,0.1,flat_1.0,group_median,21,0.7191742081447964,0.7623222365869424,0.88
ars_gsm8k_r1distill8b,math,8,0.1,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.88
ars_gsm8k_r1distill8b,math,8,1.0,anneal_10_1e-2,group_median,19,0.7240223012281836,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,8,1.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,8,1.0,flat_1.0,group_median,21,0.7191742081447964,0.7623222365869424,0.86
ars_gsm8k_r1distill8b,math,8,1.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.86
ars_gsm8k_r1distill8b,math,8,10.0,anneal_10_1e-2,group_median,21,0.7191742081447964,0.7623222365869424,0.99
ars_gsm8k_r1distill8b,math,8,10.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,0.99
ars_gsm8k_r1distill8b,math,8,10.0,flat_1.0,group_median,21,0.7191742081447964,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,8,10.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.87
ars_gsm8k_r1distill8b,math,8,100.0,anneal_10_1e-2,group_median,21,0.7191742081447964,0.7623222365869424,1.0
ars_gsm8k_r1distill8b,math,8,100.0,anneal_10_1e-2,per_feature,16,0.7030542986425339,0.7623222365869424,1.0
ars_gsm8k_r1distill8b,math,8,100.0,flat_1.0,group_median,21,0.7191742081447964,0.7623222365869424,0.92
ars_gsm8k_r1distill8b,math,8,100.0,flat_1.0,per_feature,16,0.7030542986425339,0.7623222365869424,0.92
epr_triviaqa_mistral24b,QA,2,0.1,anneal_10_1e-2,group_median,12,0.7431264728986646,0.7331949276175513,0.96
epr_triviaqa_mistral24b,QA,2,0.1,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.96
epr_triviaqa_mistral24b,QA,2,0.1,flat_1.0,group_median,12,0.7431264728986646,0.7331949276175513,0.92
epr_triviaqa_mistral24b,QA,2,0.1,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.92
epr_triviaqa_mistral24b,QA,2,1.0,anneal_10_1e-2,group_median,12,0.7431264728986646,0.7331949276175513,0.88
epr_triviaqa_mistral24b,QA,2,1.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.88
epr_triviaqa_mistral24b,QA,2,1.0,flat_1.0,group_median,12,0.7431264728986646,0.7331949276175513,0.88
epr_triviaqa_mistral24b,QA,2,1.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.88
epr_triviaqa_mistral24b,QA,2,10.0,anneal_10_1e-2,group_median,12,0.7431264728986646,0.7331949276175513,0.85
epr_triviaqa_mistral24b,QA,2,10.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.85
epr_triviaqa_mistral24b,QA,2,10.0,flat_1.0,group_median,12,0.7431264728986646,0.7331949276175513,0.9
epr_triviaqa_mistral24b,QA,2,10.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.9
epr_triviaqa_mistral24b,QA,2,100.0,anneal_10_1e-2,group_median,12,0.7431264728986646,0.7331949276175513,0.91
epr_triviaqa_mistral24b,QA,2,100.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.91
epr_triviaqa_mistral24b,QA,2,100.0,flat_1.0,group_median,12,0.7431264728986646,0.7331949276175513,0.84
epr_triviaqa_mistral24b,QA,2,100.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.84
epr_triviaqa_mistral24b,QA,3,0.1,anneal_10_1e-2,group_median,28,0.7404472000897766,0.7331949276175513,0.88
epr_triviaqa_mistral24b,QA,3,0.1,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.88
epr_triviaqa_mistral24b,QA,3,0.1,flat_1.0,group_median,28,0.7404472000897766,0.7331949276175513,0.87
epr_triviaqa_mistral24b,QA,3,0.1,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.87
epr_triviaqa_mistral24b,QA,3,1.0,anneal_10_1e-2,group_median,28,0.7404472000897766,0.7331949276175513,0.91
epr_triviaqa_mistral24b,QA,3,1.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.91
epr_triviaqa_mistral24b,QA,3,1.0,flat_1.0,group_median,28,0.7404472000897766,0.7331949276175513,0.89
epr_triviaqa_mistral24b,QA,3,1.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.89
epr_triviaqa_mistral24b,QA,3,10.0,anneal_10_1e-2,group_median,28,0.7404472000897766,0.7331949276175513,0.97
epr_triviaqa_mistral24b,QA,3,10.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.97
epr_triviaqa_mistral24b,QA,3,10.0,flat_1.0,group_median,28,0.7404472000897766,0.7331949276175513,0.92
epr_triviaqa_mistral24b,QA,3,10.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.92
epr_triviaqa_mistral24b,QA,3,100.0,anneal_10_1e-2,group_median,28,0.7404472000897766,0.7331949276175513,0.87
epr_triviaqa_mistral24b,QA,3,100.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.87
epr_triviaqa_mistral24b,QA,3,100.0,flat_1.0,group_median,28,0.7404472000897766,0.7331949276175513,0.95
epr_triviaqa_mistral24b,QA,3,100.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.95
epr_triviaqa_mistral24b,QA,4,0.1,anneal_10_1e-2,group_median,21,0.7439681292784199,0.7331949276175513,0.91
epr_triviaqa_mistral24b,QA,4,0.1,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.91
epr_triviaqa_mistral24b,QA,4,0.1,flat_1.0,group_median,21,0.7439681292784199,0.7331949276175513,1.08
epr_triviaqa_mistral24b,QA,4,0.1,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,1.08
epr_triviaqa_mistral24b,QA,4,1.0,anneal_10_1e-2,group_median,21,0.7439681292784199,0.7331949276175513,0.87
epr_triviaqa_mistral24b,QA,4,1.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.87
epr_triviaqa_mistral24b,QA,4,1.0,flat_1.0,group_median,21,0.7439681292784199,0.7331949276175513,0.86
epr_triviaqa_mistral24b,QA,4,1.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.86
epr_triviaqa_mistral24b,QA,4,10.0,anneal_10_1e-2,group_median,21,0.7439681292784199,0.7331949276175513,0.87
epr_triviaqa_mistral24b,QA,4,10.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.87
epr_triviaqa_mistral24b,QA,4,10.0,flat_1.0,group_median,21,0.7439681292784199,0.7331949276175513,0.85
epr_triviaqa_mistral24b,QA,4,10.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.85
epr_triviaqa_mistral24b,QA,4,100.0,anneal_10_1e-2,group_median,21,0.7439681292784199,0.7331949276175513,0.86
epr_triviaqa_mistral24b,QA,4,100.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.86
epr_triviaqa_mistral24b,QA,4,100.0,flat_1.0,group_median,21,0.7439681292784199,0.7331949276175513,0.88
epr_triviaqa_mistral24b,QA,4,100.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.88
epr_triviaqa_mistral24b,QA,5,0.1,anneal_10_1e-2,group_median,18,0.7449220065088094,0.7331949276175513,0.88
epr_triviaqa_mistral24b,QA,5,0.1,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.88
epr_triviaqa_mistral24b,QA,5,0.1,flat_1.0,group_median,18,0.7449220065088094,0.7331949276175513,0.95
epr_triviaqa_mistral24b,QA,5,0.1,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.95
epr_triviaqa_mistral24b,QA,5,1.0,anneal_10_1e-2,group_median,18,0.7449220065088094,0.7331949276175513,0.88
epr_triviaqa_mistral24b,QA,5,1.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.88
epr_triviaqa_mistral24b,QA,5,1.0,flat_1.0,group_median,18,0.7449220065088094,0.7331949276175513,0.86
epr_triviaqa_mistral24b,QA,5,1.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.86
epr_triviaqa_mistral24b,QA,5,10.0,anneal_10_1e-2,group_median,18,0.7449220065088094,0.7331949276175513,0.89
epr_triviaqa_mistral24b,QA,5,10.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.89
epr_triviaqa_mistral24b,QA,5,10.0,flat_1.0,group_median,18,0.7449220065088094,0.7331949276175513,0.92
epr_triviaqa_mistral24b,QA,5,10.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.92
epr_triviaqa_mistral24b,QA,5,100.0,anneal_10_1e-2,group_median,18,0.7449220065088094,0.7331949276175513,0.87
epr_triviaqa_mistral24b,QA,5,100.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.87
epr_triviaqa_mistral24b,QA,5,100.0,flat_1.0,group_median,18,0.7449220065088094,0.7331949276175513,1.09
epr_triviaqa_mistral24b,QA,5,100.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,1.09
epr_triviaqa_mistral24b,QA,6,0.1,anneal_10_1e-2,group_median,19,0.745777690494894,0.7331949276175513,1.94
epr_triviaqa_mistral24b,QA,6,0.1,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,1.94
epr_triviaqa_mistral24b,QA,6,0.1,flat_1.0,group_median,19,0.745777690494894,0.7331949276175513,1.16
epr_triviaqa_mistral24b,QA,6,0.1,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,1.16
epr_triviaqa_mistral24b,QA,6,1.0,anneal_10_1e-2,group_median,19,0.745777690494894,0.7331949276175513,1.0
epr_triviaqa_mistral24b,QA,6,1.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,1.0
epr_triviaqa_mistral24b,QA,6,1.0,flat_1.0,group_median,19,0.745777690494894,0.7331949276175513,1.03
epr_triviaqa_mistral24b,QA,6,1.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,1.03
epr_triviaqa_mistral24b,QA,6,10.0,anneal_10_1e-2,group_median,19,0.745777690494894,0.7331949276175513,0.9
epr_triviaqa_mistral24b,QA,6,10.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.9
epr_triviaqa_mistral24b,QA,6,10.0,flat_1.0,group_median,20,0.7441224329480417,0.7331949276175513,1.51
epr_triviaqa_mistral24b,QA,6,10.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,1.51
epr_triviaqa_mistral24b,QA,6,100.0,anneal_10_1e-2,group_median,19,0.745777690494894,0.7331949276175513,1.25
epr_triviaqa_mistral24b,QA,6,100.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,1.25
epr_triviaqa_mistral24b,QA,6,100.0,flat_1.0,group_median,19,0.745777690494894,0.7331949276175513,1.03
epr_triviaqa_mistral24b,QA,6,100.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,1.03
epr_triviaqa_mistral24b,QA,7,0.1,anneal_10_1e-2,group_median,18,0.7449220065088094,0.7331949276175513,0.99
epr_triviaqa_mistral24b,QA,7,0.1,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.99
epr_triviaqa_mistral24b,QA,7,0.1,flat_1.0,group_median,18,0.7449220065088094,0.7331949276175513,1.11
epr_triviaqa_mistral24b,QA,7,0.1,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,1.11
epr_triviaqa_mistral24b,QA,7,1.0,anneal_10_1e-2,group_median,18,0.7449220065088094,0.7331949276175513,1.07
epr_triviaqa_mistral24b,QA,7,1.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,1.07
epr_triviaqa_mistral24b,QA,7,1.0,flat_1.0,group_median,20,0.7454690831556504,0.7331949276175513,0.9
epr_triviaqa_mistral24b,QA,7,1.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.9
epr_triviaqa_mistral24b,QA,7,10.0,anneal_10_1e-2,group_median,18,0.7449220065088094,0.7331949276175513,1.09
epr_triviaqa_mistral24b,QA,7,10.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,1.09
epr_triviaqa_mistral24b,QA,7,10.0,flat_1.0,group_median,18,0.7449220065088094,0.7331949276175513,0.88
epr_triviaqa_mistral24b,QA,7,10.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.88
epr_triviaqa_mistral24b,QA,7,100.0,anneal_10_1e-2,group_median,18,0.7449220065088094,0.7331949276175513,0.87
epr_triviaqa_mistral24b,QA,7,100.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.87
epr_triviaqa_mistral24b,QA,7,100.0,flat_1.0,group_median,18,0.7449220065088094,0.7331949276175513,0.87
epr_triviaqa_mistral24b,QA,7,100.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.87
epr_triviaqa_mistral24b,QA,8,0.1,anneal_10_1e-2,group_median,22,0.7460301874088207,0.7331949276175513,0.92
epr_triviaqa_mistral24b,QA,8,0.1,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.92
epr_triviaqa_mistral24b,QA,8,0.1,flat_1.0,group_median,22,0.7460301874088207,0.7331949276175513,0.93
epr_triviaqa_mistral24b,QA,8,0.1,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.93
epr_triviaqa_mistral24b,QA,8,1.0,anneal_10_1e-2,group_median,23,0.7436314667265177,0.7331949276175513,0.85
epr_triviaqa_mistral24b,QA,8,1.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.85
epr_triviaqa_mistral24b,QA,8,1.0,flat_1.0,group_median,23,0.7436314667265177,0.7331949276175513,0.87
epr_triviaqa_mistral24b,QA,8,1.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.87
epr_triviaqa_mistral24b,QA,8,10.0,anneal_10_1e-2,group_median,21,0.7459179665581865,0.7331949276175513,0.96
epr_triviaqa_mistral24b,QA,8,10.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.96
epr_triviaqa_mistral24b,QA,8,10.0,flat_1.0,group_median,23,0.7436314667265177,0.7331949276175513,1.01
epr_triviaqa_mistral24b,QA,8,10.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,1.01
epr_triviaqa_mistral24b,QA,8,100.0,anneal_10_1e-2,group_median,23,0.7436314667265177,0.7331949276175513,0.98
epr_triviaqa_mistral24b,QA,8,100.0,anneal_10_1e-2,per_feature,19,0.7451885310290653,0.7331949276175513,0.98
epr_triviaqa_mistral24b,QA,8,100.0,flat_1.0,group_median,23,0.7436314667265177,0.7331949276175513,0.88
epr_triviaqa_mistral24b,QA,8,100.0,flat_1.0,per_feature,19,0.7451885310290653,0.7331949276175513,0.88
inside_coqa_llama7b,QA,2,0.1,anneal_10_1e-2,group_median,27,0.5038652923405011,0.6673670403915383,0.89
inside_coqa_llama7b,QA,2,0.1,anneal_10_1e-2,per_feature,20,0.5216509056366978,0.6673670403915383,0.89
