model_id,cell_id,slice_id,row_id,group_id,fold,true_first_error,prediction_step,threshold,true_error_step_length,true_error_length_stratum,selected_step_length
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_03ed042b7ed58e513984bfa72b222aaa9547a397966840407ba1833c84de42c8,xgidv2_eec02b67660c97bbc9310505871e493c0218b3d8651c22a6c8a1303f59b6734c,3,-1,0,0.4825789433732481,,CLEAN,70
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0404fc80a2fd475910f63a22e52d0d0b54cac2be05b590b19708e97baa2e9700,xgidv2_7277ef3384b5e66af71e5862574bd1936895bd3341987ff716842c7b9634f053,1,1,-1,0.4315373528482523,57,short,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0428cf43af09f4c9b15f64ea5699dfcfa2a169538bc0bc6414afdbae069a14ef,xgidv2_9e6d589a379ca2099112fe1622d5640ae170c0c19c5bccb15e90cc2cd1bb3f65,1,-1,0,0.4315373528482523,,CLEAN,45
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_04b91a8b6df497d3e7af8d9c5cf0ee7639847155d71fb8a5c8bac4742614a4d1,xgidv2_85de7ec2f6b18c3ddafdf2657e0219d635ba90f33c17e2430f371d7e3a8378df,4,4,-1,0.4159526783705232,50,short,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_05cddd89895ee0769fdba62815d34401aa315cfff0d5e51c32f930e3bfa8b280,xgidv2_582aa1d1bbccae566f03a1a61db3813c5f9e99aac4981b7a84a25ce64abb333d,1,5,6,0.4315373528482523,48,short,43
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_067b2079c35d65552d669313db01295c4494c744d4ea10b786081445e9131bc6,xgidv2_41fe210e44a2912d819e9e8e1910487208ef0e0db332f2e906975bd3f83f3edf,0,1,1,0.4159526783705232,52,short,52
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0681014fed7e48a57974ddf470e7ffabd3ccfb2cc16765407dbfa7ccfc30d1d3,xgidv2_a8f7bff2f9c4a6947cf5543104baf7006cdb1ca4a8b242bceafb15682b90b862,1,-1,-1,0.4315373528482523,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_06c04db1642cb96b52fa4ccef61d2808cc0296a7e5fa9d8910d92379daa4ec4a,xgidv2_3944820415ab70405b3087850f69f093f32ee7b156737af2cc8334b3316974bf,0,-1,-1,0.4159526783705232,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_06d24e8da1bf7b0216700d224a6c129558e1748414c95c4016048cd8ca456748,xgidv2_9c3faeb8706d99dad788612e90c18d1a65ab87ef17a6ede89be89fe04b89d377,4,-1,4,0.4159526783705232,,CLEAN,13
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_070fd03310c4dd2c38a189a4ec06156f013e7714bcdfd492a405381d4ad5600b,xgidv2_ca85cabb9b839d7d23d44c1b627a431feac53c78d861dfc8ec49691467129583,1,0,1,0.4315373528482523,26,short,27
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_071613553b182192093540da33712df2b1760165f3cc1d16e199ce6fa7636c9c,xgidv2_3877fd1c6ffb154cf7f911c1b88166298b39087d2b7f080abe17492fa44300b3,0,-1,3,0.4159526783705232,,CLEAN,38
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_072a34942429104e71dc5061868028bc7d92a616cb5a5fb18f069407244055d2,xgidv2_480d0aad4877b7fdc5b06c9e79712734d0277eb439d6bc49551abd13058527b5,3,1,-1,0.4825789433732481,75,short,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0786f7e1bc3e2f0ccf18deadbd4a4adf76fca2d65599604d7e3dadd43d7abf48,xgidv2_ce46e6086b01a2d60e4da31ad812038b060803e1766e2c211cc10b0624f1759d,1,5,-1,0.4315373528482523,82,short,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_07c8f17432a068ef0930abd3d46612f643a460c7f4bd291006d11f19f72d893f,xgidv2_3355262e0ed692ecb59e3d7db31818972b13ea619ac6b858869854982efff93a,0,1,4,0.4159526783705232,64,short,20
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_083ee8dab04b64a362fe43f50b5758bbf866591dd38e52026f4e53eba151d061,xgidv2_0e65c8d9c631d780cf7cfac7ff6869a75a5d992e39d94df7b58d26987fd2bf37,1,0,-1,0.4315373528482523,94,medium,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_086977125c3849e93ebfd5bf1416b7778efe8b821bbfb01b75573e72512d198e,xgidv2_e26a923ed5642bb0736292db8c98699157eed934006bcd2b48c92d246d1f3192,4,-1,0,0.4159526783705232,,CLEAN,86
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_09cca6f8748337a2cc32701852e16b3edbadf4756d4edd63ad4d669331a1e71e,xgidv2_51842f828394836fcdd61e7d3c084252713123dc076b393c0f25054a6bd155d7,2,1,-1,0.4309764488483708,98,medium,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0a9b470da330004e348e2873f14ffa18707544380388c14d0d15878d6ccb3475,xgidv2_b907ddbf6812ac985f4f571a56a1225be41a7bc6ca7fa8e91f6085862de03e86,4,1,1,0.4159526783705232,66,short,66
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0ab908a0732cfb42601c0c0152d1a213edf7884916809b8ec2d696ed1712ac2a,xgidv2_373a5639e15bed82e6264e39142b41da2b336a6fb1bbf7ea8ba3e242e4cfdfa9,2,-1,1,0.4309764488483708,,CLEAN,19
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0b10bb2cdf1e99c1f4251fd34dd5491b7b31d018bbab55ee1d1ff3c1d5d7577d,xgidv2_dd0ff7031d674792134242d22afd4f7cce39e391445cf5ca1c933a782516cb9a,0,-1,1,0.4159526783705232,,CLEAN,30
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0b2ce457e0efff0382ecc676419c10fba2dfe49e8aa641888682c46aaa55e168,xgidv2_a21d393e9e22164393d17162077f40a1b0e7380d5b364bf7e3a396ae890ab64c,2,1,1,0.4309764488483708,64,short,64
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0b63822a64e8b31d8ca76577e5f5074055b73c8f8b4279a0fee4ad04ea8626fc,xgidv2_35f7959e0109b76c9a58028f5bacb102a5dd13035daefee73f417b5709f54d3f,0,-1,1,0.4159526783705232,,CLEAN,67
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0c2d250f201a32a2f601c909df39f2066705dea1881070aacd7eda301dcc7b6f,xgidv2_04e09f50572fd40528268e6c64d97ea554176c4dce726566a2cb031b408878eb,3,0,0,0.4825789433732481,79,short,79
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0cbc4ed96d759a8930a63a3c002b7a4754ac6fb72a9eddfe457e7be9c4ce06c3,xgidv2_79774f2c278b3a5df40114d7e053be493d9c5d01a3ce34f689950507609e69dc,2,-1,2,0.4309764488483708,,CLEAN,40
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0ce45f3cec54b1f3992f5ecd97c4437f6eee47f8dc0466209abf56350e43c72f,xgidv2_5f35352ba2fdfc7d062be446877768237c12c22bc5514311238da712dda4b5b7,3,2,5,0.4825789433732481,59,short,50
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0d13eb5f4e34e6e8e4baa5accfba6431b4539d9707b57fda310e4c7df988e213,xgidv2_d51fdad174a354ab4f1bf69130c704498125b76ace629ebb044b733eec942d42,3,-1,-1,0.4825789433732481,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0d2c021de045f0b61fa8bb4202737c9aac9a0a45e024382026cdd929f7862f0e,xgidv2_f4ea3a8b46d8a7aa27ed8d630a59b0220028389b1a74856532e52175dc63c0c2,1,1,2,0.4315373528482523,53,short,29
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0d6c1819bcf1b4310a9c448bb12218b28dec9ef159d25e524b537da388774705,xgidv2_82414635eb0a7968057e2cbb9569a8deaa4722240e48bc31952004d15c142349,2,-1,-1,0.4309764488483708,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_0ff5cb278d06d2eef5ef0df387c0290fe5ebd3bd4ead2a4cfa28194c80e1f0ce,xgidv2_daeb9bd84bb5824eb02a3c99d1e4f0f11fed435a53a9dbceebd718a2e5bc5320,1,1,1,0.4315373528482523,48,short,48
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_11d74b0b5d238eae79ee79feac1bb24e8446feddab0d86418c34384d650300da,xgidv2_461bff0f37173f8c7f8644430a7ec395a77e5ca5933807155bae6d226148d3fa,3,5,-1,0.4825789433732481,44,short,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_11f38b692dfabe5a4db08b6341e1688d8331fc7cf342a83d749e48ccb7ecea9d,xgidv2_de7e329ec32b61734d735501b2aa423559ea5b3312b30c19a7a20e7731bc5133,0,-1,0,0.4159526783705232,,CLEAN,92
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_1274b643050cb6e7b008a6fc849de0dc3adb8d86710200ad6e8f01f241e32d32,xgidv2_7ed691ac3f80a3803ad16d4882331df869dae55db05582011ddfc827db7ef9ea,3,2,2,0.4825789433732481,34,short,34
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_13f4d381234a0949be7218c1bc4095fbe1ff4b47dc498ae93f1aecda9cc0498a,xgidv2_767062d4570927654bc5ba4bab58519a88ff0fa33a0ae5b639680b694f23d5ff,0,-1,-1,0.4159526783705232,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_143d6dc28ce2c6a438e1c787a90e032c5a0e364ef0bc5c1835e75156ccacc821,xgidv2_36d73656392c85f96ce71a9933e2aaed8d54b306d4a14055781ec06ff6d4bc6e,2,-1,-1,0.4309764488483708,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_14c3e248b823a9e6790b849782731d91860f07cc1a974be5b425ba4e9babb568,xgidv2_1139f716c3d4d714c956a7bcf6552640ebedd2ef57c09acf02094b444bcdbdf9,3,-1,-1,0.4825789433732481,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_15e08b940e4b18a4bbe2194ac44f2abbfc5bc6b0281daee98cbb5f204ffff664,xgidv2_b1a063010d0647977fcb2ac3a3265d6b21ae8125dd724dbdb0240231ce6322a6,2,2,2,0.4309764488483708,167,long,167
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_15e8062f5239c426953070dbb69c63233a6a8db4435dd0eee85a80a70ce525e3,xgidv2_bc4b49beac9b04753ae9dbd84882c4d3335c83030bbafebb265ea9663049ff86,4,-1,-1,0.4159526783705232,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_16c2d5463c91d033fc5843a5dee66ae8f7c5e330514229d6a45bb4eb31c46dd8,xgidv2_fc2ba96935103f651bffed6cf5e2657834f8d43e699999fb1cda38f3c41e35a2,2,3,3,0.4309764488483708,59,short,59
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_179cb313735a1caee221edf4ae5757701f86c00603dc887f659f1e5915fec4f6,xgidv2_e6f9dba26c28a89c4d020b24650f3aab842a3cda1a2f97f29e34c9d362e6e203,0,3,0,0.4159526783705232,113,medium,62
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_17c29b3b0d160f028b7728c2aa763418878379d1000dd97bd2063cc28790d8ab,xgidv2_f97fa4b080104370f9c7f7df0bd21651c0d6a5c66a3c299cb802416bfaa98bcb,4,1,2,0.4159526783705232,42,short,98
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_187534cb2df2944b5749051f272b7315bb4661097d46f2e702b87317f292494a,xgidv2_55fd6c2286b0da5d21413bd5901c00291418a3d0632fd42154a959ad6fa10182,3,-1,-1,0.4825789433732481,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_18ace3a44ab85624cf27e95672cf1501a1e0e74b3effc85ac48b0f83baa9ac7c,xgidv2_a6ea3ffda89ebd907361151d0420d54d87f06648a8f791fbaa6a92fd71b4f05a,2,-1,1,0.4309764488483708,,CLEAN,14
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_192f556acf8d5a536939c0aa051599e90834050a76554c7900ba62c12ebe4d4d,xgidv2_ef9f33d083eac899ff7f8845c00701028c4c447974600d9587872748e4ed1619,3,-1,-1,0.4825789433732481,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_193778fe2928f16cd0d36ac7043de40eb2c3b207df5373e0ce467a1217a5c245,xgidv2_d03f5a396cc29c67bfdc40886ae3a03f2b4a8785070be60eb8d35f33796edbc1,1,-1,0,0.4315373528482523,,CLEAN,42
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_193bedec86e3b2bc47ba9927e7ec32fb4d17134c0f4a2bfdc0a5654a114d597c,xgidv2_1ecd4d021f35a0e1f693d1978ad24c341eeee150e783cbbd5666988b22f998f6,4,2,2,0.4159526783705232,60,short,60
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_19b3128b74b4c472fcda9b3495d03454fdcb67b675197855f3b34a448a7570c5,xgidv2_a01b535e071df674ef5d0373dc63cb0cf6c19a9162b46c14a31ffe5bb6bc0ed2,4,-1,1,0.4159526783705232,,CLEAN,53
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_1b54a60a1701ebd4ac36bf9364e107e526d8fb3987cf8218b8cf9c1a8a499dcf,xgidv2_5d0b97527384ea6f4b542bd0adbb4d8ca1ac84d32b9a8dfb1321d6cd2fa53572,4,1,3,0.4159526783705232,85,medium,159
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_1b59efde3febe6034803a2ed3683bbb51fc95e70274d8566f08a897ea8a305a0,xgidv2_7c0faead20aa4c6f43764c743987f68feaf5ca19c79f47abd7bd9e15ca3926b4,3,1,-1,0.4825789433732481,71,short,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_1b6bd6a6190d177fe1e99dc770feb3d7d29385171d07c72513c77fe6e0d0dc09,xgidv2_18caa695849b66b90561eb787b4a3df83a4c618464cf4a7c6723cbabc14fc4c6,1,2,4,0.4315373528482523,68,short,40
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_1b907a94448a5edd21a919a365e7c833191363079cf5f27f83f7fbe337eda9fa,xgidv2_7236ea013fd24b58ac935fe2740d76f7f7001d32d0e8e4c534a8a1a3fca1ae0f,3,-1,-1,0.4825789433732481,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_1c53840dc881529ec3e39fa08eb46905485ad48c650afa50374fd27bcae818cd,xgidv2_798af8f91ab60fd6aaa24e36c42f267cf09affcf9227583f7fd19e284ea0a0f5,3,-1,0,0.4825789433732481,,CLEAN,112
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_1c5930f93412b87bf7cbd71fd13dba9f8c3805f0a986a04244eefcb5b8a7d44d,xgidv2_44e0a096383507c1141e3d8ff30779cfc585af99000188b2a8e7977027c74545,0,-1,0,0.4159526783705232,,CLEAN,100
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_1df1b8946736dfdf8871a8e96fec80aedf79610fb29008ef2d2207cc72c67104,xgidv2_31778db7c05e02eed65c80f0252b12ebf3b16da652073419583b38623b4fb185,2,-1,0,0.4309764488483708,,CLEAN,102
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_1e7586b18b1eec2335bf0c45127b888249886239bbee533aa905635a1cf3e777,xgidv2_64ac14d871eacc07cdf90c0b6416e1350305c96be673cf833771ba4eb0c36a20,4,2,2,0.4159526783705232,141,long,141
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_1e94d25a2076a2ffa465c49f03823c49b06e0690bc01c8c9a45faaae7ef9fd8c,xgidv2_d028f162bf08af6a0e0f97503ff069d17da5918c2d171ed3f5adbcbcbfa21ea3,0,2,0,0.4159526783705232,64,short,42
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_1fd6741c8f0ad6ba76fa94e1969817a5a2afb8cdd4d10d0dee31984efd8607d2,xgidv2_89617fed2e54c575cd0bf9f87a76198d4de008fe5ae9692a30fde529d173a066,1,-1,-1,0.4315373528482523,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_205c949d514d0c4639e4c10e9873ba1e190292e1b09264dd892cd57a25885d6a,xgidv2_59533c221cb45122eed0b401f7aab3bbf34513eb2460b21a9562822c498f099e,2,-1,-1,0.4309764488483708,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_20b77448c51a78f71b4ff59bac18abb4170d58c8ea22cb9ceb06cfb8a1c21fdb,xgidv2_12c2468ac963550725dee4e1f9a0e85935f5ab766a95c1135e5987b5acbe8bab,3,-1,-1,0.4825789433732481,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_2122b0711d822852676ec0e24c2e25a00cde24c44d1f3dd9a1c7b61dbcd3b2b6,xgidv2_52c730a7cf0da16011e257abd71fb9a13c19da04a69f8fbd88f91cea8ce78cc4,4,2,4,0.4159526783705232,69,short,20
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_227d1d74bd355167da4c0b22e4e5d7c6bead919f7280cea3286920a2287763c4,xgidv2_06fdb2fe0f36877fd25d2ff22cd315370ed711768e2738c86c2a8823a6bcd4f7,0,-1,-1,0.4159526783705232,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_22a2c134d7f9f14a574bf3aa724a19b33d46f1f77b90264903a68651b3bebaae,xgidv2_83e6c6d954922549212a389ed1231fa2e42160e2d5017a31817e5bbd07f2dd0e,1,-1,2,0.4315373528482523,,CLEAN,57
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_22fb5bd5284dda29676e92b85db16088e03a5ae4c30214c4a6f07b884eb0063d,xgidv2_ab2cc51ff0950df0c3092fbf080ff0c009018c57038058ca1057edb6c6d4bac9,1,1,3,0.4315373528482523,109,medium,13
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_23c8222b226c50ef80709e11bd315baff17ae2a60a3aa964374a1ed73a79056a,xgidv2_9254b4d242b72db9799c47a8b0e89760eb5c79cf4d0682b77a6d2ced60afc68d,1,-1,0,0.4315373528482523,,CLEAN,65
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_24a6f1e3602e0a626b6620024652eaf323fb7eda611b51029cafb61e2fc7ddca,xgidv2_ece7a5e9988038583aca60d6fa60b14b55bcaced6935f4820cb086c002863a2e,2,2,0,0.4309764488483708,60,short,35
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_24bd0d2e60c14f0194e6bebd279e64c4f36daac542ba731bc0301134df6795c1,xgidv2_e66847685050e829cc20afff9562c64aad3d32449667d0cfac758a3737b24d49,3,-1,-1,0.4825789433732481,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_24cc1aa876aa54263637e2ea5ec2d506aa4847951b3639a398265ba7f88903cc,xgidv2_4196e779439c415784c43524531c19770f076a1d0c30cd7fc6967c6d3474945e,4,-1,-1,0.4159526783705232,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_27ba84c67bedfc87281821aa9fb43d0dd5c5c0b60b86042bc6dfd3f114d30ad4,xgidv2_72c98bd8cd684670523a5fb156014c9d4aca10cf8c1cebba214cb6c09b7fd660,1,0,0,0.4315373528482523,139,long,139
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_27dfec39ba8a1a82ccde2dbdc58749f2b8d6b2b6236139604f4f93e150a3b2b4,xgidv2_f424b6f1f1e48588f6cdcf71c4dfc6d69244286cbc629e2f3dcf7f3707b532d9,2,3,0,0.4309764488483708,118,medium,80
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_28e7f2d60f771bf83d0696fa49a666783e29a73a67f1e5a1781a1fb6e9194894,xgidv2_925859d6105e69a9ae93c29cd7d8eb4b811da2f5edcdb19bbbf5f9bd13316e9e,3,3,4,0.4825789433732481,76,short,50
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_29acdf9a93895eef6987a7e3ff73a509a53e18a5e8f52abe36e250949f88fb2d,xgidv2_bad020e9f550876b4cafe46dcc7e361d961f091a243f594bc193fb9ad824d60d,1,0,0,0.4315373528482523,79,short,79
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_29eca014c17a84900e96c58efd2a6cf9a0a0b1554b78cd55c6ced439ca9e0be7,xgidv2_0d0e242976fa00b51436378ca4d5c534a6bb4d18c022b5dd17171e27d232ac6c,0,-1,-1,0.4159526783705232,,CLEAN,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_2a7830b4e7db1bcd44a0be20b34c0b0f72cffba12024387193d4d0ca4d16c886,xgidv2_a482458ffb66ae05507253a01ef70ef76750b4df7c50aba2eaa99978c6e4b87e,0,2,-1,0.4159526783705232,52,short,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_2aea11e9b1d84363f8a319f70b41c6aa7b92d28c905bb24aef5c3888cb98b2d5,xgidv2_56dbe7c981d6472f40b10f359b8e8627344c0c9be796e104230afb5c9bae8f4b,1,2,6,0.4315373528482523,63,short,51
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_2af8b99c3e094fc91e83ade8194fea840481b432540980f7d550f8da7a55f692,xgidv2_4378cc95c01d1ec04aa5f17b400c88b68547c0bc45feda988bb94c9db13c38cc,1,3,0,0.4315373528482523,44,short,89
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_2b001948e1114e31e7dde01196e27f820dfbf341e068cf132b182293793c4282,xgidv2_9e22b644c78ec69c8c211b86dcfe29309b07148104c09d25149b669e0f4b8332,0,3,4,0.4159526783705232,103,medium,24
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_2c12b2530f977fa085877f45eaf85d1dfc863ddadd59a8894edb0526121178b6,xgidv2_d9c0eb2ce02bbf64e10c89a739d68f94aea149f32a3abc674e48189d7572a5dd,2,5,6,0.4309764488483708,128,medium,31
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_2c4c3c5c99403c353168c46a49f50e93f95ad437f99edf2531958ca61f0025cc,xgidv2_fe85abd04f8fb2f88129bd9b84b07b58b620246e25ce13da48fbc5875a50dcdd,1,1,1,0.4315373528482523,135,long,135
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_2c7ec5c3b4b5cc1c74406128e10b00311a8b153e69bdbbc9ef487ee6a2f7820e,xgidv2_b5b5101a4f46a2290586952d571638eae4a2cfa7dd99451e9a2e12ebfc4fb6d7,1,2,2,0.4315373528482523,134,medium,134
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_2cd26dca9d4c9e6594059d1c06639a829f3e1d932ed1c1aafaf2f86827a5b7c8,xgidv2_7d96b9a7aa1734bf82da6960804ca9921732daaf1086e5dfdb5d672843b8945d,2,-1,0,0.4309764488483708,,CLEAN,85
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_2d1677c4895582dd9eee5cf3ea472ac746d6b649ba696603fe960373156a7b4b,xgidv2_987b8e5f9db86d5be45a058a5684e527c90f40a4ed965b5ff64660660ae723c9,4,0,-1,0.4159526783705232,117,medium,
qwen3_4b,processbench_gsm8k_qwen3_4b,gsm8k,xridv2_2ebe714ac56cac9830652e16b4d8bf3c6265f2677d3208a4029b704d17cf47d7,xgidv2_cd83a480a646fc26c1fc5ec7b349a2e12407f55ab46b87aeb1151dbb58fdcf9d,2,2,2,0.4309764488483708,57,short,57
