access_tier,answer_process_stratum,candidate,detector,error_position_quartile,family,length_stratum,locator,model,prediction,reducer,score,target,task,trace_length,unit
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q3,gsm8k,long,4,qwen3_8b,4,step_max_token_argmax,0.692218805992419,5,local,503,gsm8k-150
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q4,gsm8k,medium,0,qwen3_8b,0,step_max_token_argmax,-0.07554257314339877,5,local,252,gsm8k-151
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,medium,1,qwen3_8b,1,step_max_token_argmax,0.10033025875651028,0,local,242,gsm8k-159
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,long,5,qwen3_8b,5,step_max_token_argmax,0.4083168421627663,1,local,391,gsm8k-166
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,short,1,qwen3_8b,-1,step_max_token_argmax,-0.31455262698696745,0,local,162,gsm8k-168
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,short,0,qwen3_8b,0,step_max_token_argmax,0.17857564868111642,0,local,210,gsm8k-177
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q3,gsm8k,medium,0,qwen3_8b,-1,step_max_token_argmax,-0.24751698390540017,3,local,308,gsm8k-185
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,medium,4,qwen3_8b,4,step_max_token_argmax,0.45999615589099785,0,local,319,gsm8k-188
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,gsm8k,medium,4,qwen3_8b,4,step_max_token_argmax,0.885836907846625,2,local,243,gsm8k-192
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,gsm8k,short,3,qwen3_8b,-1,step_max_token_argmax,-0.4775887025821912,1,local,210,gsm8k-2
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,1,qwen3_8b,1,step_max_token_argmax,0.22746760187508597,-1,local,223,gsm8k-205
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,medium,2,qwen3_8b,-1,step_max_token_argmax,-0.1972940894336772,-1,local,255,gsm8k-210
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,2,qwen3_8b,-1,step_max_token_argmax,-0.19079735212521604,-1,local,213,gsm8k-219
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q4,gsm8k,long,5,qwen3_8b,5,step_max_token_argmax,1.529545079453471,5,local,403,gsm8k-22
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,0,qwen3_8b,-1,step_max_token_argmax,-0.4590308607948243,-1,local,212,gsm8k-222
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,medium,2,qwen3_8b,2,step_max_token_argmax,0.0753735190677952,-1,local,276,gsm8k-226
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,medium,2,qwen3_8b,-1,step_max_token_argmax,-0.3221780601817241,-1,local,280,gsm8k-228
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,medium,1,qwen3_8b,-1,step_max_token_argmax,-0.2742159821848762,-1,local,297,gsm8k-232
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,gsm8k,short,1,qwen3_8b,1,step_max_token_argmax,-0.0064034326787645295,1,local,158,gsm8k-24
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,long,2,qwen3_8b,-1,step_max_token_argmax,-0.35239061765620494,-1,local,329,gsm8k-241
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,long,1,qwen3_8b,-1,step_max_token_argmax,-0.1990058779561651,-1,local,327,gsm8k-245
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,0,qwen3_8b,-1,step_max_token_argmax,-0.43083824559543643,-1,local,195,gsm8k-250
A,answer_correct_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,gsm8k,short,0,qwen3_8b,0,step_max_token_argmax,-0.08425708570937707,1,local,176,gsm8k-264
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,1,qwen3_8b,-1,step_max_token_argmax,-0.2613378065462473,-1,local,134,gsm8k-275
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,long,1,qwen3_8b,1,step_max_token_argmax,0.09611707072514306,-1,local,390,gsm8k-286
A,answer_correct_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,medium,0,qwen3_8b,0,step_max_token_argmax,0.06809794594445082,0,local,281,gsm8k-293
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,1,qwen3_8b,1,step_max_token_argmax,-0.13147426002301782,-1,local,228,gsm8k-305
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,0,qwen3_8b,0,step_max_token_argmax,-0.11689176376380658,-1,local,234,gsm8k-306
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,long,4,qwen3_8b,4,step_max_token_argmax,0.26997169809780264,-1,local,398,gsm8k-308
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,medium,0,qwen3_8b,0,step_max_token_argmax,-0.04454546871848107,-1,local,285,gsm8k-309
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q4,gsm8k,long,6,qwen3_8b,6,step_max_token_argmax,0.09607198564562527,6,local,353,gsm8k-31
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,3,qwen3_8b,3,step_max_token_argmax,-0.10433981192974526,-1,local,203,gsm8k-310
A,answer_correct_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,short,0,qwen3_8b,0,step_max_token_argmax,0.19427363727733118,0,local,142,gsm8k-312
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,1,qwen3_8b,-1,step_max_token_argmax,-0.31663240488302996,-1,local,190,gsm8k-317
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,0,qwen3_8b,-1,step_max_token_argmax,-0.25380452226798844,-1,local,226,gsm8k-320
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,0,qwen3_8b,-1,step_max_token_argmax,-0.5051678395870702,-1,local,143,gsm8k-325
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,2,qwen3_8b,-1,step_max_token_argmax,-0.21125332285806417,-1,local,211,gsm8k-326
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,0,qwen3_8b,-1,step_max_token_argmax,-0.7929019383026361,-1,local,167,gsm8k-329
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,medium,1,qwen3_8b,-1,step_max_token_argmax,-0.360900208048915,-1,local,287,gsm8k-331
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,long,4,qwen3_8b,4,step_max_token_argmax,-0.1574250185857051,-1,local,336,gsm8k-345
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,2,qwen3_8b,-1,step_max_token_argmax,-0.4207413023067278,-1,local,172,gsm8k-350
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,0,qwen3_8b,0,step_max_token_argmax,-0.048560995931351145,-1,local,221,gsm8k-359
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,0,qwen3_8b,0,step_max_token_argmax,0.09779870597964108,-1,local,159,gsm8k-363
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,gsm8k,short,0,qwen3_8b,-1,step_max_token_argmax,-0.4380028524031976,1,local,201,gsm8k-37
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,medium,1,qwen3_8b,-1,step_max_token_argmax,-0.2793316448182545,-1,local,249,gsm8k-373
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,0,qwen3_8b,-1,step_max_token_argmax,-0.4728406194935395,-1,local,168,gsm8k-381
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,1,qwen3_8b,-1,step_max_token_argmax,-0.3746550259531113,-1,local,184,gsm8k-384
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,1,qwen3_8b,-1,step_max_token_argmax,-0.20769025575628797,-1,local,143,gsm8k-385
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,medium,0,qwen3_8b,0,step_max_token_argmax,0.11055135042216206,-1,local,241,gsm8k-387
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,short,3,qwen3_8b,3,step_max_token_argmax,0.1663637862043482,-1,local,235,gsm8k-391
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,medium,0,qwen3_8b,0,step_max_token_argmax,-0.06886389374604843,-1,local,307,gsm8k-394
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,long,2,qwen3_8b,2,step_max_token_argmax,-0.15248422625504232,-1,local,359,gsm8k-396
A,answer_correct_process_clean,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,clean,gsm8k,long,0,qwen3_8b,0,step_max_token_argmax,0.016292546085889575,-1,local,332,gsm8k-398
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,gsm8k,medium,2,qwen3_8b,2,step_max_token_argmax,0.6238013299574692,2,local,247,gsm8k-4
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,short,2,qwen3_8b,2,step_max_token_argmax,0.5244578449117403,1,local,231,gsm8k-43
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q4,gsm8k,medium,0,qwen3_8b,-1,step_max_token_argmax,-0.20845789431649991,5,local,258,gsm8k-51
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q3,gsm8k,medium,3,qwen3_8b,3,step_max_token_argmax,1.2763156171321532,3,local,293,gsm8k-53
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,long,5,qwen3_8b,5,step_max_token_argmax,2.072535394965462,1,local,513,gsm8k-60
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,gsm8k,medium,1,qwen3_8b,1,step_max_token_argmax,0.38125997170647813,2,local,252,gsm8k-63
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,long,1,qwen3_8b,1,step_max_token_argmax,0.22528596953793198,1,local,382,gsm8k-67
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,short,3,qwen3_8b,3,step_max_token_argmax,-0.03710877652961178,0,local,238,gsm8k-70
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,gsm8k,long,2,qwen3_8b,2,step_max_token_argmax,0.7681493966529374,2,local,425,gsm8k-71
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q3,gsm8k,long,5,qwen3_8b,5,step_max_token_argmax,1.0975012798407708,4,local,531,gsm8k-81
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q3,gsm8k,long,3,qwen3_8b,3,step_max_token_argmax,1.0577189218209595,3,local,716,gsm8k-89
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,gsm8k,medium,2,qwen3_8b,2,step_max_token_argmax,0.3891803993253372,0,local,299,gsm8k-90
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q4,gsm8k,long,4,qwen3_8b,4,step_max_token_argmax,-0.03394303372378077,4,local,328,gsm8k-99
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,math,medium,2,qwen3_8b,2,step_max_token_argmax,0.045318119390706325,2,local,459,math-108
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,math,medium,1,qwen3_8b,1,step_max_token_argmax,0.0036022693294316746,1,local,357,math-117
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q3,math,short,3,qwen3_8b,3,step_max_token_argmax,-0.07725310134654366,2,local,232,math-12
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,math,long,1,qwen3_8b,1,step_max_token_argmax,0.1812772011496271,2,local,853,math-122
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,math,medium,6,qwen3_8b,6,step_max_token_argmax,-0.07982017215312819,1,local,568,math-128
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,math,medium,5,qwen3_8b,-1,step_max_token_argmax,-0.2649381219423995,1,local,484,math-132
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,math,medium,2,qwen3_8b,-1,step_max_token_argmax,-0.2308979223946956,1,local,403,math-134
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,math,medium,1,qwen3_8b,-1,step_max_token_argmax,-0.4998348085176564,2,local,407,math-137
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,math,long,1,qwen3_8b,1,step_max_token_argmax,0.14911279659858445,0,local,813,math-141
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,math,short,2,qwen3_8b,2,step_max_token_argmax,0.10103213647381545,1,local,277,math-143
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,math,short,1,qwen3_8b,1,step_max_token_argmax,-0.1225362318041184,0,local,317,math-147
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q3,math,medium,3,qwen3_8b,3,step_max_token_argmax,0.17982725757569396,3,local,418,math-149
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,math,short,2,qwen3_8b,2,step_max_token_argmax,0.08948396555289174,0,local,187,math-154
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,math,long,9,qwen3_8b,9,step_max_token_argmax,0.028733636159055567,5,local,933,math-155
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q3,math,long,3,qwen3_8b,3,step_max_token_argmax,0.5927939771577014,3,local,835,math-159
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,math,long,4,qwen3_8b,4,step_max_token_argmax,0.08562423821101503,2,local,836,math-16
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q4,math,short,3,qwen3_8b,-1,step_max_token_argmax,-0.507993941821759,3,local,310,math-163
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q4,math,long,6,qwen3_8b,6,step_max_token_argmax,-0.16525297849897197,6,local,1436,math-172
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q3,math,long,3,qwen3_8b,3,step_max_token_argmax,0.280582625639928,3,local,649,math-174
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q3,math,long,3,qwen3_8b,3,step_max_token_argmax,0.0037974959842618852,5,local,656,math-175
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,math,long,2,qwen3_8b,2,step_max_token_argmax,-0.14114275201427856,2,local,714,math-178
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q4,math,long,2,qwen3_8b,2,step_max_token_argmax,-0.06338223475018963,5,local,872,math-179
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,math,long,3,qwen3_8b,3,step_max_token_argmax,0.14987544116694537,1,local,678,math-188
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,math,short,2,qwen3_8b,-1,step_max_token_argmax,-0.24860804598337669,1,local,327,math-192
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,math,short,2,qwen3_8b,2,step_max_token_argmax,0.17657112426343224,1,local,128,math-203
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,math,long,8,qwen3_8b,8,step_max_token_argmax,-0.01648885599491779,1,local,832,math-209
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,math,medium,4,qwen3_8b,4,step_max_token_argmax,0.48285145683561237,1,local,489,math-21
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q3,math,medium,1,qwen3_8b,1,step_max_token_argmax,-0.03223616350462921,3,local,438,math-219
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,math,medium,4,qwen3_8b,-1,step_max_token_argmax,-0.2642774533867085,3,local,555,math-226
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q4,math,long,4,qwen3_8b,4,step_max_token_argmax,-0.01499424178902245,5,local,1444,math-233
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q3,math,short,1,qwen3_8b,1,step_max_token_argmax,-0.19346247532061966,3,local,298,math-238
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,math,short,2,qwen3_8b,2,step_max_token_argmax,0.11529254608689984,1,local,206,math-239
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q3,math,short,5,qwen3_8b,5,step_max_token_argmax,-0.11972211386560835,3,local,340,math-241
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q1,math,medium,1,qwen3_8b,1,step_max_token_argmax,0.08334678076293538,0,local,516,math-246
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q4,math,long,0,qwen3_8b,-1,step_max_token_argmax,-0.22403265810694858,5,local,615,math-247
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,math,long,5,qwen3_8b,5,step_max_token_argmax,0.1910244343755329,5,local,675,math-25
A,answer_wrong_process_error,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,answer_dufs_liu_mixed_calibration_only,q2,math,long,0,qwen3_8b,-1,step_max_token_argmax,-0.35579102580892324,1,local,667,math-250
