phase_id,experiment_id,variant_id,task_id,dataset_id,population_id,cell_id,slice_id,metric_id,value,ci_low,ci_high,n_rows,n_groups,comparison_group_id,status,evidence_status,display_order,axis_value,source_artifact,source_sha256,source_row_selector,source_value_field,notes
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,processbench_first_error,processbench,historical_stage4_eight_cell_audit,ERROR_ABSTENTION_TO_LOCALIZED,all,prediction_flip_count,2,,,1270,635,p0_s1_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,12,,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_PREDICTION_FLIP_SUMMARY.csv,ae88da7f345e03c34848764a25a5a3d4889e52d2eededd17d1a7fc96006c5f6e,flip_kind=ERROR_ABSTENTION_TO_LOCALIZED,count,Deterministic S0-to-S1 prediction flip audit.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,processbench_first_error,processbench,historical_stage4_eight_cell_audit,ERROR_LOCALIZED_TO_ABSTENTION,all,prediction_flip_count,14,,,1270,635,p0_s1_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,13,,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_PREDICTION_FLIP_SUMMARY.csv,ae88da7f345e03c34848764a25a5a3d4889e52d2eededd17d1a7fc96006c5f6e,flip_kind=ERROR_LOCALIZED_TO_ABSTENTION,count,Deterministic S0-to-S1 prediction flip audit.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,processbench_first_error,processbench,historical_stage4_eight_cell_audit,ERROR_NONEXACT_CHANGED,all,prediction_flip_count,111,,,1270,635,p0_s1_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,14,,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_PREDICTION_FLIP_SUMMARY.csv,ae88da7f345e03c34848764a25a5a3d4889e52d2eededd17d1a7fc96006c5f6e,flip_kind=ERROR_NONEXACT_CHANGED,count,Deterministic S0-to-S1 prediction flip audit.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,processbench_first_error,processbench,historical_stage4_eight_cell_audit,ERROR_TO_EXACT,all,prediction_flip_count,26,,,1270,635,p0_s1_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,15,,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_PREDICTION_FLIP_SUMMARY.csv,ae88da7f345e03c34848764a25a5a3d4889e52d2eededd17d1a7fc96006c5f6e,flip_kind=ERROR_TO_EXACT,count,Deterministic S0-to-S1 prediction flip audit.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,processbench_first_error,processbench,historical_stage4_eight_cell_audit,EXACT_TO_NONEXACT,all,prediction_flip_count,59,,,1270,635,p0_s1_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,16,,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_PREDICTION_FLIP_SUMMARY.csv,ae88da7f345e03c34848764a25a5a3d4889e52d2eededd17d1a7fc96006c5f6e,flip_kind=EXACT_TO_NONEXACT,count,Deterministic S0-to-S1 prediction flip audit.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,processbench_first_error,processbench,historical_stage4_eight_cell_audit,FALSE_POSITIVE_TO_CLEAN,all,prediction_flip_count,22,,,1270,635,p0_s1_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,17,,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_PREDICTION_FLIP_SUMMARY.csv,ae88da7f345e03c34848764a25a5a3d4889e52d2eededd17d1a7fc96006c5f6e,flip_kind=FALSE_POSITIVE_TO_CLEAN,count,Deterministic S0-to-S1 prediction flip audit.
P0,P0_BRIDGE,P0_S1_FAMILY6_STEP_MAX,processbench_first_error,processbench,historical_stage4_eight_cell_audit,NO_FLIP,all,prediction_flip_count,978,,,1270,635,p0_s1_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,18,,results/reasoning_localization_03662_v1/phase_0/p0_s1_reducer_bridge/P0_S1_PREDICTION_FLIP_SUMMARY.csv,ae88da7f345e03c34848764a25a5a3d4889e52d2eededd17d1a7fc96006c5f6e,flip_kind=NO_FLIP,count,Deterministic S0-to-S1 prediction flip audit.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,macro_f1,0.32859546976358334,,,1270,635,p0_s2a_macro_f1_d12d651c,COMPLETE,RETROSPECTIVE,3,2,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_LOCAL_AGGREGATE.csv,6f51f7db5f917333ac33a954687984f66f27caf1273716c7b5c9ec14b2e0cd48,variant_id=P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR;metric_id=macro_f1,value,One-factor modern-detector bridge; audit only and not rankable.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,exact_error,0.2320261569596676,,,1270,635,p0_s2a_exact_error_d12d651c,COMPLETE,RETROSPECTIVE,3,2,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_LOCAL_AGGREGATE.csv,6f51f7db5f917333ac33a954687984f66f27caf1273716c7b5c9ec14b2e0cd48,variant_id=P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR;metric_id=exact_error,value,First-error exactness under the one-factor modern-detector bridge.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,clean_abstention,0.5902902902902902,,,1270,635,p0_s2a_clean_abstention_d12d651c,COMPLETE,RETROSPECTIVE,3,2,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_LOCAL_AGGREGATE.csv,6f51f7db5f917333ac33a954687984f66f27caf1273716c7b5c9ec14b2e0cd48,variant_id=P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR;metric_id=clean_abstention,value,Clean-trace abstention under the one-factor modern-detector bridge.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,within_one,0.43987884160756496,,,1270,635,p0_s2a_within_one_d12d651c,COMPLETE,RETROSPECTIVE,3,2,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_LOCAL_AGGREGATE.csv,6f51f7db5f917333ac33a954687984f66f27caf1273716c7b5c9ec14b2e0cd48,variant_id=P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR;metric_id=within_one,value,Within-one-step accuracy under the one-factor modern-detector bridge.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,CLEAN_TO_FALSE_POSITIVE,all,prediction_flip_count,20,,,1270,635,p0_s2a_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,20,,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_PREDICTION_FLIP_SUMMARY.csv,a0036ba4e594efc177aa162ec65c93f8022454b0380e95a8b9fc4d8a940e76c5,flip_kind=CLEAN_TO_FALSE_POSITIVE,count,Deterministic S1-to-S2A prediction flip audit.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,ERROR_ABSTENTION_TO_LOCALIZED,all,prediction_flip_count,18,,,1270,635,p0_s2a_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,21,,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_PREDICTION_FLIP_SUMMARY.csv,a0036ba4e594efc177aa162ec65c93f8022454b0380e95a8b9fc4d8a940e76c5,flip_kind=ERROR_ABSTENTION_TO_LOCALIZED,count,Deterministic S1-to-S2A prediction flip audit.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,ERROR_LOCALIZED_TO_ABSTENTION,all,prediction_flip_count,1,,,1270,635,p0_s2a_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,22,,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_PREDICTION_FLIP_SUMMARY.csv,a0036ba4e594efc177aa162ec65c93f8022454b0380e95a8b9fc4d8a940e76c5,flip_kind=ERROR_LOCALIZED_TO_ABSTENTION,count,Deterministic S1-to-S2A prediction flip audit.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,ERROR_TO_EXACT,all,prediction_flip_count,4,,,1270,635,p0_s2a_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,23,,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_PREDICTION_FLIP_SUMMARY.csv,a0036ba4e594efc177aa162ec65c93f8022454b0380e95a8b9fc4d8a940e76c5,flip_kind=ERROR_TO_EXACT,count,Deterministic S1-to-S2A prediction flip audit.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,EXACT_TO_NONEXACT,all,prediction_flip_count,1,,,1270,635,p0_s2a_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,24,,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_PREDICTION_FLIP_SUMMARY.csv,a0036ba4e594efc177aa162ec65c93f8022454b0380e95a8b9fc4d8a940e76c5,flip_kind=EXACT_TO_NONEXACT,count,Deterministic S1-to-S2A prediction flip audit.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,FALSE_POSITIVE_TO_CLEAN,all,prediction_flip_count,2,,,1270,635,p0_s2a_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,25,,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_PREDICTION_FLIP_SUMMARY.csv,a0036ba4e594efc177aa162ec65c93f8022454b0380e95a8b9fc4d8a940e76c5,flip_kind=FALSE_POSITIVE_TO_CLEAN,count,Deterministic S1-to-S2A prediction flip audit.
P0,P0_BRIDGE,P0_S2A_FAMILY6_STEP_MAX_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,NO_FLIP,all,prediction_flip_count,1224,,,1270,635,p0_s2a_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,26,,results/reasoning_localization_03662_v1/phase_0/p0_s2a_detector_bridge/P0_S2A_PREDICTION_FLIP_SUMMARY.csv,a0036ba4e594efc177aa162ec65c93f8022454b0380e95a8b9fc4d8a940e76c5,flip_kind=NO_FLIP,count,Deterministic S1-to-S2A prediction flip audit.
P0,P0_BRIDGE,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,macro_f1,0.3632846791052713,,,1270,635,p0_s2i_macro_f1_d12d651c,COMPLETE,RETROSPECTIVE,4,3,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_LOCAL_AGGREGATE.csv,9aeb6b724fe2cd8291535da7a8d4deba022eefe37640e9f2cedbaa38e8a72c95,variant_id=P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR;metric_id=macro_f1,value,Fourth 2x2 audit cell; compare adjacent and anchor contrasts separately; audit only.
P0,P0_BRIDGE,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,exact_error,0.27566355039759294,,,1270,635,p0_s2i_exact_error_d12d651c,COMPLETE,RETROSPECTIVE,4,3,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_LOCAL_AGGREGATE.csv,9aeb6b724fe2cd8291535da7a8d4deba022eefe37640e9f2cedbaa38e8a72c95,variant_id=P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR;metric_id=exact_error,value,Exact-error localization for DUFS-LIU under historical top-five pooling.
P0,P0_BRIDGE,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,clean_abstention,0.5771312979646314,,,1270,635,p0_s2i_clean_abstention_d12d651c,COMPLETE,RETROSPECTIVE,4,3,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_LOCAL_AGGREGATE.csv,9aeb6b724fe2cd8291535da7a8d4deba022eefe37640e9f2cedbaa38e8a72c95,variant_id=P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR;metric_id=clean_abstention,value,Clean abstention for DUFS-LIU under historical top-five pooling.
P0,P0_BRIDGE,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,within_one,0.4820646625832796,,,1270,635,p0_s2i_within_one_d12d651c,COMPLETE,RETROSPECTIVE,4,3,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_LOCAL_AGGREGATE.csv,9aeb6b724fe2cd8291535da7a8d4deba022eefe37640e9f2cedbaa38e8a72c95,variant_id=P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR;metric_id=within_one,value,Within-one localization for DUFS-LIU under historical top-five pooling.
P0,P0_FACTORIAL_INTERACTION,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,factorial_interaction_macro_f1,0.0014659092160921872,-0.006818578872870391,0.009486362221551274,1270,635,p0_factorial_interaction_macro_f1_d12d651c,COMPLETE,RETROSPECTIVE,4,,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_FACTORIAL_EFFECTS.csv,5c49a915bd4a3563faf8faafbd271a9aba01d8fb6d3485aba93846c1510c518f,effect_id=P0_REDUCER_X_DETECTOR_INTERACTION;metric_id=macro_f1,delta,Difference-in-differences: detector effect under max minus detector effect under top-five; interval crosses zero.
P0,P0_BRIDGE,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,CLEAN_TO_FALSE_POSITIVE,all,prediction_flip_count,13,,,1270,635,p0_s2i_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,30,,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_PREDICTION_FLIP_SUMMARY.csv,75056869453e4075948437635cba8b4be190dd7d811b2e0be6aae61ecf8896c6,flip_kind=CLEAN_TO_FALSE_POSITIVE,count,Deterministic S2A-to-S2I reducer-control prediction flips.
P0,P0_BRIDGE,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,CLEAN_WRONG_STEP_CHANGED,all,prediction_flip_count,61,,,1270,635,p0_s2i_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,31,,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_PREDICTION_FLIP_SUMMARY.csv,75056869453e4075948437635cba8b4be190dd7d811b2e0be6aae61ecf8896c6,flip_kind=CLEAN_WRONG_STEP_CHANGED,count,Deterministic S2A-to-S2I reducer-control prediction flips.
P0,P0_BRIDGE,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,ERROR_ABSTENTION_TO_LOCALIZED,all,prediction_flip_count,2,,,1270,635,p0_s2i_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,32,,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_PREDICTION_FLIP_SUMMARY.csv,75056869453e4075948437635cba8b4be190dd7d811b2e0be6aae61ecf8896c6,flip_kind=ERROR_ABSTENTION_TO_LOCALIZED,count,Deterministic S2A-to-S2I reducer-control prediction flips.
P0,P0_BRIDGE,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,ERROR_LOCALIZED_TO_ABSTENTION,all,prediction_flip_count,6,,,1270,635,p0_s2i_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,33,,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_PREDICTION_FLIP_SUMMARY.csv,75056869453e4075948437635cba8b4be190dd7d811b2e0be6aae61ecf8896c6,flip_kind=ERROR_LOCALIZED_TO_ABSTENTION,count,Deterministic S2A-to-S2I reducer-control prediction flips.
P0,P0_BRIDGE,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,ERROR_NONEXACT_CHANGED,all,prediction_flip_count,116,,,1270,635,p0_s2i_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,34,,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_PREDICTION_FLIP_SUMMARY.csv,75056869453e4075948437635cba8b4be190dd7d811b2e0be6aae61ecf8896c6,flip_kind=ERROR_NONEXACT_CHANGED,count,Deterministic S2A-to-S2I reducer-control prediction flips.
P0,P0_BRIDGE,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,ERROR_TO_EXACT,all,prediction_flip_count,58,,,1270,635,p0_s2i_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,35,,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_PREDICTION_FLIP_SUMMARY.csv,75056869453e4075948437635cba8b4be190dd7d811b2e0be6aae61ecf8896c6,flip_kind=ERROR_TO_EXACT,count,Deterministic S2A-to-S2I reducer-control prediction flips.
P0,P0_BRIDGE,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,EXACT_TO_NONEXACT,all,prediction_flip_count,30,,,1270,635,p0_s2i_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,36,,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_PREDICTION_FLIP_SUMMARY.csv,75056869453e4075948437635cba8b4be190dd7d811b2e0be6aae61ecf8896c6,flip_kind=EXACT_TO_NONEXACT,count,Deterministic S2A-to-S2I reducer-control prediction flips.
P0,P0_BRIDGE,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,FALSE_POSITIVE_TO_CLEAN,all,prediction_flip_count,10,,,1270,635,p0_s2i_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,37,,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_PREDICTION_FLIP_SUMMARY.csv,75056869453e4075948437635cba8b4be190dd7d811b2e0be6aae61ecf8896c6,flip_kind=FALSE_POSITIVE_TO_CLEAN,count,Deterministic S2A-to-S2I reducer-control prediction flips.
P0,P0_BRIDGE,P0_S2I_FAMILY6_TOP5_DUFS_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,NO_FLIP,all,prediction_flip_count,974,,,1270,635,p0_s2i_prediction_flip_count_d12d651c,COMPLETE,RETROSPECTIVE,38,,results/reasoning_localization_03662_v1/phase_0/p0_s2i_interaction_control/P0_S2I_PREDICTION_FLIP_SUMMARY.csv,75056869453e4075948437635cba8b4be190dd7d811b2e0be6aae61ecf8896c6,flip_kind=NO_FLIP,count,Deterministic S2A-to-S2I reducer-control prediction flips.
P0,P0_BRIDGE,P0_S2B_FAMILY6_STEP_MAX_LOCAL_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,macro_f1,0.3065027012935364,,,1270,635,p0_s2b_macro_f1_d12d651c,COMPLETE,RETROSPECTIVE,5,4,results/reasoning_localization_03662_v1/phase_0/p0_s2b_pure_local_detector_bridge/P0_S2B_LOCAL_AGGREGATE.csv,d8b8d5cada4d8073cbd647f6f597ff0495a28c674d5ed8be646ddcf61dbe6164,variant_id=P0_S2B_FAMILY6_STEP_MAX_LOCAL_DETECTOR;metric_id=macro_f1,value,Purely-local detector bridge on the unchanged S2A locator and population; audit only.
P0,P0_BRIDGE,P0_S2B_FAMILY6_STEP_MAX_LOCAL_DETECTOR,processbench_first_error,processbench,historical_stage4_eight_cell_audit,aggregate,all,exact_error,0.2114057239057239,,,1270,635,p0_s2b_exact_error_d12d651c,COMPLETE,RETROSPECTIVE,5,4,results/reasoning_localization_03662_v1/phase_0/p0_s2b_pure_local_detector_bridge/P0_S2B_LOCAL_AGGREGATE.csv,d8b8d5cada4d8073cbd647f6f597ff0495a28c674d5ed8be646ddcf61dbe6164,variant_id=P0_S2B_FAMILY6_STEP_MAX_LOCAL_DETECTOR;metric_id=exact_error,value,Exact-error localization with the local curve also serving as detector.
